factura_id,fecha,cliente_id,sku,cantidad,precio_unitario,moneda,total,canal_venta
FAC-001611,2025-02-21,CLI-00481,SKU-00033,2,1191.0, MXN ,2382.0,E-commerce
FAC-000464,06/05/2025,CLI-00071,SKU-00025,4,616.42,MXN,2465.68,Tienda física
FAC-001507,20/03/2025,CLI-00308,SKU-00023,7,336.55,MXN,2355.85,E-commerce
FAC-001812,2025-03-06,CLI-00290,SKU-00139,2,160.84,MXN,321.68,Tienda física
FAC-000352,08/06/2025,CLI-00353,SKU-00055,1,543.97,MXN,297.69,Tienda física
FAC-003242,2024-01-18,CLI-00231,SKU-00028,6,566.44,MXN,3398.64,Marketplace
FAC-001269,2024-07-01,CLI-00270,SKU-00126,4,491.87,MXN,1967.48,E-commerce
FAC-000206,2025-07-04,CLI-00361,SKU-00137,4,534.69,MXN,2138.76,E-commerce
FAC-000528,2025-06-17,,SKU-00007,5,1249.43,USD,6247.15,Tienda física
FAC-003189,11/04/2025,CLI-00249,SKU-00113,7,2308.66,MXN,16160.62,Tienda física
FAC-003459,2025-01-19,CLI-00449,SKU-00086,2,1413.09,MXN,2826.18,Tienda física
FAC-000010,2024-05-11,CLI-00476,SKU-00024,1,899.52,MXN,899.52,E-commerce
FAC-002391,2025-09-06,CLI-00197,SKU-00104,4,237.72,MXN,950.88,Marketplace
FAC-003424,29/10/2025,CLI-00267,SKU-00007,5,1255.79,MXN,6278.95,Marketplace
FAC-001187,2025-07-28,CLI-00502,SKU-00021,6,187.7,MXN,1126.2,Marketplace
FAC-002079,09/11/2024,CLI-00002,SKU-00106,2,636.19,mxn,1272.38,Marketplace
FAC-001179,2025-05-25,CLI-00394,SKU-00048,5,548.88,USD,2744.4,Marketplace
FAC-002577,07/22/2025,CLI-00472,SKU-00017,7,847.05,MXN,5929.35,Marketplace
FAC-001914,2024-07-15,CLI-00079,SKU-00129,5,309.74,MXN,1548.7,E-commerce
FAC-001753,03/06/2024,CLI-00249,SKU-00051,7,579.26,MXN,4054.82,Marketplace
FAC-001145,07/15/2024,CLI-00109,SKU-00084,1,945.93,MXN,945.93,Tienda física
FAC-003342,2025-02-07,CLI-00126,SKU-00096,3,1424.54,MXN,3508.41,E-commerce
FAC-001163,2025-06-03,CLI-00321,SKU-00057,3,1252.56,mxn,3757.68,Tienda física
FAC-002533,24/02/2025,CLI-00081,SKU-00030,4,843.77,MXN,3375.08,E-commerce
FAC-003036,2024-05-06,CLI-00459,SKU-00050,4,517.08,MXN,2068.32,Tienda física
FAC-002577,07/22/2025,CLI-00472,SKU-00017,7,847.05,MXN,5929.35,Marketplace
FAC-001323,2025-03-11,CLI-00032,SKU-00100,4,2131.27,USD,8525.08,Tienda física
FAC-001233,2024-11-02,CLI-00328,SKU-00103,5,2456.18,MXN,,Tienda física
FAC-000685,06/04/2025,CLI-00024,SKU-00134,3,$212.77,MXN,638.31,Tienda física
FAC-000390,2024-03-17,CLI-00356,SKU-00006,2,1702.81,MXN,3405.62,Tienda física
FAC-001172,2024-02-02,CLI-00470,SKU-00146,3,384.72,MXN,1154.16,E-commerce
FAC-001513,2025-07-05,CLI-00026,SKU-00080,6,900.74,MXN,5404.44,Tienda física
FAC-002744,09/14/2024,CLI-00082,SKU-00100,4,2088.83,MXN,8355.32,Tienda física
FAC-003028,2024-02-23,CLI-00048,SKU-00120,-3,704.45,MXN,4931.15,Marketplace
FAC-003364,23/09/2024,CLI-00028,SKU-00054,6,446.52,MXN,2679.12,E-commerce
FAC-000407,2024-02-21,CLI-00012,SKU-00030,2,862.55,USD,1725.1,Tienda física
FAC-003204,02/07/2024,CLI-00210,SKU-00148,6,548.67,MXN,3292.02,Tienda física
FAC-002100,2024-09-22,CLI-93704,SKU-00064,6,127.06,USD,762.36,E-commerce
FAC-001884,09/19/2024,CLI-00126,SKU-00070,1,407.48,MXN,407.48,Marketplace
FAC-002331,2024-04-25,CLI-00403,SKU-00067,-4,207.35,MXN,1036.75,Tienda física
FAC-001624,07/01/2024,CLI-00481,SKU-00081,7,$480.85,MXN,3365.95,E-commerce
FAC-002869,2024-04-20,CLI-00448,SKU-00076,6,53.92,MXN,323.52,Tienda física
FAC-002476,2025-02-22,CLI-00296,SKU-96499,2,162.13,MXN,324.26,Tienda física
FAC-003292,2025-12-11,CLI-00096,SKU-00092,1,145.57,MXN,145.57,Tienda física
FAC-000472,2025-01-17,CLI-00259,SKU-00051,5,543.72,USD,2718.6,Marketplace
FAC-000346,2024-05-11,CLI-00373,SKU-00065,1,211.87,USD,211.87,Tienda física
FAC-001299,2025-05-05,CLI-00268,SKU-00109,7,1798.86,MXN,12592.02,Teléfono
FAC-000910,2025-06-14,CLI-00182,SKU-00008,6,1960.91,MXN,11765.46,E-commerce
FAC-000726,19/08/2025,CLI-00132,SKU-00119,4,864.78,MXN,3459.12,Teléfono
FAC-003278,2024-05-12,CLI-91254,SKU-00077,6,1426.48,MXN,8558.88,E-commerce
FAC-001372,2024-02-12,CLI-00062,SKU-00099,4,1922.52,MXN,7690.08,E-commerce
FAC-003068,2024-06-13,CLI-00291,SKU-00111,2,1969.93,MXN,3939.86,Tienda física
FAC-000650,2025-06-01,CLI-00342,SKU-00009,3,1271.57,MXN,3814.71,Marketplace
FAC-000823,2025-05-14,CLI-00231,SKU-00129,5,296.52,MXN,1482.6,Tienda física
FAC-000008,2024-08-24,CLI-00014,SKU-00064,4,119.25,MXN,,E-commerce
FAC-002906,05/17/2025,CLI-00220,SKU-00046,3,1168.93,MXN,3506.79,Tienda física
FAC-003233,19/08/2025,,SKU-00018,2,888.53,MXN,1777.06,E-commerce
FAC-001320,01/04/2024,CLI-00446,SKU-00004,7,512.36,USD,3586.52,E-commerce
FAC-001224,27/10/2025,CLI-00217,SKU-00103,1,2337.53,MXN,2337.53,Marketplace
FAC-001119,2024-03-09,CLI-00283,SKU-00021,3,183.43,MXN,550.29,E-commerce
FAC-002616,09/05/2024,,SKU-00117,3,743.92,USD,2231.76,E-commerce
FAC-000028,2025-10-15,CLI-00381,SKU-00046,5,1142.94,usd,5714.7,Tienda física
FAC-002300,2025-04-25,CLI-00065,SKU-00108,4,302.48,MXN,1209.92,E-commerce
FAC-000218,2024-07-24,CLI-00112,SKU-00101,7,862.31,MXN,6036.17,Tienda física
FAC-000976,04/04/2024,CLI-00145,SKU-00023,2,341.89,MXN,683.78,E-commerce
FAC-000862,2024-04-19,CLI-00046,SKU-00004,6,499.33,MXN,2995.98,Tienda física
FAC-002932,2025-05-28,CLI-00305,SKU-00042,3,1642.77,USD,4928.31,Teléfono
FAC-000945,2024-07-17,CLI-00309,SKU-00090,3,1433.81,MXN,4301.43,Tienda física
FAC-001582,2025-10-31,CLI-00135,SKU-00057,1,1203.57,MXN,1203.57,Teléfono
FAC-003167,01/14/2025,CLI-00008,SKU-00058,5,146.29,MXN,731.45,Tienda física
FAC-000615,2025-04-15,CLI-00308,SKU-00109,1,1756.47,MXN,1756.47,E-commerce
FAC-002172,04/25/2025,CLI-00421,SKU-00142,6,513.18,MXN,3079.08,Marketplace
FAC-000596,01/04/2025,CLI-00228,SKU-00104,3,234.5,MXN,703.5,Marketplace
FAC-001500,2024-03-19,CLI-90098,SKU-00036,6,848.08,MXN,5088.48,E-commerce
FAC-002390,26/05/2025,CLI-00232,SKU-00091,3,868.41,MXN,2605.23,Tienda física
FAC-002117,2024-04-14,CLI-00390,SKU-00010,4,696.86, MXN ,1686.54,Tienda física
FAC-001112,2024-11-01,CLI-00279,SKU-00101,6,865.37,MXN,5192.22,Marketplace
FAC-002761,2024-05-24,CLI-00324,SKU-00023,2,317.92,USD,635.84,Tienda física
FAC-002264,29/03/2024,CLI-00003,SKU-00134,2,212.75,MXN,425.5,Tienda física
FAC-002944,2025-03-07,CLI-00292,SKU-00066,7,441.31,MXN,3089.17,E-commerce
FAC-001744,2024-01-05,CLI-00409,SKU-00060,7,$425.74,MXN,2980.18,Marketplace
FAC-000724,2025-04-12,CLI-00494,SKU-00084,1,976.61,MXN,976.61,Tienda física
FAC-003483,2024-02-29,CLI-00436,SKU-00060,7,420.28,MXN,2941.96,Marketplace
FAC-001766,2024-06-08,CLI-00337,SKU-00079,5,1357.65,MXN,6788.25,Tienda física
FAC-000234,2024-04-17,CLI-00223,SKU-98061,1,2900.22,MXN,2900.22,Tienda física
FAC-003282,2024-10-05,CLI-00166,SKU-00104,3,248.93,MXN,,Marketplace
FAC-002843,2025-03-31,CLI-00253,SKU-92378,2,202.33,MXN,404.66,E-commerce
FAC-001959,2024-02-08,CLI-00115,SKU-00063,4,300.02,MXN,1200.08,Tienda física
FAC-002704,05/12/2025,CLI-00149,SKU-00060,6,433.56,MXN,2601.36,Tienda física
FAC-001597,09/02/2024,CLI-00359,SKU-00119,2,826.28,MXN,1652.56,E-commerce
FAC-003497,2025-10-21,CLI-00401,SKU-00064,6,122.61,MXN,735.66,E-commerce
FAC-001774,2025-10-21,CLI-00444,SKU-00001,6,1911.12,USD,11466.72,E-commerce
FAC-001802,2024-09-05,CLI-00177,SKU-00034,6,1080.09, USD ,6480.54,E-commerce
FAC-001700,2024-06-12,CLI-00347,SKU-00033,5,"$1,185.62",MXN,5928.1,Tienda física
FAC-000863,2025-12-01,CLI-00135,SKU-00067,5,203.58,USD,1017.9,Tienda física
FAC-000226,2025-10-03,CLI-00123,SKU-00006,6,1777.56,MXN,10665.36,E-commerce
FAC-000367,26/08/2024,CLI-00478,SKU-00043,7,725.37,MXN,5077.59,Tienda física
FAC-000213,2024-08-22,CLI-00205,SKU-00023,3,326.13,MXN,978.39,Teléfono
FAC-003410,2025-07-01,CLI-00129,SKU-00045,-3,1097.07,MXN,1097.07,Tienda física
FAC-000330,2024-01-06,CLI-00466,SKU-00013,6,2591.21,MXN,15547.26,Tienda física
FAC-003352,2025-04-23,CLI-00144,SKU-00130,6,436.15,MXN,2616.9,Tienda física
FAC-002625,2024-08-07,CLI-00226,SKU-00087,7,1238.2,MXN,8667.4,E-commerce
FAC-003169,2025-11-17,CLI-96673,SKU-00146,5,$371.37,MXN,1856.85,Marketplace
FAC-000260,2024-04-24,CLI-00343,SKU-00059,5,416.33, MXN ,2081.65,E-commerce
FAC-003429,19/02/2024,CLI-00090,SKU-00134,2,220.13,MXN,440.26,Marketplace
FAC-003369,02/20/2025,CLI-00371,SKU-00151,3,$542.81, MXN ,1628.43,Tienda física
FAC-001004,2025-07-18,CLI-00015,SKU-00130,2,423.19,MXN,846.38,Tienda física
FAC-002210,2025-02-17,CLI-00483,SKU-00127,4,693.92,MXN,2775.68,Tienda física
FAC-001893,31/01/2025,CLI-00230,SKU-00045,4,1150.62,MXN,4602.48,Marketplace
FAC-001496,11/19/2024,CLI-00213,SKU-00115,2,121.45,MXN,242.9,Tienda física
FAC-000018,2025-12-16,CLI-90443,SKU-00071,1,72.05,MXN,,E-commerce
FAC-002558,2025-05-02,CLI-00152,SKU-00138,5,447.16,MXN,2235.8,E-commerce
FAC-001789,2024-06-29,,SKU-00055,2,548.87,MXN,1097.74,E-commerce
FAC-001898,2025-04-16,CLI-00211,SKU-00084,6,967.28,MXN,5803.68,Marketplace
FAC-003361,2024-08-08,CLI-00117,SKU-00134,5,220.12,USD,1100.6,E-commerce
FAC-001982,2024-11-04,CLI-00132,SKU-00035,7,777.08, MXN ,5439.56,E-commerce
FAC-001319,2025-12-18,CLI-00047,SKU-00043,6,726.01,MXN,4356.06,Tienda física
FAC-003460,2024-06-08,CLI-00506,SKU-00150,3,512.6,MXN,1537.8,E-commerce
FAC-002462,01/03/2025,CLI-00389,SKU-00137,-1,539.71,MXN,3777.97,Tienda física
FAC-002175,2024-02-12,CLI-00121,SKU-00139,5,163.03,MXN,815.15,Marketplace
FAC-000208,2024-02-27,CLI-00159,SKU-00059,7,411.29,MXN,2879.03,E-commerce
FAC-001658,2024-06-07,CLI-00113,SKU-00099,4,1866.25,MXN,7465.0,E-commerce
FAC-002889,30/11/2025,CLI-00267,SKU-00008,5,1873.48, MXN ,9367.4,Teléfono
FAC-000919,2025-04-12,CLI-00110,SKU-00135,3,387.15,MXN,1161.45,E-commerce
FAC-001157,2025-06-20,CLI-00472,SKU-00026,7,1166.87,MXN,8168.09,E-commerce
FAC-001261,2025-10-08,CLI-00274,SKU-00038,7,640.51,MXN,4483.57,E-commerce
FAC-000712,2025-05-19,CLI-00197,SKU-00056,3,768.38,MXN,2305.14,E-commerce
FAC-001411,2025-09-09,CLI-00161,SKU-00100,5,2072.6, USD ,10363.0,Tienda física
FAC-000853,10/01/2024,CLI-00083,SKU-00040,3,681.86,MXN,2045.58,Teléfono
FAC-003025,09/04/2025,CLI-00215,SKU-00013,6,2591.83,MXN,15550.98,Marketplace
FAC-003402,2025-08-08,CLI-00410,SKU-00119,3,834.69,MXN,2504.07,E-commerce
FAC-003398,2025-09-27,CLI-00368,SKU-00101,3,849.15,MXN,2547.45,E-commerce
FAC-003202,2024-01-08,CLI-00153,SKU-00145,6,456.23,USD,2737.38,Tienda física
FAC-000659,2025-02-05,CLI-00095,SKU-00100,4,2060.88,MXN,8243.52,E-commerce
FAC-000339,2025-10-02,CLI-00253,SKU-00029,5,490.94,MXN,2454.7,Tienda física
FAC-000940,2024-11-01,CLI-00130,SKU-00101,6,851.25,MXN,,E-commerce
FAC-001217,16/11/2025,CLI-00138,SKU-00053,2,$732.49,USD,1464.98,Tienda física
FAC-002754,2024-03-08,CLI-99791,SKU-00028,6,603.14, MXN ,3618.84,Marketplace
FAC-001068,2025-04-20,CLI-00206,SKU-00072,3,421.74,MXN,667.87,Teléfono
FAC-001614,2024-01-06,CLI-00312,SKU-00067,5,205.72, MXN ,1028.6,Teléfono
FAC-002821,19/01/2024,CLI-90867,SKU-00039,6,1487.84,MXN,6336.01,E-commerce
FAC-003178,2025-12-01,CLI-00009,SKU-00142,6,500.86,MXN,3005.16,E-commerce
FAC-003447,2024-07-07,CLI-00311,SKU-00054,2,440.89, MXN ,881.78,Marketplace
FAC-002129,2024-04-07,CLI-00080,SKU-00063,4,294.24,MXN,1176.96,E-commerce
FAC-001767,10/12/2024,CLI-00033,SKU-00021,5,$182.98,MXN,914.9,Marketplace
FAC-000844,2025-08-19,CLI-00209,SKU-00142,6,522.37,mxn,2245.6,E-commerce
FAC-000490,2024-03-22,CLI-00417,SKU-00034,3,1148.11,MXN,3444.33,E-commerce
FAC-001713,2024-05-25,CLI-00158,SKU-00068,2,302.44,MXN,604.88,Tienda física
FAC-000741,2024-08-20,CLI-00502,SKU-00047,2,1279.98,MXN,2559.96,E-commerce
FAC-000507,2024-12-05,CLI-95903,SKU-00068,1,313.58,MXN,313.58,E-commerce
FAC-000020,2025-11-23,CLI-00472,SKU-00123,1,437.45,MXN,437.45,Marketplace
FAC-001565,02/15/2025,CLI-00397,SKU-00100,6,2184.43,MXN,13106.58,Tienda física
FAC-001146,2025-10-20,CLI-00328,SKU-00073,4,54.93,MXN,219.72,E-commerce
FAC-002156,10/24/2024,CLI-00141,SKU-00117,7,766.83, MXN ,5367.81,E-commerce
FAC-002413,2024-07-02,CLI-00221,SKU-00115,5,123.52,MXN,617.6,E-commerce
FAC-002566,2024-09-17,CLI-00419,SKU-00119,6,868.97,USD,5213.82,E-commerce
FAC-002935,03/12/2024,CLI-00348,SKU-00122,7,210.03,MXN,1470.21,Tienda física
FAC-000568,2024-01-14,CLI-00131,SKU-00099,7,2007.76,MXN,14054.32,E-commerce
FAC-001704,2025-10-10,CLI-00508,SKU-00152,5,567.49,MXN,1794.81,Marketplace
FAC-000829,2025-11-17,CLI-00405,SKU-91888,1,712.98,MXN,712.98,E-commerce
FAC-002373,12/06/2024,CLI-00428,SKU-96339,6,1989.1,MXN,11934.6,Marketplace
FAC-003344,2025-02-05,CLI-00363,SKU-00005,3,382.67,MXN,1148.01,E-commerce
FAC-001245,14/01/2024,CLI-00255,SKU-00023,5,321.56,MXN,1607.8,E-commerce
FAC-002960,2025-04-02,CLI-00498,SKU-00004,5,509.26,MXN,2546.3,Tienda física
FAC-000526,2024-09-13,CLI-00143,SKU-00077,6,1478.73,MXN,8872.38,E-commerce
FAC-001764,07/14/2025,CLI-00054,SKU-00118,4,284.88,mxn,1139.52,Tienda física
FAC-000309,2025-11-11,,SKU-00037,1,951.19,mxn,951.19,Tienda física
FAC-000104,2024-04-21,CLI-00145,SKU-00022,2,661.05,MXN,1322.1,Marketplace
FAC-002032,04/14/2025,CLI-00185,SKU-00081,1,509.36,MXN,509.36,Tienda física
FAC-002323,2025-11-14,CLI-00343,SKU-00034,-4,1126.37,MXN,2252.74,Tienda física
FAC-001441,01/05/2024,CLI-00503,SKU-00087,3,1290.7,MXN,3872.1,Tienda física
FAC-002324,2025-12-14,CLI-00311,SKU-00029,4,487.43,MXN,1949.72,E-commerce
FAC-000110,2025-10-18,CLI-00081,SKU-00026,5,1164.31,MXN,5821.55,Tienda física
FAC-001902,2025-05-22,CLI-00475,SKU-00076,3,55.37,MXN,166.11,Marketplace
FAC-000006,04/14/2025,CLI-00154,SKU-99430,7,494.63,USD,3462.41,Marketplace
FAC-000135,2025-10-28,CLI-99444,SKU-00007,7,1286.87,MXN,9008.09,Marketplace
FAC-003168,2024-04-11,CLI-99726,SKU-00033,1,1151.95,MXN,1151.95,E-commerce
FAC-001806,2024-09-14,CLI-00291,SKU-00043,7,$758.48,MXN,5309.36,Marketplace
FAC-000722,2024-11-02,CLI-00276,SKU-00008,7,1967.07,MXN,13769.49,Tienda física
FAC-000336,17/04/2024,CLI-00491,SKU-00033,5,1197.66,MXN,5988.3,E-commerce
FAC-001765,2025-03-12,CLI-00095,SKU-00119,7,837.68,MXN,5863.76,Tienda física
FAC-003151,2025-07-29,CLI-00480,SKU-00026,7,"$1,107.31",MXN,7751.17,Tienda física
FAC-001825,2025-12-26,CLI-00472,SKU-00151,3,549.7,MXN,,Tienda física
FAC-002006,02/05/2024,CLI-00092,SKU-00047,7,"$1,314.99",USD,9204.93,Tienda física
FAC-000842,2025-12-03,CLI-00369,SKU-00075,5,216.52,MXN,1082.6,E-commerce
FAC-000066,2024-04-03,CLI-00469,SKU-00065,1,209.19,MXN,209.19,Tienda física
FAC-002336,2025-09-24,CLI-00283,SKU-00055,6,583.08,USD,1779.47,E-commerce
FAC-000445,2024-08-10,CLI-00048,SKU-00108,3,313.53,MXN,940.59,Tienda física
FAC-000371,2025-02-04,CLI-00504,SKU-00109,1,1774.76,MXN,1774.76,Tienda física
FAC-001277,2024-04-20,CLI-00285,SKU-00096,2,1444.35,MXN,2888.7,E-commerce
FAC-001234,2024-12-02,CLI-00467,SKU-00132,3,859.07,MXN,2577.21,Marketplace
FAC-001963,31/10/2024,CLI-00086,SKU-00035,6,793.46,MXN,4760.76,Tienda física
FAC-000861,2025-08-21,CLI-00386,SKU-00128,7,542.11,MXN,3794.77,E-commerce
FAC-003133,2024-06-19,CLI-00385,SKU-00045,6,1145.17,MXN,6871.02,Tienda física
FAC-001019,2025-08-20,CLI-00076,SKU-00086,3,1356.11,MXN,4068.33,E-commerce
FAC-002220,27/09/2024,CLI-00204,SKU-00066,7,447.21,MXN,1854.08,Tienda física
FAC-001556,2025-10-24,CLI-00420,SKU-00048,3,547.83,MXN,1643.49,E-commerce
FAC-002082,03/12/2025,CLI-00376,SKU-00093,3,466.36,MXN,1399.08,Tienda física
FAC-002598,01/14/2024,CLI-00252,SKU-00138,7,443.38,MXN,3103.66,E-commerce
FAC-001155,06/24/2024,CLI-00474,SKU-00066,5,447.0,MXN,1504.44,Teléfono
FAC-002529,2024-01-28,CLI-00311,SKU-00047,3,1250.83,MXN,3752.49,E-commerce
FAC-000994,2025-02-14,CLI-00238,SKU-00098,4,1320.94,MXN,5283.76,Tienda física
FAC-001915,2024-09-24,CLI-00348,SKU-00032,6,796.31,MXN,4777.86,E-commerce
FAC-001943,2024-09-01,CLI-00189,SKU-00063,5,296.15,MXN,1480.75,E-commerce
FAC-002394,2024-08-05,CLI-00421,SKU-00057,2,1201.24,MXN,2402.48,Marketplace
FAC-003183,2024-11-21,CLI-00408,SKU-00043,4,742.81,MXN,1911.63,Tienda física
FAC-000635,2025-10-24,CLI-00427,SKU-00079,6,1400.36,MXN,8402.16,Tienda física
FAC-000038,2025-03-29,CLI-00214,SKU-00005,2,392.46,MXN,784.92,E-commerce
FAC-003109,2025-12-14,CLI-00229,SKU-00017,7,853.35,MXN,5973.45,Tienda física
FAC-002545,2025-09-23,CLI-00223,SKU-00017,1,835.3,MXN,835.3,E-commerce
FAC-002009,04/04/2025,CLI-99270,SKU-00152,5,565.01,MXN,2825.05,Marketplace
FAC-000265,2025-04-19,CLI-00478,SKU-00021,1,$185.73,MXN,185.73,Tienda física
FAC-002895,2024-05-10,CLI-00431,SKU-00133,3,214.75,MXN,644.25,Tienda física
FAC-003014,2025-01-20,CLI-00471,SKU-00039,5,1451.47,MXN,7257.35,E-commerce
FAC-002576,2025-06-11,CLI-00088,SKU-00063,3,304.56,MXN,913.68,Tienda física
FAC-001610,07/11/2024,CLI-00214,SKU-00083,7,177.15,USD,1240.05,Tienda física
FAC-001424,10/01/2024,CLI-00209,SKU-00115,4,124.72,MXN,498.88,Tienda física
FAC-003143,2025-04-14,CLI-00443,SKU-00101,6,$841.00,MXN,5046.0,Tienda física
FAC-001709,2025-06-06,CLI-00226,SKU-00100,7,2090.05,MXN,14630.35,Tienda física
FAC-002730,2024-01-07,,SKU-00029,1,518.95,MXN,518.95,E-commerce
FAC-003066,17/08/2025,CLI-00314,SKU-00130,7,448.4,MXN,3138.8,Marketplace
FAC-000243,07/06/2025,CLI-00507,SKU-00023,2,327.76, MXN ,655.52,Marketplace
FAC-001122,27/08/2024,CLI-00017,SKU-00078,1,907.14,MXN,907.14,Tienda física
FAC-000192,2025-05-26,CLI-00131,SKU-00105,5,1660.28,MXN,8301.4,Tienda física
FAC-003475,2024-07-28,CLI-00322,SKU-00041,7,1633.65,MXN,11435.55,Tienda física
FAC-000515,2025-05-03,CLI-00048,SKU-00099,4,1969.87,MXN,5104.11,Tienda física
FAC-001503,2024-10-06,CLI-00462,SKU-00067,-1,204.03,MXN,612.09,E-commerce
FAC-000426,03/05/2025,CLI-00070,SKU-00018,2,883.92,MXN,1767.84,Teléfono
FAC-003396,2024-07-23,CLI-00021,SKU-00083,7,188.69,MXN,1320.83,Marketplace
