fecha,anio,mes,nombre_mes,trimestre,dia_semana,es_fin_de_semana,es_feriado
2024-06-07,2024,6,Junio,Q2,Viernes,False,
2025-07-24,2025,7,Julio,Q3,Jueves,False,
2025-10-27,2025,10,Octubre,Q4,Lunes,False,
2024-05-19,2024,5,Mayo,Q2,Domingo,True,
2025-11-29,2025,11,Noviembre,Q4,Sábado,True,
2025-01-27,2025,1,Enero,Q1,Lunes,False,
2024-03-28,2024,3,Marzo,Q1,JUEVES,False,
2024-12-14,2024,12,Diciembre,Q4,Sábado,True,
2024-09-12,2024,9,Septiembre,Q3,Jueves,False,
2024-10-20,2024,10,Octubre,Q4,Domingo,True,
2024-12-03,2024,12,Diciembre,Q4,Martes,False,
2024-11-02,2024,11,Noviembre,Q4,Sábado,True,
2025-05-11,2025,5,Mayo,Q2,Domingo,True,
2025-11-03,2025,11,Noviembre,Q4,Lunes,False,
2024-06-13,2024,6,Junio,Q2,Jueves,False,
2024-06-27,2024,6,JUNIO,Q2,Jueves,False,
2025-11-17,2025,11,Noviembre,Q4,Lunes,False,
2024-05-03,2024,5,Mayo,Q2,Viernes,False,
2024-01-29,2024,1,Enero,Q1,LUNES,False,
2024-03-14,2024,3,Marzo,Q1,Jueves,False,
2024-04-07,2024,4,Abril,Q2,Domingo,True,
2024-06-01,2024,6,Junio,Q2,Sábado,True,
2024-10-09,2024,10,Octubre,Q4,Miércoles,False,
2025-04-18,2025,4,Abril,Q2,Viernes,False,
2024-05-28,2024,5,Mayo,Q2,Martes,False,
2024-12-10,2024,12,Diciembre,Q4,Martes,False,
2025-07-10,2025,7,Julio,Q3,Jueves,False,
2025-09-28,2025,9, Septiembre ,Q3,Domingo,True,
2024-02-15,2024,2,Febrero,Q1,Jueves,False,
2024-01-28,2024,1,Enero,Q1,Domingo,True,
2024-09-29,2024,9,Septiembre,Q3,Domingo,True,
2024-04-29,2024,4,Abril,Q2,Lunes,False,
2025-07-08,2025,7,Julio,Q3,Martes,False,
2025-09-02,2025,9,Septiembre,Q3,Martes,False,
2024-02-21,2024,2,Febrero,Q1,Miércoles,False,
2025-05-26,2025,5,Mayo,Q2,Lunes,False,
2025-07-01,2025,7, Julio ,Q3,Martes,False,
2024-08-01,2024,8,Agosto,Q3,Jueves,False,
2025-11-06,2025,11,Noviembre,Q4,Jueves,False,
2025-12-18,2025,12,Diciembre,Q4,Jueves,False,
2024-09-16,2024,9,Septiembre,Q3,Lunes,False,
2024-01-07,2024,1,Enero,Q1,Domingo,True,
2024-04-05,2024,4,Abril,Q2,Viernes,False,
2024-10-08,2024,10,Octubre,Q4,Martes,False,
2024-08-19,2024,8,Agosto,Q3,Lunes,False,
2025-12-26,2025,12,Diciembre,Q4,Viernes,False,
2025-03-06,2025,3,Marzo,Q1,Jueves,False,
2025-07-29,2025,7,Julio,Q3,Martes,False,
2024-07-12,2024,7,Julio,Q3,Viernes,False,
2025-12-04,2025,12,Diciembre,Q4,Jueves,False,
2025-06-21,2025,6,Junio,Q2,Sábado,True,
2025-07-19,2025,7,Julio,Q3,Sábado,True,
2024-10-19,2024,10,Octubre,Q4,Sábado,True,
2025-09-16,2025,9,Septiembre,Q3,Martes,False,
2025-03-18,2025,3,Marzo,Q1,Martes,False,
2024-03-13,2024,3,Marzo,Q1,Miércoles,False,
2025-01-29,2025,1,Enero,Q1,Miércoles,False,
2025-12-02,2025,12,Diciembre,Q4,Martes,False,
2025-05-06,2025,5,Mayo,Q2,Martes,False,
2024-10-05,2024,10, Octubre ,Q4,Sábado,True,
2025-05-24,2025,5,Mayo,Q2,Sábado,True,
2025-05-23,2025,5,Mayo,Q2,Viernes,False,
2025-12-21,2025,12,Diciembre,Q4,Domingo,True,
2025-08-05,2025,8,Agosto,Q3,MARTES,False,
2024-03-18,2024,3,Marzo,Q1,Lunes,False,
2024-04-21,2024,4,Abril,Q2,Domingo,True,
2024-11-17,2024,11,Noviembre,Q4,Domingo,True,
2025-04-03,2025,4,Abril,Q2,Jueves,False,
2024-07-02,2024,7,Julio,Q3,Martes,False,
2025-03-13,2025,3,Marzo,Q1,JUEVES,False,
2025-08-16,2025,8,Agosto,Q3,Sábado,True,
2025-02-21,2025,2,Febrero,Q1,Viernes,False,
2025-06-03,2025,6,Junio,Q2,Martes,False,
2025-01-02,2025,1,Enero,Q1,Jueves,False,
2024-09-19,2024,9,Septiembre,Q3,Jueves,False,
2024-12-05,2024,12,Diciembre,Q4,Jueves,False,
2025-01-22,2025,1,Enero,Q1,Miércoles,False,
2025-12-01,2025,12,Diciembre,Q4,Lunes,False,
2024-07-08,2024,7,Julio,Q3,Lunes,False,
2024-08-31,2024,8,AGOSTO,Q3, Sábado ,True,
2025-10-05,2025,10,Octubre,Q4,Domingo,True,
2024-09-30,2024,9,Septiembre,Q3,Lunes,False,
2024-09-08,2024,9,Septiembre,Q3,Domingo,True,
2024-10-31,2024,10,Octubre,Q4,Jueves,False,
2025-11-23,2025,11,Noviembre,Q4,Domingo,True,
2024-03-09,2024,3,Marzo,Q1,Sábado,True,
2024-08-09,2024,8,Agosto,Q3,Viernes,False,
2024-03-27,2024,3,Marzo,Q1,Miércoles,False,
2025-03-03,2025,3,Marzo,Q1,Lunes,False,
2025-08-18,2025,8,Agosto,Q3,Lunes,False,
2024-02-08,2024,2,Febrero,Q1,Jueves,False,
2024-08-24,2024,8,Agosto,Q3,Sábado,True,
2025-09-30,2025,9,Septiembre,Q3,Martes,False,
2024-07-13,2024,7,Julio,Q3, Sábado ,True,
2024-10-04,2024,10,Octubre,Q4,Viernes,False,
2025-01-05,2025,1,Enero,Q1,DOMINGO,True,
2024-10-25,2024,10,Octubre,Q4,Viernes,False,
2025-10-03,2025,10,octubre,Q4,Viernes,False,
2025-08-25,2025,8,Agosto,Q3,Lunes,False,
2025-11-16,2025,11,noviembre,Q4,DOMINGO,True,
2024-06-26,2024,6,Junio,Q2,Miércoles,False,
2024-11-22,2024,11,Noviembre,Q4,Viernes,False,
2024-11-19,2024,11,Noviembre,Q4,Martes,False,
2024-05-23,2024,5,Mayo,Q2,Jueves,False,
2025-07-22,2025,7,Julio,Q3,Martes,False,
2025-12-06,2025,12,Diciembre,Q4,SÁBADO,True,
2024-02-13,2024,2,Febrero,Q1,Martes,False,
2024-06-05,2024,6,Junio,Q2,Miércoles,False,
2025-05-29,2025,5,Mayo,Q2,Jueves,False,
2024-02-09,2024,2,Febrero,Q1,Viernes,False,
2025-04-10,2025,4,Abril,Q2,Jueves,False,
2025-08-27,2025,8,Agosto,Q3,Miércoles,False,
2024-05-06,2024,5,Mayo,Q2,Lunes,False,
2025-08-28,2025,8,Agosto,Q3,Jueves,False,
2025-06-01,2025,6,Junio,Q2,Domingo,True,
2025-08-21,2025,8,Agosto,Q3,Jueves,False,
2024-06-28,2024,6,Junio,Q2,Viernes,False,
2025-04-01,2025,4,Abril,Q2,Martes,False,
2025-04-14,2025,4,Abril,Q2,Lunes,False,
2025-06-12,2025,6,Junio,Q2,Jueves,False,
2024-12-25,2024,12,Diciembre,Q4,Miércoles,False,
2024-09-15,2024,9,Septiembre,Q3,Domingo,True,
2024-05-07,2024,5,Mayo,Q2,Martes,False,
2024-03-07,2024,3,Marzo,Q1,Jueves,False,
2025-06-17,2025,6,Junio,Q2,Martes,False,
2024-11-14,2024,11,Noviembre,Q4,Jueves,False,
2025-11-24,2025,11,Noviembre,Q4,Lunes,False,
2024-07-25,2024,7,Julio,Q3,Jueves,False,
2025-01-28,2025,1,Enero,Q1,Martes,False,
2024-04-20,2024,4,Abril,Q2,Sábado,True,
2025-03-12,2025,3,Marzo,Q1,Miércoles,False,
2025-11-26,2025,11,Noviembre,Q4,Miércoles,False,
2025-11-30,2025,11,Noviembre,Q4,Domingo,True,
2025-05-10,2025,5,Mayo,Q2,Sábado,True,
2025-01-07,2025,1,Enero,Q1,Martes,False,
2025-04-23,2025,4,Abril,Q2,Miércoles,False,
2025-04-08,2025,4,ABRIL,Q2,Martes,False,
2025-07-31,2025,7,Julio,Q3,Jueves,False,
2025-09-04,2025,9,Septiembre,Q3,Jueves,False,
2025-09-05,2025,9,Septiembre,Q3,Viernes,False,
2024-06-25,2024,6,Junio,Q2,Martes,False,
2025-06-07,2025,6,Junio,Q2,Sábado,True,
2025-05-21,2025,5,Mayo,Q2,Miércoles,False,
2025-06-18,2025,6,Junio,Q2,Miércoles,False,
2025-10-13,2025,10,Octubre,Q4,Lunes,False,
2024-01-18,2024,1,Enero,Q1,Jueves,False,
2024-06-04,2024,6,Junio,Q2,Martes,False,
2025-07-04,2025,7,Julio,Q3,Viernes,False,
2024-09-11,2024,9,Septiembre,Q3,Miércoles,False,
2024-11-28,2024,11,Noviembre,Q4,Jueves,False,
2025-03-02,2025,3,Marzo,Q1,Domingo,True,
2024-03-29,2024,3,Marzo,Q1,Viernes,False,
2024-04-15,2024,4,Abril,Q2,lunes,False,
2024-08-22,2024,8,Agosto,Q3,Jueves,False,
2024-12-08,2024,12,Diciembre,Q4,Domingo,True,
2025-12-29,2025,12,Diciembre,Q4,Lunes,False,
2024-12-27,2024,12,Diciembre,Q4,Viernes,False,
2024-07-09,2024,7,Julio,Q3,Martes,False,
2024-09-18,2024,9,Septiembre,Q3,Miércoles,False,
2025-10-10,2025,10,Octubre,Q4,Viernes,False,
2025-05-04,2025,5,Mayo,Q2,Domingo,True,
2024-03-08,2024,3,Marzo,Q1,Viernes,False,
2025-10-30,2025,10,Octubre,Q4,Jueves,False,
2024-07-21,2024,7,Julio,Q3,Domingo,True,
2025-06-24,2025,6,JUNIO,Q2,Martes,False,
2025-11-21,2025,11,Noviembre,Q4,Viernes,False,
2025-10-26,2025,10,Octubre,Q4,Domingo,True,
2024-11-04,2024,11,Noviembre,Q4,Lunes,False,
2025-08-13,2025,8, Agosto ,Q3,Miércoles,False,
2024-04-18,2024,4,Abril,Q2,Jueves,False,
2025-03-17,2025,3,Marzo,Q1,Lunes,False,
2024-04-17,2024,4,Abril,Q2,Miércoles,False,
2025-12-13,2025,12,Diciembre,Q4,SÁBADO,True,
2025-04-22,2025,4,Abril,Q2,Martes,False,
2025-10-12,2025,10,Octubre,Q4,Domingo,True,
2025-04-27,2025,4,Abril,Q2,Domingo,True,
2025-01-25,2025,1,Enero,Q1,Sábado,True,
2025-09-22,2025,9,Septiembre,Q3,Lunes,False,
2024-08-27,2024,8,Agosto,Q3,Martes,False,
2025-01-11,2025,1,Enero,Q1,Sábado,True,
2025-07-21,2025,7,Julio,Q3,Lunes,False,
2025-09-18,2025,9,Septiembre,Q3,Jueves,False,
2024-04-04,2024,4,Abril,Q2,Jueves,False,
2024-01-15,2024,1,Enero,Q1,Lunes,False,
2025-02-12,2025,2,Febrero,Q1,Miércoles,False,
2024-01-19,2024,1,Enero,Q1,Viernes,False,
2025-09-11,2025,9,Septiembre,Q3,Jueves,False,
2024-06-17,2024,6,Junio,Q2, Lunes ,False,
2025-10-16,2025,10,Octubre,Q4,Jueves,False,
2024-10-27,2024,10,Octubre,Q4,Domingo,True,
2024-11-16,2024,11,noviembre,Q4,Sábado,True,
2024-03-16,2024,3,Marzo,Q1,Sábado,True,
2025-12-10,2025,12, Diciembre ,Q4,Miércoles,False,
2024-05-25,2024,5,Mayo,Q2,Sábado,True,
2025-09-26,2025,9,Septiembre,Q3,Viernes,False,
2024-08-05,2024,8,Agosto,Q3,Lunes,False,
2025-10-11,2025,10,Octubre,Q4,Sábado,True,
2025-12-31,2025,12,Diciembre,Q4,Miércoles,False,
2025-05-31,2025,5,Mayo,Q2,Sábado,True,
2025-05-28,2025,5,Mayo,Q2,miércoles,False,
2024-10-17,2024,10,Octubre,Q4,Jueves,False,
2025-03-22,2025,3,Marzo,Q1,Sábado,True,
2024-08-02,2024,8,Agosto,Q3,Viernes,False,
2024-11-01,2024,11,noviembre,Q4,Viernes,False,
2025-02-07,2025,2,Febrero,Q1,Viernes,False,
2025-03-10,2025,3,Marzo,Q1,Lunes,False,
2025-08-08,2025,8,Agosto,Q3,Viernes,False,
2025-02-25,2025,2,Febrero,Q1,Martes,False,
2024-04-30,2024,4,Abril,Q2,Martes,False,
2025-11-01,2025,11,Noviembre,Q4,Sábado,True,
2025-02-06,2025,2,Febrero,Q1,Jueves,False,
2024-09-13,2024,9,septiembre,Q3,Viernes,False,
2024-10-30,2024,10,Octubre,Q4,Miércoles,False,
2025-06-04,2025,6,Junio,Q2,Miércoles,False,
2025-12-22,2025,12,Diciembre,Q4,Lunes,False,
2024-05-13,2024,5,Mayo,Q2,Lunes,False,
2024-03-25,2024,3,Marzo,Q1,lunes,False,
2025-11-08,2025,11,NOVIEMBRE,Q4,Sábado,True,
2024-05-29,2024,5,Mayo,Q2,Miércoles,False,
2025-01-19,2025,1,Enero,Q1,Domingo,True,
2024-12-24,2024,12,Diciembre,Q4,Martes,False,
2024-05-12,2024,5,Mayo,Q2,Domingo,True,
2024-08-13,2024,8,Agosto,Q3,Martes,False,
2024-08-21,2024,8,Agosto,Q3,MIÉRCOLES,False,
2025-06-08,2025,6,Junio,Q2,Domingo,True,
2025-06-28,2025,6,Junio,Q2,Sábado,True,
2025-02-22,2025,2,Febrero,Q1,Sábado,True,
2025-11-09,2025,11,Noviembre,Q4,Domingo,True,
2025-04-09,2025,4,Abril,Q2,Miércoles,False,
2024-12-22,2024,12,Diciembre,Q4,domingo,True,
2024-07-20,2024,7,Julio,Q3,Sábado,True,
2025-02-23,2025,2,Febrero,Q1,Domingo,True,
2025-03-20,2025,3,Marzo,Q1,JUEVES,False,
2024-10-23,2024,10,Octubre,Q4,miércoles,False,
2024-01-01,2024,1,Enero,Q1,Lunes,False,
2024-10-26,2024,10,Octubre,Q4,Sábado,True,
2025-09-19,2025,9,Septiembre,Q3,Viernes,False,
2025-10-08,2025,10,Octubre,Q4,Miércoles,False,
2025-05-19,2025,5,Mayo,Q2,Lunes,False,
2025-03-29,2025,3,Marzo,Q1,Sábado,True,
2024-10-11,2024,10,Octubre,Q4,Viernes,False,
2025-05-17,2025,5,Mayo,Q2,Sábado,True,
2024-11-08,2024,11,Noviembre,Q4,Viernes,False,
2024-11-18,2024,11,NOVIEMBRE,Q4,Lunes,False,
2024-11-15,2024,11,Noviembre,Q4,Viernes,False,
2024-06-20,2024,6,Junio,Q2,Jueves,False,
2024-04-25,2024,4,Abril,Q2,Jueves,False,
2024-04-09,2024,4,Abril,Q2,Martes,False,
2024-02-20,2024,2,Febrero,Q1,Martes,False,
2024-01-02,2024,1,Enero,Q1,Martes,False,
2025-11-25,2025,11,Noviembre,Q4,Martes,False,
2025-04-04,2025,4,Abril,Q2,Viernes,False,
2024-03-12,2024,3,Marzo,Q1,Martes,False,
2024-07-10,2024,7,Julio,Q3,Miércoles,False,
2025-01-24,2025,1,Enero,Q1,Viernes,False,
2025-12-15,2025,12,Diciembre,Q4,Lunes,False,
2025-02-10,2025,2,Febrero,Q1,Lunes,False,
2025-07-06,2025,7,JULIO,Q3,Domingo,True,
2024-09-23,2024,9,Septiembre,Q3,Lunes,False,
2025-04-25,2025,4,Abril,Q2,Viernes,False,
2024-12-16,2024,12,Diciembre,Q4,Lunes,False,
2025-07-28,2025,7,Julio,Q3,Lunes,False,
2025-11-14,2025,11,Noviembre,Q4,Viernes,False,
2024-09-26,2024,9,Septiembre,Q3,Jueves,False,
2024-10-02,2024,10,Octubre,Q4,Miércoles,False,
2025-09-12,2025,9,Septiembre,Q3,Viernes,False,
2024-11-20,2024,11,Noviembre,Q4,Miércoles,False,
2025-04-20,2025,4,Abril,Q2,Domingo,True,
2025-07-18,2025,7,Julio,Q3,Viernes,False,
2024-07-30,2024,7,Julio,Q3,Martes,False,
2024-08-06,2024,8,Agosto,Q3,Martes,False,
2024-01-13,2024,1,Enero,Q1,Sábado,True,
2025-05-01,2025,5,Mayo,Q2,Jueves,False,
2025-01-31,2025,1,Enero,Q1,Viernes,False,
2025-10-19,2025,10,Octubre,Q4,Domingo,True,
2025-03-24,2025,3,Marzo,Q1,Lunes,False,
2025-03-28,2025,3,Marzo,Q1,Viernes,False,
2024-08-10,2024,8,Agosto,Q3,Sábado,True,
2025-09-27,2025,9,Septiembre,Q3,Sábado,True,
2025-02-15,2025,2,Febrero,Q1,Sábado,True,
2025-05-27,2025,5, Mayo ,Q2,Martes,False,
2024-04-06,2024,4,Abril,Q2,Sábado,True,
2024-08-30,2024,8,Agosto,Q3,Viernes,False,
2024-12-07,2024,12,Diciembre,Q4,Sábado,True,
2025-05-12,2025,5,Mayo,Q2,Lunes,False,
2024-03-15,2024,3,Marzo,Q1,Viernes,False,
2025-10-15,2025,10,Octubre,Q4,Miércoles,False,
2025-10-07,2025,10,Octubre,Q4,Martes,False,
2025-10-01,2025,10,OCTUBRE,Q4,Miércoles,False,
2024-08-20,2024,8,Agosto,Q3,Martes,False,
2025-11-22,2025,11,Noviembre,Q4,Sábado,True,
2024-06-02,2024,6,junio,Q2,Domingo,True,
2024-09-21,2024,9,Septiembre,Q3,Sábado,True,
2025-01-03,2025,1,Enero,Q1,Viernes,False,
2024-02-05,2024,2,Febrero,Q1,Lunes,False,
2024-01-14,2024,1,Enero,Q1,Domingo,True,
2024-03-17,2024,3, Marzo ,Q1,Domingo,True,
2025-04-30,2025,4,Abril,Q2,Miércoles,False,
2024-10-21,2024,10,Octubre,Q4,Lunes,False,
2025-04-13,2025,4,Abril,Q2,Domingo,True,
2024-02-29,2024,2,Febrero,Q1,Jueves,False,
2024-03-01,2024,3,Marzo,Q1,Viernes,False,
2025-06-23,2025,6,Junio,Q2,Lunes,False,
2024-06-03,2024,6,Junio,Q2,Lunes,False,
2025-08-07,2025,8,Agosto,Q3,Jueves,False,
2024-03-21,2024,3,Marzo,Q1,Jueves,False,
2025-07-27,2025,7,Julio,Q3,Domingo,True,
2024-01-05,2024,1,Enero,Q1,Viernes,False,
2025-08-12,2025,8,Agosto,Q3,Martes,False,
2024-09-09,2024,9,Septiembre,Q3,Lunes,False,
2024-11-24,2024,11,Noviembre,Q4,Domingo,True,
2025-12-25,2025,12,Diciembre,Q4,Jueves,False,
2025-11-10,2025,11,Noviembre,Q4,Lunes,False,
2025-10-28,2025,10,Octubre,Q4,Martes,False,
2024-05-26,2024,5,Mayo,Q2,Domingo,True,
2024-07-06,2024,7,Julio,Q3,Sábado,True,
2025-01-12,2025,1,Enero,Q1, Domingo ,True,
2025-10-02,2025,10,Octubre,Q4,Jueves,False,
2025-08-02,2025,8,Agosto,Q3,Sábado,True,
2025-11-19,2025,11,Noviembre,Q4,Miércoles,False,
2024-07-28,2024,7,Julio,Q3,Domingo,True,
2024-03-11,2024,3,Marzo,Q1,Lunes,False,
2024-06-11,2024,6,Junio,Q2,Martes,False,
2025-04-02,2025,4,abril,Q2,Miércoles,False,
2024-05-21,2024,5,Mayo,Q2,Martes,False,
2024-05-10,2024,5,Mayo,Q2, Viernes ,False,
2025-07-09,2025,7,Julio,Q3,Miércoles,False,
2025-07-20,2025,7,Julio,Q3,Domingo,True,
2025-12-07,2025,12,Diciembre,Q4,Domingo,True,
2025-02-02,2025,2,Febrero,Q1, Domingo ,True,
2025-02-04,2025,2,Febrero,Q1,Martes,False,
2025-09-01,2025,9,Septiembre,Q3,Lunes,False,
2025-03-26,2025,3,Marzo,Q1,Miércoles,False,
2025-03-04,2025,3,Marzo,Q1,Martes,False,
2025-11-15,2025,11,Noviembre,Q4,Sábado,True,
2025-07-26,2025,7,Julio,Q3,Sábado,True,
2024-07-26,2024,7,Julio,Q3,Viernes,False,
2024-07-19,2024,7,Julio,Q3,Viernes,False,
2025-04-29,2025,4, Abril ,Q2,Martes,False,
2024-07-14,2024,7,Julio,Q3,Domingo,True,
2025-11-18,2025,11,Noviembre,Q4,Martes,False,
2024-05-15,2024,5,Mayo,Q2,Miércoles,False,
2025-01-26,2025,1,Enero,Q1,Domingo,True,
2025-07-30,2025,7,Julio,Q3,Miércoles,False,
2025-08-22,2025,8,Agosto,Q3,Viernes,False,
2025-01-04,2025,1,Enero,Q1, Sábado ,True,
2024-12-19,2024,12,Diciembre,Q4,Jueves,False,
2024-06-24,2024,6,Junio,Q2,Lunes,False,
2024-08-03,2024,8,Agosto,Q3,sábado,True,
2024-02-12,2024,2,Febrero,Q1,Lunes,False,
2024-05-17,2024,5,Mayo,Q2,Viernes,False,
2024-02-27,2024,2,Febrero,Q1,Martes,False,
2025-11-05,2025,11,Noviembre,Q4,Miércoles,False,
2024-04-01,2024,4,Abril,Q2,Lunes,False,
2024-10-22,2024,10,Octubre,Q4,Martes,False,
2024-12-21,2024,12,Diciembre,Q4, Sábado ,True,
2024-06-14,2024,6,junio,Q2,Viernes,False,
2025-06-14,2025,6,Junio,Q2,Sábado,True,
2024-10-24,2024,10,Octubre,Q4,Jueves,False,
2025-06-27,2025,6,Junio,Q2,Viernes,False,
2025-09-14,2025,9,Septiembre,Q3,Domingo,True,
2025-12-17,2025,12,Diciembre,Q4,Miércoles,False,
2024-01-31,2024,1,Enero,Q1,Miércoles,False,
2025-08-24,2025,8,Agosto,Q3,Domingo,True,
2024-12-01,2024,12,Diciembre,Q4,Domingo,True,
2025-03-25,2025,3,Marzo,Q1,Martes,False,
2024-08-28,2024,8,Agosto,Q3,Miércoles,False,
2025-06-05,2025,6,Junio,Q2,Jueves,False,
2024-02-06,2024,2,Febrero,Q1,Martes,False,
2024-09-03,2024,9,Septiembre,Q3,Martes,False,
2025-05-25,2025,5,Mayo,Q2,Domingo,True,
2025-03-07,2025,3,Marzo,Q1,Viernes,False,
2025-12-05,2025,12,DICIEMBRE,Q4,Viernes,False,
2024-06-08,2024,6,Junio,Q2,Sábado,True,
2025-12-16,2025,12,Diciembre,Q4,Martes,False,
2024-07-03,2024,7,Julio,Q3,Miércoles,False,
2025-02-11,2025,2,Febrero,Q1,Martes,False,
2024-05-04,2024,5,Mayo,Q2,Sábado,True,
2024-03-04,2024,3,Marzo,Q1,Lunes,False,
2025-02-03,2025,2,Febrero,Q1,Lunes,False,
2025-11-07,2025,11,Noviembre,Q4,Viernes,False,
2024-11-21,2024,11,Noviembre,Q4,Jueves,False,
2024-12-17,2024,12,Diciembre,Q4,Martes,False,
2024-08-29,2024,8,Agosto,Q3,Jueves,False,
2024-12-18,2024,12,Diciembre,Q4,Miércoles,False,
2025-10-09,2025,10,Octubre,Q4,Jueves,False,
2025-04-24,2025,4,Abril,Q2,Jueves,False,
2024-11-11,2024,11,Noviembre,Q4,Lunes,False,
2024-03-23,2024,3,Marzo,Q1,Sábado,True,
2025-09-09,2025,9,Septiembre,Q3,Martes,False,
2024-11-10,2024,11,Noviembre,Q4,Domingo,True,
2024-12-20,2024,12,Diciembre,Q4,Viernes,False,
2024-12-31,2024,12,Diciembre,Q4,Martes,False,
2025-10-31,2025,10,Octubre,Q4,Viernes,False,
2025-12-03,2025,12,Diciembre,Q4,Miércoles,False,
2024-01-17,2024,1,Enero,Q1,Miércoles,False,
2025-09-06,2025,9,Septiembre,Q3,Sábado,True,
2025-06-30,2025,6,Junio,Q2,Lunes,False,
2025-04-05,2025,4,Abril,Q2,Sábado,True,
2025-01-16,2025,1,Enero,Q1,Jueves,False,
2025-11-28,2025,11,Noviembre,Q4,Viernes,False,
2025-07-25,2025,7,Julio,Q3,Viernes,False,
2025-10-17,2025,10,Octubre,Q4,Viernes,False,
2024-05-18,2024,5,Mayo,Q2,Sábado,True,
2025-08-11,2025,8,Agosto,Q3,Lunes,False,
2025-06-11,2025,6,Junio,Q2,Miércoles,False,
2025-05-07,2025,5,Mayo,Q2,Miércoles,False,
2025-12-24,2025,12,Diciembre,Q4,Miércoles,False,
2024-07-01,2024,7,Julio,Q3,Lunes,False,
2025-04-28,2025,4,Abril,Q2,Lunes,False,
2025-07-17,2025,7,Julio,Q3,Jueves,False,
2025-02-20,2025,2,Febrero,Q1,Jueves,False,
2024-02-25,2024,2,Febrero,Q1,Domingo,True,
2025-04-12,2025,4,Abril,Q2,Sábado,True,
2024-02-23,2024,2,Febrero,Q1,Viernes,False,
2024-04-23,2024,4,Abril,Q2,Martes,False,
2025-08-19,2025,8,Agosto,Q3,Martes,False,
2024-08-18,2024,8,Agosto,Q3,Domingo,True,
2024-04-19,2024,4,Abril,Q2,Viernes,False,
2024-09-28,2024,9,Septiembre,Q3,Sábado,True,
2025-02-24,2025,2,Febrero,Q1,Lunes,False,
2025-05-02,2025,5,Mayo,Q2,Viernes,False,
2024-02-18,2024,2,Febrero,Q1,Domingo,True,
2024-09-01,2024,9,Septiembre,Q3,Domingo,True,
