ticket_id,cliente_id,fecha_apertura,fecha_cierre,categoria
TCK-00051,CLI-00150,2025-01-18,2025-01-25,Bug
TCK-00052,CLI-00151,2025-01-18,2025-01-23,Rendimiento
TCK-00053,CLI-00410,2025-01-18,2025-01-20,Bug
TCK-00054,CLI-00052,2025-01-19,2025-01-23,Facturación
TCK-00055,CLI-00248,2025-01-19,2025-01-19,Bug
TCK-00056,CLI-00279,2025-01-19,2025-01-23,Rendimiento
TCK-00057,CLI-00440,2025-01-19,2025-01-24,Acceso
TCK-00058,CLI-00487,2025-01-19,2025-01-21,Consulta
TCK-00059,CLI-00016,2025-01-20,2025-01-20,Bug
TCK-00060,CLI-00329,2025-01-20,2025-01-22,Rendimiento
TCK-00061,CLI-00496,2025-01-20,2025-01-21,Rendimiento
TCK-00062,CLI-00210,2025-01-21,2025-01-26,Acceso
TCK-00063,CLI-00332,2025-01-21,2025-01-25,Facturación
TCK-00064,CLI-00394,2025-01-21,2025-01-22,Acceso
TCK-00065,CLI-00404,2025-01-21,2025-01-28,Bug
TCK-00066,CLI-00446,2025-01-21,2025-01-26,Rendimiento
TCK-00067,CLI-00487,2025-01-21,2025-01-26,Consulta
TCK-00068,CLI-00036,2025-01-22,2025-01-24,Facturación
TCK-00069,CLI-00332,2025-01-22,2025-01-29,Consulta
TCK-00070,CLI-00173,2025-01-23,2025-01-30,Rendimiento
TCK-00071,CLI-00203,2025-01-23,2025-01-26,Consulta
TCK-00072,CLI-00411,2025-01-23,2025-01-27,Consulta
TCK-00073,CLI-00144,2025-01-24,2025-01-28,Acceso
TCK-00074,CLI-00388,2025-01-24,2025-01-24,Facturación
TCK-00075,CLI-00156,2025-01-25,2025-01-28,Facturación
TCK-00076,CLI-00191,2025-01-25,2025-01-25,Facturación
TCK-00077,CLI-00156,2025-01-26,2025-01-28,Rendimiento
TCK-00078,CLI-00398,2025-01-26,2025-01-30,Facturación
TCK-00079,CLI-00437,2025-01-26,2025-01-31,Consulta
TCK-00080,CLI-00003,2025-01-27,2025-01-31,Rendimiento
TCK-00081,CLI-00108,2025-01-27,2025-02-01,Acceso
TCK-00082,CLI-00247,2025-01-28,2025-02-02,Acceso
TCK-00083,CLI-00109,2025-02-01,2025-02-03,Rendimiento
TCK-00084,CLI-00279,2025-02-01,2025-02-06,Consulta
TCK-00085,CLI-00393,2025-02-01,2025-02-02,Bug
TCK-00086,CLI-00034,2025-02-02,2025-02-08,Bug
TCK-00087,CLI-00358,2025-02-02,2025-02-06,Consulta
TCK-00088,CLI-00359,2025-02-02,2025-02-06,Acceso
TCK-00089,CLI-00359,2025-02-02,2025-02-04,Acceso
TCK-00090,CLI-00354,2025-02-03,2025-02-06,Bug
TCK-00091,CLI-00032,2025-02-05,2025-02-11,Consulta
TCK-00092,CLI-00090,2025-02-05,2025-02-07,Bug
TCK-00093,CLI-00325,2025-02-05,2025-02-05,Rendimiento
TCK-00094,CLI-00403,2025-02-06,2025-02-10,Rendimiento
TCK-00095,CLI-00060,2025-02-07,2025-02-11,Consulta
TCK-00096,CLI-00106,2025-02-07,2025-02-13,Facturación
TCK-00097,CLI-00175,2025-02-07,2025-02-07,Acceso
TCK-00098,CLI-00145,2025-02-08,2025-02-10,Rendimiento
TCK-00099,CLI-00196,2025-02-08,2025-02-13,Bug
TCK-00100,CLI-00428,2025-02-08,2025-02-15,Acceso
TCK-00101,CLI-00189,2025-02-09,2025-02-14,Bug
TCK-00102,CLI-00249,2025-02-09,2025-02-12,Consulta
TCK-00103,CLI-00333,2025-02-09,2025-02-13,Facturación
TCK-00104,CLI-00501,2025-02-09,2025-02-14,Acceso
TCK-00105,CLI-00358,2025-02-10,2025-02-12,Rendimiento
TCK-00106,CLI-00501,2025-02-11,2025-02-11,Bug
TCK-00107,CLI-00505,2025-02-11,2025-02-14,Consulta
TCK-00108,CLI-00066,2025-02-12,2025-02-17,Facturación
TCK-00109,CLI-00004,2025-02-13,2025-02-17,Facturación
TCK-00110,CLI-00157,2025-02-13,2025-02-19,Bug
TCK-00111,CLI-00448,2025-02-13,2025-02-14,Consulta
TCK-00112,CLI-00469,2025-02-13,2025-02-13,Rendimiento
TCK-00113,CLI-00032,2025-02-14,2025-02-16,Rendimiento
TCK-00114,CLI-00073,2025-02-14,2025-02-19,Consulta
TCK-00115,CLI-00206,2025-02-14,2025-02-17,Rendimiento
TCK-00116,CLI-00404,2025-02-14,2025-02-19,Facturación
TCK-00117,CLI-00469,2025-02-14,2025-02-16,Consulta
TCK-00118,CLI-00189,2025-02-15,2025-02-18,Rendimiento
TCK-00119,CLI-00376,2025-02-15,2025-02-19,Facturación
TCK-00120,CLI-00157,2025-02-16,2025-02-20,Acceso
TCK-00121,CLI-00289,2025-02-16,2025-02-22,Bug
TCK-00122,CLI-00509,2025-02-16,2025-02-21,Facturación
TCK-00123,CLI-00448,2025-02-17,2025-02-24,Rendimiento
TCK-00124,CLI-00501,2025-02-17,2025-02-22,Acceso
TCK-00125,CLI-00156,2025-02-18,2025-02-21,Consulta
TCK-00126,CLI-00080,2025-02-19,2025-02-19,Consulta
TCK-00127,CLI-00272,2025-02-19,2025-02-23,Acceso
TCK-00128,CLI-00272,2025-02-19,2025-02-19,Facturación
TCK-00129,CLI-00289,2025-02-19,2025-02-23,Rendimiento
TCK-00130,CLI-00055,2025-02-20,2025-02-26,Bug
TCK-00131,CLI-00080,2025-02-20,2025-02-26,Facturación
TCK-00132,CLI-00381,2025-02-20,2025-02-22,Rendimiento
TCK-00133,CLI-00032,2025-02-21,2025-02-22,Consulta
TCK-00134,CLI-00047,2025-02-23,2025-03-01,Acceso
TCK-00135,CLI-00381,2025-02-23,2025-02-24,Consulta
TCK-00136,CLI-00385,2025-02-23,2025-02-25,Bug
TCK-00137,CLI-00416,2025-02-23,2025-02-26,Consulta
TCK-00138,CLI-00428,2025-02-23,2025-02-26,Consulta
TCK-00139,CLI-00460,2025-02-23,2025-02-27,Facturación
TCK-00140,CLI-00509,2025-02-23,2025-03-01,Rendimiento
TCK-00141,CLI-00090,2025-02-24,2025-02-27,Facturación
TCK-00142,CLI-00228,2025-02-24,2025-02-26,Rendimiento
TCK-00143,CLI-00404,2025-02-24,2025-02-24,Rendimiento
TCK-00144,CLI-00066,2025-02-25,2025-03-03,Bug
TCK-00145,CLI-00090,2025-02-25,2025-03-03,Facturación
TCK-00146,CLI-00399,2025-02-25,2025-02-26,Acceso
TCK-00147,CLI-00509,2025-02-25,2025-02-28,Acceso
TCK-00148,CLI-00264,2025-02-26,2025-02-26,Acceso
TCK-00149,CLI-00369,2025-02-26,2025-02-28,Rendimiento
TCK-00150,CLI-00108,2025-02-27,2025-02-28,Consulta
TCK-00151,CLI-00195,2025-02-28,2025-03-06,Facturación
TCK-00152,CLI-00247,2025-02-28,2025-03-06,Bug
TCK-00153,CLI-00391,2025-02-28,2025-03-03,Rendimiento
TCK-00154,CLI-00018,2025-03-01,2025-03-04,Consulta
TCK-00155,CLI-00045,2025-03-01,2025-03-05,Bug
TCK-00156,CLI-00388,2025-03-01,2025-03-08,Consulta
TCK-00157,CLI-00403,2025-03-01,2025-03-02,Acceso
TCK-00158,CLI-00469,2025-03-01,2025-03-03,Bug
TCK-00159,CLI-00059,2025-03-02,2025-03-04,Facturación
TCK-00160,CLI-00096,2025-03-02,2025-03-08,Acceso
TCK-00161,CLI-00156,2025-03-02,2025-03-02,Rendimiento
TCK-00162,CLI-00191,2025-03-02,2025-03-04,Facturación
TCK-00163,CLI-00240,2025-03-02,2025-03-04,Acceso
TCK-00164,CLI-00306,2025-03-02,2025-03-05,Bug
TCK-00165,CLI-00385,2025-03-02,2025-03-02,Acceso
TCK-00166,CLI-00484,2025-03-02,2025-03-05,Facturación
TCK-00167,CLI-00059,2025-03-03,2025-03-08,Rendimiento
TCK-00168,CLI-00063,2025-03-03,2025-03-06,Facturación
TCK-00169,CLI-00399,2025-03-03,2025-03-06,Acceso
TCK-00170,CLI-00403,2025-03-03,2025-03-10,Acceso
TCK-00171,CLI-00416,2025-03-03,2025-03-04,Facturación
TCK-00172,CLI-00156,2025-03-04,2025-03-11,Bug
TCK-00173,CLI-00156,2025-03-04,2025-03-10,Acceso
TCK-00174,CLI-00332,2025-03-04,2025-03-06,Acceso
TCK-00175,CLI-00424,2025-03-04,2025-03-04,Facturación
TCK-00176,CLI-00484,2025-03-04,2025-03-08,Facturación
TCK-00177,CLI-00047,2025-03-05,2025-03-06,Acceso
TCK-00178,CLI-00340,2025-03-05,2025-03-10,Acceso
TCK-00179,CLI-00347,2025-03-05,2025-03-08,Acceso
TCK-00180,CLI-00412,2025-03-05,2025-03-12,Acceso
TCK-00181,CLI-00226,2025-03-06,2025-03-09,Consulta
TCK-00182,CLI-00265,2025-03-06,2025-03-09,Rendimiento
TCK-00183,CLI-00272,2025-03-06,2025-03-10,Bug
TCK-00184,CLI-00365,2025-03-06,2025-03-13,Bug
TCK-00185,CLI-00488,2025-03-06,2025-03-12,Bug
TCK-00186,CLI-00029,2025-03-07,2025-03-08,Bug
TCK-00187,CLI-00437,2025-03-07,2025-03-08,Facturación
TCK-00188,CLI-00106,2025-03-08,2025-03-08,Rendimiento
TCK-00189,CLI-00130,2025-03-08,2025-03-08,Consulta
TCK-00190,CLI-00228,2025-03-08,2025-03-09,Rendimiento
TCK-00191,CLI-00435,2025-03-08,2025-03-13,Bug
TCK-00192,CLI-00136,2025-03-09,2025-03-12,Rendimiento
TCK-00193,CLI-00403,2025-03-09,2025-03-15,Acceso
TCK-00194,CLI-00424,2025-03-10,2025-03-14,Rendimiento
TCK-00195,CLI-00047,2025-03-11,2025-03-12,Acceso
TCK-00196,CLI-00334,2025-03-11,2025-03-17,Consulta
TCK-00197,CLI-00353,2025-03-11,2025-03-16,Acceso
TCK-00198,CLI-00399,2025-03-11,2025-03-17,Bug
TCK-00199,CLI-00055,2025-03-12,2025-03-12,Acceso
TCK-00200,CLI-00484,2025-03-12,2025-03-17,Rendimiento
TCK-00201,CLI-00088,2025-03-13,2025-03-14,Consulta
TCK-00202,CLI-00410,2025-03-13,2025-03-15,Rendimiento
TCK-00203,CLI-00437,2025-03-13,2025-03-17,Bug
TCK-00204,CLI-00130,2025-03-14,2025-03-21,Facturación
TCK-00205,CLI-00485,2025-03-14,2025-03-14,Consulta
TCK-00206,CLI-00006,2025-03-15,2025-03-15,Rendimiento
TCK-00207,CLI-00306,2025-03-15,2025-03-15,Facturación
TCK-00208,CLI-00084,2025-03-16,2025-03-22,Bug
TCK-00209,CLI-00136,2025-03-16,2025-03-22,Acceso
TCK-00210,CLI-00350,2025-03-16,2025-03-17,Bug
TCK-00211,CLI-00046,2025-03-17,2025-03-21,Bug
TCK-00212,CLI-00191,2025-03-17,2025-03-24,Consulta
TCK-00213,CLI-00443,2025-03-17,2025-03-23,Rendimiento
TCK-00214,CLI-00443,2025-03-17,2025-03-17,Facturación
TCK-00215,CLI-00492,2025-03-17,2025-03-19,Acceso
TCK-00216,CLI-00333,2025-03-18,2025-03-20,Facturación
TCK-00217,CLI-00272,2025-03-20,2025-03-27,Rendimiento
TCK-00218,CLI-00332,2025-03-20,2025-03-27,Bug
TCK-00219,CLI-00431,2025-03-20,2025-03-20,Facturación
TCK-00220,CLI-00469,2025-03-20,2025-03-21,Acceso
TCK-00221,CLI-00506,2025-03-20,2025-03-27,Rendimiento
TCK-00222,CLI-00018,2025-03-21,2025-03-24,Consulta
TCK-00223,CLI-00218,2025-03-21,2025-03-28,Acceso
TCK-00224,CLI-00047,2025-03-22,2025-03-22,Rendimiento
TCK-00225,CLI-00090,2025-03-22,2025-03-25,Bug
TCK-00226,CLI-00107,2025-03-22,2025-03-26,Facturación
TCK-00227,CLI-00216,2025-03-22,2025-03-24,Acceso
TCK-00228,CLI-00272,2025-03-22,2025-03-23,Facturación
TCK-00229,CLI-00189,2025-03-23,2025-03-30,Facturación
TCK-00230,CLI-00306,2025-03-23,2025-03-24,Consulta
TCK-00231,CLI-00333,2025-03-23,2025-03-24,Acceso
TCK-00232,CLI-00443,2025-03-23,2025-03-25,Facturación
TCK-00233,CLI-00385,2025-03-24,2025-03-26,Rendimiento
TCK-00234,CLI-00337,2025-03-25,2025-04-01,Bug
TCK-00235,CLI-00090,2025-03-26,2025-04-02,Bug
TCK-00236,CLI-00393,2025-03-26,2025-04-02,Acceso
TCK-00237,CLI-00059,2025-03-27,2025-03-29,Facturación
TCK-00238,CLI-00108,2025-03-27,2025-03-29,Acceso
TCK-00239,CLI-00189,2025-03-27,2025-03-29,Facturación
TCK-00240,CLI-00350,2025-03-27,2025-03-27,Acceso
TCK-00241,CLI-00347,2025-03-28,2025-04-03,Bug
TCK-00242,CLI-00385,2025-03-28,2025-03-31,Acceso
TCK-00243,CLI-00043,2025-04-01,2025-04-05,Acceso
TCK-00244,CLI-00139,2025-04-01,2025-04-04,Consulta
TCK-00245,CLI-00240,2025-04-01,2025-04-06,Rendimiento
TCK-00246,CLI-00341,2025-04-01,2025-04-05,Consulta
TCK-00247,CLI-00036,2025-04-02,2025-04-09,Consulta
TCK-00248,CLI-00063,2025-04-03,2025-04-09,Bug
TCK-00249,CLI-00315,2025-04-03,2025-04-10,Rendimiento
TCK-00250,CLI-00317,2025-04-03,2025-04-05,Bug
TCK-00251,CLI-00369,2025-04-03,2025-04-08,Consulta
TCK-00252,CLI-00503,2025-04-03,2025-04-07,Consulta
TCK-00253,CLI-00036,2025-04-04,2025-04-07,Rendimiento
TCK-00254,CLI-00151,2025-04-04,2025-04-08,Facturación
TCK-00255,CLI-00173,2025-04-04,2025-04-04,Consulta
TCK-00256,CLI-00210,2025-04-04,2025-04-05,Rendimiento
TCK-00257,CLI-00275,2025-04-04,2025-04-05,Acceso
TCK-00258,CLI-00334,2025-04-05,2025-04-11,Consulta
TCK-00259,CLI-00404,2025-04-06,2025-04-06,Acceso
TCK-00260,CLI-00077,2025-04-07,2025-04-08,Acceso
TCK-00261,CLI-00248,2025-04-07,2025-04-09,Bug
TCK-00262,CLI-00468,2025-04-07,2025-04-11,Consulta
TCK-00263,CLI-00349,2025-04-08,2025-04-09,Bug
TCK-00264,CLI-00332,2025-04-09,2025-04-12,Consulta
TCK-00265,CLI-00339,2025-04-09,2025-04-14,Rendimiento
TCK-00266,CLI-00145,2025-04-10,2025-04-10,Acceso
TCK-00267,CLI-00034,2025-04-11,2025-04-14,Consulta
TCK-00268,CLI-00052,2025-04-11,2025-04-16,Rendimiento
TCK-00269,CLI-00131,2025-04-11,2025-04-11,Acceso
TCK-00270,CLI-00211,2025-04-11,2025-04-16,Acceso
TCK-00271,CLI-00468,2025-04-11,2025-04-17,Acceso
TCK-00272,CLI-00505,2025-04-11,2025-04-11,Facturación
TCK-00273,CLI-00199,2025-04-12,2025-04-14,Bug
TCK-00274,CLI-00036,2025-04-13,2025-04-17,Rendimiento
TCK-00275,CLI-00257,2025-04-13,2025-04-18,Acceso
TCK-00276,CLI-00505,2025-04-13,2025-04-20,Consulta
TCK-00277,CLI-00334,2025-04-14,2025-04-19,Facturación
TCK-00278,CLI-00391,2025-04-14,2025-04-21,Rendimiento
TCK-00279,CLI-00045,2025-04-15,2025-04-17,Consulta
TCK-00280,CLI-00123,2025-04-15,2025-04-15,Rendimiento
TCK-00281,CLI-00210,2025-04-15,2025-04-15,Acceso
TCK-00282,CLI-00260,2025-04-15,2025-04-18,Rendimiento
TCK-00283,CLI-00290,2025-04-15,2025-04-21,Facturación
TCK-00284,CLI-00334,2025-04-15,2025-04-15,Rendimiento
TCK-00285,CLI-00460,2025-04-15,2025-04-16,Rendimiento
TCK-00286,CLI-00414,2025-04-16,2025-04-16,Consulta
TCK-00287,CLI-00257,2025-04-17,2025-04-21,Facturación
TCK-00288,CLI-00035,2025-04-19,2025-04-25,Facturación
TCK-00289,CLI-00052,2025-04-19,2025-04-26,Rendimiento
TCK-00290,CLI-00240,2025-04-19,2025-04-21,Rendimiento
TCK-00291,CLI-00424,2025-04-19,2025-04-21,Bug
TCK-00292,CLI-00006,2025-04-20,2025-04-25,Facturación
TCK-00293,CLI-00195,2025-04-20,2025-04-20,Facturación
TCK-00294,CLI-00059,2025-04-21,2025-04-24,Bug
TCK-00295,CLI-00341,2025-04-21,2025-04-22,Acceso
TCK-00296,CLI-00443,2025-04-21,2025-04-28,Bug
TCK-00297,CLI-00084,2025-04-22,2025-04-29,Facturación
TCK-00298,CLI-00199,2025-04-22,2025-04-23,Facturación
TCK-00299,CLI-00238,2025-04-22,2025-04-27,Rendimiento
TCK-00300,CLI-00052,2025-04-23,2025-04-23,Bug
TCK-00301,CLI-00070,2025-04-23,2025-04-24,Rendimiento
TCK-00302,CLI-00315,2025-04-23,2025-04-27,Rendimiento
TCK-00303,CLI-00443,2025-04-23,2025-04-27,Facturación
TCK-00304,CLI-00047,2025-04-24,2025-04-29,Bug
TCK-00305,CLI-00199,2025-04-24,2025-04-25,Facturación
TCK-00306,CLI-00271,2025-04-24,2025-04-26,Facturación
TCK-00307,CLI-00271,2025-04-24,2025-04-30,Consulta
TCK-00308,CLI-00460,2025-04-24,2025-04-27,Rendimiento
TCK-00309,CLI-00509,2025-04-24,2025-04-28,Acceso
TCK-00310,CLI-00028,2025-04-25,2025-04-28,Facturación
TCK-00311,CLI-00139,2025-04-25,2025-04-26,Bug
TCK-00312,CLI-00228,2025-04-25,2025-04-30,Facturación
TCK-00313,CLI-00339,2025-04-25,2025-05-01,Rendimiento
TCK-00314,CLI-00411,2025-04-25,2025-04-29,Consulta
TCK-00315,CLI-00506,2025-04-25,2025-04-27,Bug
TCK-00316,CLI-00045,2025-04-26,2025-05-01,Acceso
TCK-00317,CLI-00248,2025-04-26,2025-04-29,Rendimiento
TCK-00318,CLI-00414,2025-04-26,2025-04-27,Acceso
TCK-00319,CLI-00073,2025-04-28,2025-04-29,Rendimiento
TCK-00320,CLI-00315,2025-04-28,2025-05-04,Facturación
TCK-00321,CLI-00365,2025-04-28,2025-05-04,Facturación
TCK-00322,CLI-00414,2025-04-28,2025-05-04,Bug
TCK-00323,CLI-00161,2025-05-01,2025-05-07,Acceso
TCK-00324,CLI-00195,2025-05-01,2025-05-05,Consulta
TCK-00325,CLI-00018,2025-05-02,2025-05-04,Consulta
TCK-00326,CLI-00358,2025-05-02,2025-05-08,Bug
TCK-00327,CLI-00452,2025-05-02,2025-05-08,Rendimiento
TCK-00328,CLI-00349,2025-05-03,2025-05-07,Bug
TCK-00329,CLI-00153,2025-05-04,2025-05-06,Acceso
TCK-00330,CLI-00290,2025-05-04,2025-05-09,Consulta
TCK-00331,CLI-00210,2025-05-05,2025-05-08,Facturación
TCK-00332,CLI-00218,2025-05-05,2025-05-11,Bug
TCK-00333,CLI-00265,2025-05-05,2025-05-10,Facturación
TCK-00334,CLI-00332,2025-05-05,2025-05-05,Bug
TCK-00335,CLI-00354,2025-05-05,2025-05-08,Consulta
TCK-00336,CLI-00376,2025-05-05,2025-05-06,Bug
TCK-00337,CLI-00349,2025-05-06,2025-05-09,Bug
TCK-00338,CLI-00431,2025-05-06,2025-05-08,Consulta
TCK-00339,CLI-00290,2025-05-07,2025-05-07,Rendimiento
TCK-00340,CLI-00506,2025-05-07,2025-05-14,Acceso
TCK-00341,CLI-00032,2025-05-08,2025-05-14,Facturación
TCK-00342,CLI-00240,2025-05-08,2025-05-10,Acceso
TCK-00343,CLI-00344,2025-05-08,2025-05-08,Consulta
TCK-00344,CLI-00161,2025-05-09,2025-05-10,Rendimiento
TCK-00345,CLI-00199,2025-05-09,2025-05-14,Consulta
TCK-00346,CLI-00396,2025-05-10,2025-05-11,Bug
TCK-00347,CLI-00046,2025-05-11,2025-05-18,Acceso
TCK-00348,CLI-00004,2025-05-13,2025-05-19,Consulta
TCK-00349,CLI-00070,2025-05-13,2025-05-15,Rendimiento
TCK-00350,CLI-00169,2025-05-13,2025-05-20,Acceso
TCK-00351,CLI-00235,2025-05-13,2025-05-19,Rendimiento
TCK-00352,CLI-00241,2025-05-13,2025-05-18,Acceso
TCK-00353,CLI-00448,2025-05-13,2025-05-16,Rendimiento
TCK-00354,CLI-00077,2025-05-14,2025-05-17,Facturación
TCK-00355,CLI-00228,2025-05-15,2025-05-22,Acceso
TCK-00356,CLI-00115,2025-05-16,2025-05-18,Acceso
TCK-00357,CLI-00204,2025-05-16,2025-05-17,Facturación
TCK-00358,CLI-00240,2025-05-16,2025-05-20,Facturación
TCK-00359,CLI-00332,2025-05-16,2025-05-18,Facturación
TCK-00360,CLI-00431,2025-05-16,2025-05-16,Consulta
TCK-00361,CLI-00437,2025-05-16,2025-05-20,Facturación
TCK-00362,CLI-00059,2025-05-17,2025-05-18,Bug
TCK-00363,CLI-00090,2025-05-17,2025-05-23,Bug
TCK-00364,CLI-00173,2025-05-17,2025-05-17,Consulta
TCK-00365,CLI-00041,2025-05-18,2025-05-22,Facturación
TCK-00366,CLI-00275,2025-05-18,2025-05-21,Bug
TCK-00367,CLI-00290,2025-05-18,2025-05-21,Rendimiento
TCK-00368,CLI-00475,2025-05-18,2025-05-22,Rendimiento
TCK-00369,CLI-00070,2025-05-19,2025-05-23,Acceso
TCK-00370,CLI-00131,2025-05-20,2025-05-20,Facturación
TCK-00371,CLI-00169,2025-05-20,2025-05-20,Rendimiento
TCK-00372,CLI-00275,2025-05-20,2025-05-25,Rendimiento
TCK-00373,CLI-00332,2025-05-20,2025-05-25,Acceso
TCK-00374,CLI-00501,2025-05-20,2025-05-22,Consulta
TCK-00375,CLI-00104,2025-05-21,2025-05-26,Rendimiento
TCK-00376,CLI-00271,2025-05-21,2025-05-28,Acceso
TCK-00377,CLI-00452,2025-05-21,2025-05-25,Acceso
TCK-00378,CLI-00240,2025-05-22,2025-05-24,Acceso
TCK-00379,CLI-00034,2025-05-23,2025-05-27,Acceso
TCK-00380,CLI-00343,2025-05-23,2025-05-23,Facturación
TCK-00381,CLI-00350,2025-05-23,2025-05-29,Bug
TCK-00382,CLI-00350,2025-05-23,2025-05-28,Rendimiento
TCK-00383,CLI-00371,2025-05-23,2025-05-30,Bug
TCK-00384,CLI-00034,2025-05-24,2025-05-30,Rendimiento
TCK-00385,CLI-00195,2025-05-24,2025-05-28,Rendimiento
TCK-00386,CLI-00344,2025-05-24,2025-05-24,Acceso
TCK-00387,CLI-00004,2025-05-25,2025-05-28,Acceso
TCK-00388,CLI-00036,2025-05-25,2025-06-01,Bug
TCK-00389,CLI-00204,2025-05-25,2025-05-31,Acceso
TCK-00390,CLI-00431,2025-05-25,2025-05-30,Bug
TCK-00391,CLI-00436,2025-05-25,2025-05-27,Rendimiento
TCK-00392,CLI-00106,2025-05-26,2025-05-30,Acceso
TCK-00393,CLI-00163,2025-05-26,2025-06-02,Acceso
TCK-00394,CLI-00359,2025-05-26,2025-05-28,Acceso
TCK-00395,CLI-00398,2025-05-26,2025-06-01,Rendimiento
TCK-00396,CLI-00388,2025-05-27,2025-06-01,Consulta
TCK-00397,CLI-00241,2025-05-28,2025-05-31,Bug
TCK-00398,CLI-00340,2025-05-28,2025-05-31,Consulta
TCK-00399,CLI-00341,2025-06-01,2025-06-08,Consulta
TCK-00400,CLI-00047,2025-06-02,2025-06-08,Facturación
TCK-00401,CLI-00073,2025-06-02,2025-06-09,Rendimiento
TCK-00402,CLI-00257,2025-06-02,2025-06-05,Consulta
TCK-00403,CLI-00059,2025-06-03,2025-06-07,Acceso
TCK-00404,CLI-00149,2025-06-03,2025-06-10,Bug
TCK-00405,CLI-00090,2025-06-04,2025-06-10,Facturación
TCK-00406,CLI-00272,2025-06-05,2025-06-11,Bug
TCK-00407,CLI-00106,2025-06-06,2025-06-08,Facturación
TCK-00408,CLI-00149,2025-06-06,2025-06-08,Rendimiento
TCK-00409,CLI-00455,2025-06-06,2025-06-08,Facturación
TCK-00410,CLI-00485,2025-06-06,2025-06-11,Bug
TCK-00411,CLI-00088,2025-06-07,2025-06-10,Facturación
TCK-00412,CLI-00090,2025-06-07,2025-06-09,Rendimiento
TCK-00413,CLI-00200,2025-06-07,2025-06-07,Consulta
TCK-00414,CLI-00211,2025-06-07,2025-06-10,Bug
TCK-00415,CLI-00333,2025-06-07,2025-06-14,Acceso
TCK-00416,CLI-00341,2025-06-07,2025-06-07,Rendimiento
TCK-00417,CLI-00443,2025-06-07,2025-06-10,Rendimiento
TCK-00418,CLI-00225,2025-06-08,2025-06-10,Facturación
