respuesta_id,mes,score,categoria,motivo_detractor
R-00165,2025-10,7,Pasivo,
R-00166,2025-10,7,Pasivo,
R-00167,2025-10,7,Pasivo,
R-00168,2025-10,6,Detractor,Precio
R-00169,2025-10,7,Pasivo,
R-00170,2025-10,8,Pasivo,
R-00171,2025-10,7,Pasivo,
R-00172,2025-10,6,Detractor,Calidad del producto
R-00173,2025-10,9,Promotor,
R-00174,2025-10,7,Pasivo,
R-00175,2025-10,7,Pasivo,
R-00176,2025-10,7,Pasivo,
R-00177,2025-10,8,Pasivo,
R-00178,2025-10,9,Promotor,
R-00179,2025-10,7,Pasivo,
R-00180,2025-10,8,Pasivo,
R-00181,2025-10,8,Pasivo,
R-00182,2025-10,10,Promotor,
R-00183,2025-10,8,Pasivo,
R-00184,2025-10,8,Pasivo,
R-00185,2025-10,8,Pasivo,
R-00186,2025-10,6,Detractor,Calidad del producto
R-00187,2025-10,7,Pasivo,
R-00188,2025-10,9,Promotor,
R-00189,2025-10,8,Pasivo,
R-00190,2025-10,7,Pasivo,
R-00191,2025-10,6,Detractor,Precio
R-00192,2025-10,7,Pasivo,
R-00193,2025-10,6,Detractor,Calidad del producto
R-00194,2025-10,8,Pasivo,
R-00195,2025-10,7,Pasivo,
R-00196,2025-10,3,Detractor,Calidad del producto
R-00197,2025-10,8,Pasivo,
R-00198,2025-10,10,Promotor,
R-00199,2025-10,7,Pasivo,
R-00200,2025-10,10,Promotor,
R-00201,2025-10,8,Pasivo,
R-00202,2025-10,9,Promotor,
R-00203,2025-10,10,Promotor,
R-00204,2025-10,9,Promotor,
R-00205,2025-10,7,Pasivo,
R-00206,2025-10,9,Promotor,
R-00207,2025-10,8,Pasivo,
R-00208,2025-10,10,Promotor,
R-00209,2025-10,8,Pasivo,
R-00210,2025-10,9,Promotor,
R-00211,2025-10,9,Promotor,
R-00212,2025-10,10,Promotor,
R-00213,2025-10,10,Promotor,
R-00214,2025-10,7,Pasivo,
R-00215,2025-10,9,Promotor,
R-00216,2025-10,8,Pasivo,
R-00217,2025-10,10,Promotor,
R-00218,2025-10,7,Pasivo,
R-00219,2025-10,9,Promotor,
R-00220,2025-10,7,Pasivo,
R-00221,2025-10,6,Detractor,Calidad del producto
R-00222,2025-10,10,Promotor,
R-00223,2025-10,10,Promotor,
R-00224,2025-10,8,Pasivo,
R-00225,2025-10,7,Pasivo,
R-00226,2025-10,9,Promotor,
R-00227,2025-10,10,Promotor,
R-00228,2025-10,6,Detractor,Calidad del producto
R-00229,2025-10,9,Promotor,
R-00230,2025-10,9,Promotor,
R-00231,2025-10,8,Pasivo,
R-00232,2025-10,10,Promotor,
R-00233,2025-10,9,Promotor,
R-00234,2025-10,10,Promotor,
R-00235,2025-10,9,Promotor,
R-00236,2025-10,10,Promotor,
R-00237,2025-10,7,Pasivo,
R-00238,2025-10,7,Pasivo,
R-00239,2025-10,6,Detractor,Precio
R-00240,2025-10,8,Pasivo,
R-00241,2025-10,8,Pasivo,
R-00242,2025-10,10,Promotor,
R-00243,2025-10,8,Pasivo,
R-00244,2025-10,6,Detractor,Calidad del producto
R-00245,2025-10,10,Promotor,
R-00246,2025-10,10,Promotor,
R-00247,2025-10,6,Detractor,Facilidad de uso
R-00248,2025-10,6,Detractor,Precio
R-00249,2025-10,3,Detractor,Precio
R-00250,2025-10,8,Pasivo,
R-00251,2025-10,8,Pasivo,
R-00252,2025-10,7,Pasivo,
R-00253,2025-10,10,Promotor,
R-00254,2025-10,6,Detractor,Precio
R-00255,2025-10,7,Pasivo,
R-00256,2025-10,9,Promotor,
R-00257,2025-10,10,Promotor,
R-00258,2025-10,10,Promotor,
R-00259,2025-10,6,Detractor,Atención al cliente
R-00260,2025-10,8,Pasivo,
R-00261,2025-10,10,Promotor,
R-00262,2025-10,9,Promotor,
R-00263,2025-11,6,Detractor,Calidad del producto
R-00264,2025-11,6,Detractor,Calidad del producto
R-00265,2025-11,7,Pasivo,
R-00266,2025-11,8,Pasivo,
R-00267,2025-11,9,Promotor,
R-00268,2025-11,9,Promotor,
R-00269,2025-11,6,Detractor,Precio
R-00270,2025-11,7,Pasivo,
R-00271,2025-11,8,Pasivo,
R-00272,2025-11,7,Pasivo,
R-00273,2025-11,8,Pasivo,
R-00274,2025-11,9,Promotor,
R-00275,2025-11,6,Detractor,Precio
R-00276,2025-11,6,Detractor,Precio
R-00277,2025-11,10,Promotor,
R-00278,2025-11,9,Promotor,
R-00279,2025-11,6,Detractor,Precio
R-00280,2025-11,8,Pasivo,
R-00281,2025-11,10,Promotor,
R-00282,2025-11,6,Detractor,Calidad del producto
R-00283,2025-11,6,Detractor,Calidad del producto
R-00284,2025-11,9,Promotor,
R-00285,2025-11,7,Pasivo,
R-00286,2025-11,9,Promotor,
R-00287,2025-11,5,Detractor,Precio
R-00288,2025-11,6,Detractor,Facilidad de uso
R-00289,2025-11,7,Pasivo,
R-00290,2025-11,4,Detractor,Atención al cliente
R-00291,2025-11,4,Detractor,Precio
R-00292,2025-11,6,Detractor,Facilidad de uso
R-00293,2025-11,7,Pasivo,
R-00294,2025-11,10,Promotor,
R-00295,2025-11,10,Promotor,
R-00296,2025-11,10,Promotor,
R-00297,2025-11,7,Pasivo,
R-00298,2025-11,9,Promotor,
R-00299,2025-11,4,Detractor,Precio
R-00300,2025-11,10,Promotor,
R-00301,2025-11,9,Promotor,
R-00302,2025-11,9,Promotor,
R-00303,2025-11,5,Detractor,Tiempo de respuesta
R-00304,2025-11,10,Promotor,
R-00305,2025-11,6,Detractor,Facilidad de uso
R-00306,2025-11,8,Pasivo,
R-00307,2025-11,7,Pasivo,
R-00308,2025-11,7,Pasivo,
R-00309,2025-11,9,Promotor,
R-00310,2025-11,6,Detractor,Precio
R-00311,2025-11,7,Pasivo,
R-00312,2025-11,3,Detractor,Precio
R-00313,2025-11,6,Detractor,Precio
R-00314,2025-11,6,Detractor,Calidad del producto
R-00315,2025-11,8,Pasivo,
R-00316,2025-11,8,Pasivo,
R-00317,2025-11,7,Pasivo,
R-00318,2025-11,8,Pasivo,
R-00319,2025-11,10,Promotor,
R-00320,2025-11,7,Pasivo,
R-00321,2025-11,5,Detractor,Calidad del producto
R-00322,2025-11,7,Pasivo,
R-00323,2025-11,10,Promotor,
R-00324,2025-11,9,Promotor,
R-00325,2025-11,10,Promotor,
R-00326,2025-11,7,Pasivo,
R-00327,2025-11,8,Pasivo,
R-00328,2025-11,8,Pasivo,
R-00329,2025-11,7,Pasivo,
R-00330,2025-11,6,Detractor,Atención al cliente
R-00331,2025-11,9,Promotor,
R-00332,2025-11,8,Pasivo,
R-00333,2025-11,5,Detractor,Precio
R-00334,2025-11,10,Promotor,
R-00335,2025-11,9,Promotor,
R-00336,2025-11,7,Pasivo,
R-00337,2025-11,6,Detractor,Calidad del producto
R-00338,2025-11,9,Promotor,
R-00339,2025-11,10,Promotor,
R-00340,2025-11,9,Promotor,
R-00341,2025-11,7,Pasivo,
R-00342,2025-11,9,Promotor,
R-00343,2025-11,8,Pasivo,
R-00344,2025-11,10,Promotor,
R-00345,2025-11,6,Detractor,Facilidad de uso
R-00346,2025-11,10,Promotor,
R-00347,2025-11,9,Promotor,
R-00348,2025-11,7,Pasivo,
R-00349,2025-11,8,Pasivo,
R-00350,2025-11,6,Detractor,Precio
R-00351,2025-11,8,Pasivo,
R-00352,2025-11,4,Detractor,Precio
R-00353,2025-11,10,Promotor,
R-00354,2025-11,10,Promotor,
R-00355,2025-11,8,Pasivo,
R-00356,2025-11,10,Promotor,
R-00357,2025-11,9,Promotor,
R-00358,2025-11,5,Detractor,Precio
R-00359,2025-11,6,Detractor,Tiempo de respuesta
R-00360,2025-11,10,Promotor,
R-00361,2025-11,8,Pasivo,
R-00362,2025-11,6,Detractor,Facilidad de uso
R-00363,2025-11,10,Promotor,
R-00364,2025-11,10,Promotor,
R-00365,2025-11,8,Pasivo,
R-00366,2025-11,10,Promotor,
R-00367,2025-11,9,Promotor,
R-00368,2025-11,8,Pasivo,
R-00369,2025-11,9,Promotor,
R-00370,2025-11,7,Pasivo,
R-00371,2025-11,8,Pasivo,
R-00372,2025-11,8,Pasivo,
R-00373,2025-11,8,Pasivo,
R-00374,2025-11,9,Promotor,
R-00375,2025-11,10,Promotor,
R-00376,2025-11,6,Detractor,Tiempo de respuesta
R-00377,2025-11,6,Detractor,Tiempo de respuesta
R-00378,2025-11,10,Promotor,
R-00379,2025-11,7,Pasivo,
R-00380,2025-11,9,Promotor,
R-00381,2025-11,7,Pasivo,
R-00382,2025-11,9,Promotor,
R-00383,2025-11,9,Promotor,
R-00384,2025-11,9,Promotor,
R-00385,2025-11,8,Pasivo,
R-00386,2025-11,7,Pasivo,
R-00387,2025-11,8,Pasivo,
R-00388,2025-11,8,Pasivo,
R-00389,2025-11,7,Pasivo,
R-00390,2025-11,6,Detractor,Tiempo de respuesta
R-00391,2025-11,8,Pasivo,
R-00392,2025-11,6,Detractor,Tiempo de respuesta
R-00393,2025-11,5,Detractor,Facilidad de uso
R-00394,2025-11,8,Pasivo,
R-00395,2025-11,9,Promotor,
R-00396,2025-11,9,Promotor,
R-00397,2025-11,10,Promotor,
R-00398,2025-11,9,Promotor,
R-00399,2025-11,9,Promotor,
R-00400,2025-11,10,Promotor,
R-00401,2025-11,6,Detractor,Atención al cliente
R-00402,2025-11,5,Detractor,Calidad del producto
R-00403,2025-11,7,Pasivo,
R-00404,2025-11,5,Detractor,Tiempo de respuesta
R-00405,2025-11,8,Pasivo,
R-00406,2025-11,10,Promotor,
R-00407,2025-11,10,Promotor,
R-00408,2025-11,8,Pasivo,
R-00409,2025-11,7,Pasivo,
R-00410,2025-11,10,Promotor,
R-00411,2025-11,8,Pasivo,
R-00412,2025-11,8,Pasivo,
R-00413,2025-11,10,Promotor,
R-00414,2025-11,8,Pasivo,
R-00415,2025-11,10,Promotor,
R-00416,2025-11,10,Promotor,
R-00417,2025-11,9,Promotor,
R-00418,2025-11,8,Pasivo,
R-00419,2025-11,8,Pasivo,
R-00420,2025-11,7,Pasivo,
R-00421,2025-11,10,Promotor,
R-00422,2025-11,6,Detractor,Precio
R-00423,2025-11,8,Pasivo,
R-00424,2025-11,8,Pasivo,
R-00425,2025-12,6,Detractor,Tiempo de respuesta
R-00426,2025-12,10,Promotor,
R-00427,2025-12,5,Detractor,Atención al cliente
R-00428,2025-12,7,Pasivo,
R-00429,2025-12,7,Pasivo,
R-00430,2025-12,10,Promotor,
R-00431,2025-12,7,Pasivo,
R-00432,2025-12,10,Promotor,
R-00433,2025-12,9,Promotor,
R-00434,2025-12,9,Promotor,
R-00435,2025-12,10,Promotor,
R-00436,2025-12,7,Pasivo,
R-00437,2025-12,10,Promotor,
R-00438,2025-12,9,Promotor,
R-00439,2025-12,9,Promotor,
R-00440,2025-12,10,Promotor,
R-00441,2025-12,10,Promotor,
R-00442,2025-12,10,Promotor,
R-00443,2025-12,6,Detractor,Atención al cliente
R-00444,2025-12,5,Detractor,Calidad del producto
R-00445,2025-12,8,Pasivo,
R-00446,2025-12,8,Pasivo,
R-00447,2025-12,8,Pasivo,
R-00448,2025-12,7,Pasivo,
R-00449,2025-12,10,Promotor,
R-00450,2025-12,7,Pasivo,
R-00451,2025-12,10,Promotor,
R-00452,2025-12,10,Promotor,
R-00453,2025-12,9,Promotor,
R-00454,2025-12,6,Detractor,Precio
R-00455,2025-12,8,Pasivo,
R-00456,2025-12,7,Pasivo,
R-00457,2025-12,10,Promotor,
R-00458,2025-12,10,Promotor,
R-00459,2025-12,5,Detractor,Atención al cliente
R-00460,2025-12,6,Detractor,Atención al cliente
R-00461,2025-12,10,Promotor,
R-00462,2025-12,6,Detractor,Facilidad de uso
R-00463,2025-12,7,Pasivo,
R-00464,2025-12,9,Promotor,
R-00465,2025-12,8,Pasivo,
R-00466,2025-12,10,Promotor,
R-00467,2025-12,6,Detractor,Tiempo de respuesta
R-00468,2025-12,8,Pasivo,
R-00469,2025-12,7,Pasivo,
R-00470,2025-12,7,Pasivo,
R-00471,2025-12,8,Pasivo,
R-00472,2025-12,9,Promotor,
R-00473,2025-12,6,Detractor,Atención al cliente
R-00474,2025-12,8,Pasivo,
R-00475,2025-12,7,Pasivo,
R-00476,2025-12,10,Promotor,
R-00477,2025-12,10,Promotor,
R-00478,2025-12,8,Pasivo,
R-00479,2025-12,10,Promotor,
R-00480,2025-12,9,Promotor,
R-00481,2025-12,7,Pasivo,
R-00482,2025-12,9,Promotor,
R-00483,2025-12,10,Promotor,
R-00484,2025-12,10,Promotor,
R-00485,2025-12,10,Promotor,
R-00486,2025-12,10,Promotor,
R-00487,2025-12,9,Promotor,
R-00488,2025-12,10,Promotor,
R-00489,2025-12,10,Promotor,
R-00490,2025-12,8,Pasivo,
R-00491,2025-12,8,Pasivo,
R-00492,2025-12,7,Pasivo,
R-00493,2025-12,7,Pasivo,
R-00494,2025-12,7,Pasivo,
R-00495,2025-12,9,Promotor,
R-00496,2025-12,10,Promotor,
R-00497,2025-12,9,Promotor,
R-00498,2025-12,8,Pasivo,
R-00499,2025-12,8,Pasivo,
R-00500,2025-12,4,Detractor,Tiempo de respuesta
R-00501,2025-12,8,Pasivo,
R-00502,2025-12,10,Promotor,
R-00503,2025-12,8,Pasivo,
R-00504,2025-12,5,Detractor,Atención al cliente
R-00505,2025-12,9,Promotor,
R-00506,2025-12,10,Promotor,
R-00507,2025-12,8,Pasivo,
R-00508,2025-12,10,Promotor,
R-00509,2025-12,7,Pasivo,
R-00510,2025-12,10,Promotor,
R-00511,2025-12,6,Detractor,Precio
R-00512,2025-12,9,Promotor,
R-00513,2025-12,8,Pasivo,
R-00514,2025-12,10,Promotor,
R-00515,2025-12,8,Pasivo,
R-00516,2025-12,10,Promotor,
R-00517,2025-12,7,Pasivo,
R-00518,2025-12,8,Pasivo,
R-00519,2025-12,7,Pasivo,
R-00520,2025-12,7,Pasivo,
R-00521,2025-12,5,Detractor,Facilidad de uso
R-00522,2025-12,9,Promotor,
R-00523,2025-12,9,Promotor,
R-00524,2025-12,8,Pasivo,
R-00525,2025-12,9,Promotor,
R-00526,2025-12,8,Pasivo,
R-00527,2025-12,8,Pasivo,
R-00528,2025-12,9,Promotor,
R-00529,2025-12,10,Promotor,
R-00530,2025-12,8,Pasivo,
R-00531,2025-12,9,Promotor,
R-00532,2025-12,8,Pasivo,
R-00533,2025-12,8,Pasivo,
R-00534,2025-12,5,Detractor,Calidad del producto
R-00535,2025-12,8,Pasivo,
R-00536,2025-12,7,Pasivo,
R-00537,2025-12,9,Promotor,
R-00538,2025-12,7,Pasivo,
R-00539,2025-12,10,Promotor,
R-00540,2025-12,9,Promotor,
R-00541,2025-12,7,Pasivo,
R-00542,2025-12,7,Pasivo,
R-00543,2025-12,10,Promotor,
R-00544,2025-12,10,Promotor,
R-00545,2025-12,7,Pasivo,
R-00546,2025-12,9,Promotor,
R-00547,2025-12,7,Pasivo,
R-00548,2025-12,8,Pasivo,
R-00549,2025-12,7,Pasivo,
R-00550,2025-12,7,Pasivo,
R-00551,2025-12,8,Pasivo,
R-00552,2025-12,6,Detractor,Calidad del producto
R-00553,2025-12,9,Promotor,
R-00554,2026-01,9,Promotor,
R-00555,2026-01,6,Detractor,Precio
R-00556,2026-01,8,Pasivo,
R-00557,2026-01,6,Detractor,Calidad del producto
R-00558,2026-01,7,Pasivo,
R-00559,2026-01,7,Pasivo,
R-00560,2026-01,7,Pasivo,
R-00561,2026-01,7,Pasivo,
R-00562,2026-01,8,Pasivo,
R-00563,2026-01,8,Pasivo,
R-00564,2026-01,9,Promotor,
R-00565,2026-01,9,Promotor,
R-00566,2026-01,7,Pasivo,
R-00567,2026-01,7,Pasivo,
R-00568,2026-01,8,Pasivo,
R-00569,2026-01,8,Pasivo,
R-00570,2026-01,7,Pasivo,
R-00571,2026-01,10,Promotor,
R-00572,2026-01,9,Promotor,
R-00573,2026-01,8,Pasivo,
R-00574,2026-01,10,Promotor,
R-00575,2026-01,7,Pasivo,
R-00576,2026-01,9,Promotor,
R-00577,2026-01,8,Pasivo,
R-00578,2026-01,9,Promotor,
R-00579,2026-01,8,Pasivo,
R-00580,2026-01,6,Detractor,Tiempo de respuesta
R-00581,2026-01,9,Promotor,
R-00582,2026-01,7,Pasivo,
R-00583,2026-01,7,Pasivo,
R-00584,2026-01,10,Promotor,
R-00585,2026-01,9,Promotor,
R-00586,2026-01,10,Promotor,
R-00587,2026-01,9,Promotor,
R-00588,2026-01,10,Promotor,
R-00589,2026-01,7,Pasivo,
R-00590,2026-01,10,Promotor,
R-00591,2026-01,10,Promotor,
R-00592,2026-01,5,Detractor,Tiempo de respuesta
R-00593,2026-01,9,Promotor,
R-00594,2026-01,9,Promotor,
R-00595,2026-01,4,Detractor,Precio
R-00596,2026-01,5,Detractor,Atención al cliente
R-00597,2026-01,10,Promotor,
R-00598,2026-01,10,Promotor,
R-00599,2026-01,9,Promotor,
R-00600,2026-01,7,Pasivo,
R-00601,2026-01,8,Pasivo,
R-00602,2026-01,6,Detractor,Precio
R-00603,2026-01,9,Promotor,
R-00604,2026-01,8,Pasivo,
R-00605,2026-01,8,Pasivo,
R-00606,2026-01,7,Pasivo,
R-00607,2026-01,10,Promotor,
R-00608,2026-01,8,Pasivo,
R-00609,2026-01,9,Promotor,
R-00610,2026-01,10,Promotor,
R-00611,2026-01,5,Detractor,Facilidad de uso
R-00612,2026-01,5,Detractor,Atención al cliente
R-00613,2026-01,6,Detractor,Atención al cliente
R-00614,2026-01,6,Detractor,Calidad del producto
R-00615,2026-01,8,Pasivo,
R-00616,2026-01,10,Promotor,
R-00617,2026-01,8,Pasivo,
R-00618,2026-01,8,Pasivo,
R-00619,2026-01,7,Pasivo,
R-00620,2026-01,5,Detractor,Atención al cliente
R-00621,2026-01,7,Pasivo,
R-00622,2026-01,4,Detractor,Precio
R-00623,2026-01,8,Pasivo,
R-00624,2026-01,6,Detractor,Facilidad de uso
R-00625,2026-01,9,Promotor,
R-00626,2026-01,8,Pasivo,
R-00627,2026-01,8,Pasivo,
R-00628,2026-01,7,Pasivo,
R-00629,2026-01,7,Pasivo,
R-00630,2026-01,7,Pasivo,
R-00631,2026-01,9,Promotor,
R-00632,2026-01,9,Promotor,
R-00633,2026-01,6,Detractor,Precio
R-00634,2026-01,10,Promotor,
R-00635,2026-01,6,Detractor,Tiempo de respuesta
R-00636,2026-01,8,Pasivo,
R-00637,2026-01,10,Promotor,
R-00638,2026-01,5,Detractor,Tiempo de respuesta
R-00639,2026-01,9,Promotor,
R-00640,2026-01,7,Pasivo,
R-00641,2026-01,8,Pasivo,
R-00642,2026-01,7,Pasivo,
R-00643,2026-01,10,Promotor,
R-00644,2026-01,7,Pasivo,
R-00645,2026-01,10,Promotor,
R-00646,2026-01,5,Detractor,Calidad del producto
R-00647,2026-01,6,Detractor,Tiempo de respuesta
R-00648,2026-01,10,Promotor,
R-00649,2026-01,6,Detractor,Tiempo de respuesta
R-00650,2026-01,10,Promotor,
R-00651,2026-01,8,Pasivo,
R-00652,2026-01,10,Promotor,
R-00653,2026-01,8,Pasivo,
R-00654,2026-01,7,Pasivo,
R-00655,2026-01,10,Promotor,
R-00656,2026-01,4,Detractor,Atención al cliente
R-00657,2026-01,5,Detractor,Precio
R-00658,2026-01,7,Pasivo,
R-00659,2026-01,8,Pasivo,
R-00660,2026-01,10,Promotor,
R-00661,2026-01,9,Promotor,
R-00662,2026-01,10,Promotor,
R-00663,2026-01,8,Pasivo,
R-00664,2026-01,6,Detractor,Calidad del producto
R-00665,2026-01,7,Pasivo,
R-00666,2026-01,8,Pasivo,
R-00667,2026-01,6,Detractor,Calidad del producto
R-00668,2026-01,9,Promotor,
R-00669,2026-01,10,Promotor,
R-00670,2026-01,7,Pasivo,
R-00671,2026-01,8,Pasivo,
R-00672,2026-01,10,Promotor,
R-00673,2026-01,9,Promotor,
R-00674,2026-01,10,Promotor,
R-00675,2026-01,10,Promotor,
R-00676,2026-01,9,Promotor,
R-00677,2026-01,8,Pasivo,
R-00678,2026-01,5,Detractor,Atención al cliente
R-00679,2026-01,7,Pasivo,
R-00680,2026-02,7,Pasivo,
R-00681,2026-02,9,Promotor,
R-00682,2026-02,8,Pasivo,
R-00683,2026-02,5,Detractor,Tiempo de respuesta
R-00684,2026-02,10,Promotor,
R-00685,2026-02,7,Pasivo,
R-00686,2026-02,9,Promotor,
R-00687,2026-02,8,Pasivo,
R-00688,2026-02,10,Promotor,
R-00689,2026-02,9,Promotor,
R-00690,2026-02,5,Detractor,Atención al cliente
R-00691,2026-02,2,Detractor,Facilidad de uso
R-00692,2026-02,10,Promotor,
R-00693,2026-02,6,Detractor,Precio
R-00694,2026-02,8,Pasivo,
R-00695,2026-02,8,Pasivo,
R-00696,2026-02,5,Detractor,Tiempo de respuesta
R-00697,2026-02,9,Promotor,
R-00698,2026-02,9,Promotor,
R-00699,2026-02,8,Pasivo,
R-00700,2026-02,10,Promotor,
R-00701,2026-02,6,Detractor,Atención al cliente
R-00702,2026-02,8,Pasivo,
R-00703,2026-02,10,Promotor,
R-00704,2026-02,10,Promotor,
R-00705,2026-02,6,Detractor,Tiempo de respuesta
R-00706,2026-02,9,Promotor,
R-00707,2026-02,7,Pasivo,
R-00708,2026-02,7,Pasivo,
R-00709,2026-02,9,Promotor,
R-00710,2026-02,7,Pasivo,
R-00711,2026-02,10,Promotor,
R-00712,2026-02,7,Pasivo,
R-00713,2026-02,9,Promotor,
R-00714,2026-02,9,Promotor,
