pedido_id,linea_id,fecha,cliente_id,vendedor_id,canal_venta,sku,cantidad,precio_unitario,descuento_pct
PED-000113,PED-000113-1,2025-01-09,CLI-00398,,E-commerce,SKU-00054,1,432.22,0.05
PED-000114,PED-000114-1,2025-01-09,CLI-00193,,E-commerce,SKU-00023,1,312.84,0
PED-000115,PED-000115-1,2025-01-09,CLI-00476,VEN-008,Equipo comercial,SKU-00043,3,711.97,0
PED-000116,PED-000116-1,2025-01-09,CLI-00428,,Marketplace,SKU-00013,1,2503.05,0
PED-000117,PED-000117-1,2025-01-09,CLI-00346,VEN-004,Equipo comercial,SKU-00046,1,1088.9,0
PED-000117,PED-000117-2,2025-01-09,CLI-00346,VEN-004,Equipo comercial,SKU-00151,2,519.29,0
PED-000118,PED-000118-1,2025-01-09,CLI-00510,VEN-011,Equipo comercial,SKU-00008,1,1788.6,0.1
PED-000118,PED-000118-2,2025-01-09,CLI-00510,VEN-011,Equipo comercial,SKU-00064,4,124.52,0
PED-000118,PED-000118-3,2025-01-09,CLI-00510,VEN-011,Equipo comercial,SKU-00048,3,529.71,0
PED-000119,PED-000119-1,2025-01-09,CLI-00231,,E-commerce,SKU-00023,3,324.71,0
PED-000119,PED-000119-2,2025-01-09,CLI-00231,,E-commerce,SKU-00054,1,435.91,0
PED-000119,PED-000119-3,2025-01-09,CLI-00231,,E-commerce,SKU-00144,1,111.53,0.05
PED-000120,PED-000120-1,2025-01-09,CLI-00100,VEN-003,Equipo comercial,SKU-00058,1,146.54,0.1
PED-000121,PED-000121-1,2025-01-09,CLI-00160,VEN-011,Equipo comercial,SKU-00118,1,265.68,0
PED-000121,PED-000121-2,2025-01-09,CLI-00160,VEN-011,Equipo comercial,SKU-00081,3,473.64,0.15
PED-000121,PED-000121-3,2025-01-09,CLI-00160,VEN-011,Equipo comercial,SKU-00126,2,491.74,0
PED-000122,PED-000122-1,2025-01-09,CLI-00030,,Marketplace,SKU-00074,2,437.56,0
PED-000122,PED-000122-2,2025-01-09,CLI-00030,,Marketplace,SKU-00067,3,207.72,0
PED-000122,PED-000122-3,2025-01-09,CLI-00030,,Marketplace,SKU-00035,1,768.58,0
PED-000123,PED-000123-1,2025-01-09,CLI-00114,,E-commerce,SKU-00065,2,205.52,0
PED-000123,PED-000123-2,2025-01-09,CLI-00114,,E-commerce,SKU-00113,5,2320.62,0
PED-000124,PED-000124-1,2025-01-10,CLI-00441,VEN-009,Equipo comercial,SKU-00032,2,827.17,0.05
PED-000125,PED-000125-1,2025-01-10,CLI-00193,VEN-003,Equipo comercial,SKU-00138,2,458.57,0
PED-000126,PED-000126-1,2025-01-10,CLI-00304,VEN-005,Equipo comercial,SKU-00089,1,1322.88,0.05
PED-000127,PED-000127-1,2025-01-10,CLI-00291,VEN-002,Equipo comercial,SKU-00146,1,397.0,0.15
PED-000127,PED-000127-2,2025-01-10,CLI-00291,VEN-002,Equipo comercial,SKU-00110,2,2640.72,0
PED-000128,PED-000128-1,2025-01-10,CLI-00283,,Marketplace,SKU-00061,2,452.94,0
PED-000128,PED-000128-2,2025-01-10,CLI-00283,,Marketplace,SKU-00099,1,2024.52,0.05
PED-000128,PED-000128-3,2025-01-10,CLI-00283,,Marketplace,SKU-00064,3,128.52,0.05
PED-000128,PED-000128-4,2025-01-10,CLI-00283,,Marketplace,SKU-00143,3,43.79,0
PED-000129,PED-000129-1,2025-01-10,CLI-00285,VEN-001,Equipo comercial,SKU-00073,5,54.49,0.05
PED-000130,PED-000130-1,2025-01-10,CLI-00013,VEN-003,Equipo comercial,SKU-00103,4,2259.78,0.05
PED-000131,PED-000131-1,2025-01-10,CLI-00352,,E-commerce,SKU-00035,1,791.44,0
PED-000131,PED-000131-2,2025-01-10,CLI-00352,,E-commerce,SKU-00078,5,919.03,0
PED-000132,PED-000132-1,2025-01-10,CLI-00463,,E-commerce,SKU-00113,3,2175.0,0
PED-000132,PED-000132-2,2025-01-10,CLI-00463,,E-commerce,SKU-00110,6,2865.2,0.1
PED-000132,PED-000132-3,2025-01-10,CLI-00463,,E-commerce,SKU-00002,1,3004.81,0
PED-000132,PED-000132-4,2025-01-10,CLI-00463,,E-commerce,SKU-00049,2,1590.29,0.05
PED-000133,PED-000133-1,2025-01-10,CLI-00319,VEN-003,Equipo comercial,SKU-00090,4,1345.07,0
PED-000133,PED-000133-2,2025-01-10,CLI-00319,VEN-003,Equipo comercial,SKU-00012,1,698.75,0.05
PED-000133,PED-000133-3,2025-01-10,CLI-00319,VEN-003,Equipo comercial,SKU-00041,2,1569.75,0
PED-000134,PED-000134-1,2025-01-10,CLI-00119,VEN-009,Equipo comercial,SKU-00096,1,1523.34,0.05
PED-000135,PED-000135-1,2025-01-10,CLI-00160,,Marketplace,SKU-00072,1,425.67,0
PED-000136,PED-000136-1,2025-01-10,CLI-00263,VEN-002,Equipo comercial,SKU-00105,1,1581.0,0.1
PED-000136,PED-000136-2,2025-01-10,CLI-00263,VEN-002,Equipo comercial,SKU-00145,2,462.08,0.05
PED-000136,PED-000136-3,2025-01-10,CLI-00263,VEN-002,Equipo comercial,SKU-00130,2,445.78,0.1
PED-000137,PED-000137-1,2025-01-10,CLI-00289,VEN-003,Equipo comercial,SKU-00110,2,2352.82,0.05
PED-000138,PED-000138-1,2025-01-11,CLI-00006,VEN-004,Equipo comercial,SKU-00130,2,414.69,0.05
PED-000139,PED-000139-1,2025-01-11,CLI-00362,VEN-001,Equipo comercial,SKU-00147,3,276.26,0
PED-000139,PED-000139-2,2025-01-11,CLI-00362,VEN-001,Equipo comercial,SKU-00118,1,279.79,0
PED-000140,PED-000140-1,2025-01-11,CLI-00212,VEN-006,Equipo comercial,SKU-00088,2,1401.72,0
PED-000141,PED-000141-1,2025-01-11,CLI-00229,VEN-008,Equipo comercial,SKU-00146,6,367.91,0
PED-000142,PED-000142-1,2025-01-11,CLI-00259,VEN-012,Equipo comercial,SKU-00081,2,517.35,0
PED-000142,PED-000142-2,2025-01-11,CLI-00259,VEN-012,Equipo comercial,SKU-00150,1,515.84,0
PED-000143,PED-000143-1,2025-01-11,CLI-00261,,Marketplace,SKU-00137,1,570.44,0
PED-000143,PED-000143-2,2025-01-11,CLI-00261,,Marketplace,SKU-00041,1,1552.67,0
PED-000144,PED-000144-1,2025-01-11,CLI-00129,VEN-005,Equipo comercial,SKU-00152,2,531.57,0.05
PED-000145,PED-000145-1,2025-01-11,CLI-00378,VEN-001,Equipo comercial,SKU-00145,3,439.7,0
