canal,fecha,gasto_mxn
Referidos,2025-01-27,231.92
Email,2025-01-28,132.18
Eventos,2025-01-28,452.95
Google Ads,2025-01-28,889.32
Meta Ads,2025-01-28,646.45
Referidos,2025-01-28,222.62
Email,2025-01-29,143.71
Eventos,2025-01-29,424.12
Google Ads,2025-01-29,855.28
Meta Ads,2025-01-29,778.63
Referidos,2025-01-29,216.98
Email,2025-01-30,130.39
Eventos,2025-01-30,350.28
Google Ads,2025-01-30,920.82
Meta Ads,2025-01-30,749.24
Referidos,2025-01-30,208.69
Email,2025-01-31,150.15
Eventos,2025-01-31,438.25
Google Ads,2025-01-31,858.66
Meta Ads,2025-01-31,574.85
Referidos,2025-01-31,214.56
Email,2025-02-01,94.36
Eventos,2025-02-01,256.35
Google Ads,2025-02-01,594.52
Meta Ads,2025-02-01,497.27
Referidos,2025-02-01,205.97
Email,2025-02-02,96.92
Eventos,2025-02-02,284.46
Google Ads,2025-02-02,705.90
Meta Ads,2025-02-02,541.35
Referidos,2025-02-02,186.45
Email,2025-02-03,171.47
Eventos,2025-02-03,470.21
Google Ads,2025-02-03,839.74
Meta Ads,2025-02-03,618.57
Referidos,2025-02-03,262.20
Email,2025-02-04,173.99
Eventos,2025-02-04,422.05
Google Ads,2025-02-04,724.63
Meta Ads,2025-02-04,762.60
Referidos,2025-02-04,221.60
Email,2025-02-05,134.24
Eventos,2025-02-05,381.21
Google Ads,2025-02-05,1004.49
Meta Ads,2025-02-05,652.62
Referidos,2025-02-05,230.80
Email,2025-02-06,167.10
Eventos,2025-02-06,360.40
Google Ads,2025-02-06,786.77
Meta Ads,2025-02-06,730.47
Referidos,2025-02-06,228.01
Email,2025-02-07,140.00
Eventos,2025-02-07,423.40
Google Ads,2025-02-07,995.81
Meta Ads,2025-02-07,729.30
Referidos,2025-02-07,240.17
Email,2025-02-08,98.64
Eventos,2025-02-08,260.36
Google Ads,2025-02-08,594.24
Meta Ads,2025-02-08,518.72
Referidos,2025-02-08,150.16
Email,2025-02-09,125.30
Eventos,2025-02-09,232.47
Google Ads,2025-02-09,625.64
Meta Ads,2025-02-09,558.78
Referidos,2025-02-09,199.12
Email,2025-02-10,139.98
Eventos,2025-02-10,353.69
Google Ads,2025-02-10,841.46
Meta Ads,2025-02-10,580.16
Referidos,2025-02-10,245.70
Email,2025-02-11,131.89
Eventos,2025-02-11,381.97
Google Ads,2025-02-11,976.03
Meta Ads,2025-02-11,721.07
Referidos,2025-02-11,222.42
Email,2025-02-12,131.57
Eventos,2025-02-12,332.09
Google Ads,2025-02-12,726.01
Meta Ads,2025-02-12,717.65
Referidos,2025-02-12,274.90
Email,2025-02-13,146.23
Eventos,2025-02-13,365.28
Google Ads,2025-02-13,1053.95
Meta Ads,2025-02-13,564.56
Referidos,2025-02-13,290.84
Email,2025-02-14,171.83
Eventos,2025-02-14,359.45
Google Ads,2025-02-14,783.27
Meta Ads,2025-02-14,741.21
Referidos,2025-02-14,288.81
Email,2025-02-15,124.87
Eventos,2025-02-15,272.73
Google Ads,2025-02-15,710.14
Meta Ads,2025-02-15,407.61
Referidos,2025-02-15,196.24
Email,2025-02-16,108.50
Eventos,2025-02-16,310.42
Google Ads,2025-02-16,544.49
Meta Ads,2025-02-16,425.59
Referidos,2025-02-16,202.20
Email,2025-02-17,140.42
Eventos,2025-02-17,337.09
Google Ads,2025-02-17,875.49
Meta Ads,2025-02-17,751.45
Referidos,2025-02-17,277.74
Email,2025-02-18,157.34
Eventos,2025-02-18,405.10
Google Ads,2025-02-18,1001.77
Meta Ads,2025-02-18,761.18
Referidos,2025-02-18,233.72
Email,2025-02-19,170.65
Eventos,2025-02-19,444.52
Google Ads,2025-02-19,913.14
Meta Ads,2025-02-19,666.20
Referidos,2025-02-19,249.82
Email,2025-02-20,126.22
Eventos,2025-02-20,396.96
Google Ads,2025-02-20,983.87
Meta Ads,2025-02-20,784.59
Referidos,2025-02-20,240.09
Email,2025-02-21,174.67
Eventos,2025-02-21,356.26
Google Ads,2025-02-21,803.34
Meta Ads,2025-02-21,765.20
Referidos,2025-02-21,237.50
Email,2025-02-22,84.70
Eventos,2025-02-22,263.73
Google Ads,2025-02-22,566.80
Meta Ads,2025-02-22,485.35
Referidos,2025-02-22,159.99
Email,2025-02-23,119.61
Eventos,2025-02-23,247.19
Google Ads,2025-02-23,717.12
Meta Ads,2025-02-23,577.70
Referidos,2025-02-23,206.75
Email,2025-02-24,147.71
Eventos,2025-02-24,347.28
Google Ads,2025-02-24,834.78
Meta Ads,2025-02-24,807.03
Referidos,2025-02-24,261.55
Email,2025-02-25,120.91
Eventos,2025-02-25,440.96
Google Ads,2025-02-25,1060.03
Meta Ads,2025-02-25,752.98
Referidos,2025-02-25,249.43
Email,2025-02-26,159.88
Eventos,2025-02-26,371.70
Google Ads,2025-02-26,1030.60
Meta Ads,2025-02-26,756.62
Referidos,2025-02-26,216.53
Email,2025-02-27,123.69
Eventos,2025-02-27,330.78
Google Ads,2025-02-27,812.26
Meta Ads,2025-02-27,710.29
Referidos,2025-02-27,307.23
Email,2025-02-28,136.25
Eventos,2025-02-28,405.50
Google Ads,2025-02-28,786.93
Meta Ads,2025-02-28,630.93
Referidos,2025-02-28,278.12
Email,2025-03-01,110.31
Eventos,2025-03-01,237.02
Google Ads,2025-03-01,659.19
Meta Ads,2025-03-01,579.64
Referidos,2025-03-01,196.61
Email,2025-03-02,112.78
Eventos,2025-03-02,266.27
Google Ads,2025-03-02,587.13
Meta Ads,2025-03-02,392.30
Referidos,2025-03-02,188.63
Email,2025-03-03,130.75
Eventos,2025-03-03,453.88
Google Ads,2025-03-03,778.44
Meta Ads,2025-03-03,821.46
Referidos,2025-03-03,295.28
Email,2025-03-04,122.03
Eventos,2025-03-04,475.38
Google Ads,2025-03-04,742.58
Meta Ads,2025-03-04,829.75
Referidos,2025-03-04,249.22
Email,2025-03-05,162.06
Eventos,2025-03-05,392.10
Google Ads,2025-03-05,1020.40
Meta Ads,2025-03-05,763.52
Referidos,2025-03-05,213.34
Email,2025-03-06,133.49
Eventos,2025-03-06,472.54
Google Ads,2025-03-06,775.20
Meta Ads,2025-03-06,651.25
Referidos,2025-03-06,287.98
Email,2025-03-07,165.22
Eventos,2025-03-07,418.53
Google Ads,2025-03-07,1079.98
Meta Ads,2025-03-07,595.15
Referidos,2025-03-07,249.84
Email,2025-03-08,89.33
Eventos,2025-03-08,247.44
Google Ads,2025-03-08,685.90
Meta Ads,2025-03-08,583.78
Referidos,2025-03-08,200.36
Email,2025-03-09,124.42
Eventos,2025-03-09,319.21
Google Ads,2025-03-09,709.78
Meta Ads,2025-03-09,482.40
Referidos,2025-03-09,179.41
Email,2025-03-10,135.21
Eventos,2025-03-10,398.75
Google Ads,2025-03-10,1070.27
Meta Ads,2025-03-10,760.99
Referidos,2025-03-10,285.79
Email,2025-03-11,153.23
Eventos,2025-03-11,401.73
Google Ads,2025-03-11,790.99
Meta Ads,2025-03-11,724.13
Referidos,2025-03-11,242.20
Email,2025-03-12,152.36
Eventos,2025-03-12,392.13
Google Ads,2025-03-12,979.75
Meta Ads,2025-03-12,615.74
Referidos,2025-03-12,241.35
Email,2025-03-13,155.75
Eventos,2025-03-13,379.50
Google Ads,2025-03-13,827.49
Meta Ads,2025-03-13,640.64
Referidos,2025-03-13,249.53
Email,2025-03-14,154.18
Eventos,2025-03-14,447.33
Google Ads,2025-03-14,827.59
Meta Ads,2025-03-14,731.28
Referidos,2025-03-14,302.95
Email,2025-03-15,113.27
Eventos,2025-03-15,335.72
Google Ads,2025-03-15,575.78
Meta Ads,2025-03-15,406.38
Referidos,2025-03-15,157.45
Email,2025-03-16,92.73
Eventos,2025-03-16,261.99
Google Ads,2025-03-16,630.97
Meta Ads,2025-03-16,395.19
Referidos,2025-03-16,185.74
Email,2025-03-17,179.25
Eventos,2025-03-17,322.58
Google Ads,2025-03-17,1071.84
Meta Ads,2025-03-17,599.33
Referidos,2025-03-17,229.04
Email,2025-03-18,178.49
Eventos,2025-03-18,413.23
Google Ads,2025-03-18,997.23
Meta Ads,2025-03-18,721.96
Referidos,2025-03-18,291.08
Email,2025-03-19,166.21
Eventos,2025-03-19,370.92
Google Ads,2025-03-19,897.34
Meta Ads,2025-03-19,768.12
Referidos,2025-03-19,273.00
Email,2025-03-20,145.08
Eventos,2025-03-20,458.68
Google Ads,2025-03-20,845.00
Meta Ads,2025-03-20,562.23
Referidos,2025-03-20,221.98
Email,2025-03-21,172.56
Eventos,2025-03-21,418.24
Google Ads,2025-03-21,722.46
Meta Ads,2025-03-21,799.34
Referidos,2025-03-21,253.83
Email,2025-03-22,110.25
Eventos,2025-03-22,330.14
Google Ads,2025-03-22,578.08
Meta Ads,2025-03-22,480.83
Referidos,2025-03-22,177.61
Email,2025-03-23,116.17
Eventos,2025-03-23,295.68
Google Ads,2025-03-23,674.70
Meta Ads,2025-03-23,458.87
Referidos,2025-03-23,175.22
Email,2025-03-24,134.02
Eventos,2025-03-24,324.24
Google Ads,2025-03-24,901.93
Meta Ads,2025-03-24,642.91
Referidos,2025-03-24,307.01
Email,2025-03-25,148.22
Eventos,2025-03-25,365.20
Google Ads,2025-03-25,774.95
Meta Ads,2025-03-25,741.42
Referidos,2025-03-25,309.22
Email,2025-03-26,146.60
Eventos,2025-03-26,377.10
Google Ads,2025-03-26,791.75
Meta Ads,2025-03-26,796.70
Referidos,2025-03-26,257.79
Email,2025-03-27,178.07
Eventos,2025-03-27,468.49
Google Ads,2025-03-27,854.80
Meta Ads,2025-03-27,736.03
Referidos,2025-03-27,232.61
Email,2025-03-28,171.48
Eventos,2025-03-28,402.62
Google Ads,2025-03-28,741.74
Meta Ads,2025-03-28,664.56
Referidos,2025-03-28,303.10
Email,2025-03-29,95.17
Eventos,2025-03-29,316.25
Google Ads,2025-03-29,720.65
Meta Ads,2025-03-29,503.92
Referidos,2025-03-29,200.51
Email,2025-03-30,99.16
Eventos,2025-03-30,263.11
Google Ads,2025-03-30,617.84
Meta Ads,2025-03-30,457.51
Referidos,2025-03-30,197.94
Email,2025-03-31,143.71
Eventos,2025-03-31,416.54
Google Ads,2025-03-31,880.95
Meta Ads,2025-03-31,785.05
Referidos,2025-03-31,290.37
Email,2025-04-01,124.63
Eventos,2025-04-01,457.87
Google Ads,2025-04-01,818.59
Meta Ads,2025-04-01,600.33
Referidos,2025-04-01,244.73
Email,2025-04-02,168.53
Eventos,2025-04-02,415.63
Google Ads,2025-04-02,765.40
Meta Ads,2025-04-02,714.24
Referidos,2025-04-02,227.90
Email,2025-04-03,157.46
Eventos,2025-04-03,344.18
Google Ads,2025-04-03,1006.12
Meta Ads,2025-04-03,677.17
Referidos,2025-04-03,250.16
Email,2025-04-04,133.47
Eventos,2025-04-04,436.76
Google Ads,2025-04-04,787.76
Meta Ads,2025-04-04,766.10
Referidos,2025-04-04,290.37
Email,2025-04-05,114.99
Eventos,2025-04-05,329.59
Google Ads,2025-04-05,520.17
Meta Ads,2025-04-05,474.77
Referidos,2025-04-05,185.46
Email,2025-04-06,110.11
Eventos,2025-04-06,308.46
Google Ads,2025-04-06,564.81
Meta Ads,2025-04-06,581.17
Referidos,2025-04-06,190.22
Email,2025-04-07,166.43
Eventos,2025-04-07,335.74
Google Ads,2025-04-07,1008.78
Meta Ads,2025-04-07,766.61
Referidos,2025-04-07,284.11
Email,2025-04-08,157.48
Eventos,2025-04-08,376.40
Google Ads,2025-04-08,752.28
Meta Ads,2025-04-08,763.89
Referidos,2025-04-08,264.75
Email,2025-04-09,134.07
Eventos,2025-04-09,440.58
Google Ads,2025-04-09,949.38
Meta Ads,2025-04-09,642.95
Referidos,2025-04-09,238.86
Email,2025-04-10,163.73
Eventos,2025-04-10,321.25
Google Ads,2025-04-10,1036.23
Meta Ads,2025-04-10,719.62
Referidos,2025-04-10,212.42
Email,2025-04-11,173.60
Eventos,2025-04-11,449.11
Google Ads,2025-04-11,882.95
Meta Ads,2025-04-11,624.86
Referidos,2025-04-11,218.56
Email,2025-04-12,103.21
Eventos,2025-04-12,320.65
Google Ads,2025-04-12,700.63
Meta Ads,2025-04-12,411.65
Referidos,2025-04-12,215.41
Email,2025-04-13,106.50
Eventos,2025-04-13,266.14
Google Ads,2025-04-13,669.96
Meta Ads,2025-04-13,580.02
Referidos,2025-04-13,167.23
Email,2025-04-14,131.86
Eventos,2025-04-14,375.93
Google Ads,2025-04-14,852.13
Meta Ads,2025-04-14,624.67
Referidos,2025-04-14,225.04
Email,2025-04-15,143.06
Eventos,2025-04-15,337.33
Google Ads,2025-04-15,728.76
Meta Ads,2025-04-15,751.21
Referidos,2025-04-15,215.79
Email,2025-04-16,148.84
Eventos,2025-04-16,353.09
Google Ads,2025-04-16,980.86
Meta Ads,2025-04-16,807.40
Referidos,2025-04-16,279.85
Email,2025-04-17,157.08
Eventos,2025-04-17,384.62
Google Ads,2025-04-17,983.58
Meta Ads,2025-04-17,639.26
Referidos,2025-04-17,302.41
Email,2025-04-18,121.99
Eventos,2025-04-18,350.08
Google Ads,2025-04-18,997.18
Meta Ads,2025-04-18,831.08
Referidos,2025-04-18,223.18
Email,2025-04-19,103.33
Eventos,2025-04-19,310.72
Google Ads,2025-04-19,514.33
Meta Ads,2025-04-19,472.37
Referidos,2025-04-19,155.31
Email,2025-04-20,123.85
Eventos,2025-04-20,262.88
Google Ads,2025-04-20,623.28
Meta Ads,2025-04-20,506.67
Referidos,2025-04-20,155.88
Email,2025-04-21,169.92
Eventos,2025-04-21,403.15
Google Ads,2025-04-21,795.53
Meta Ads,2025-04-21,759.64
Referidos,2025-04-21,275.90
Email,2025-04-22,121.74
Eventos,2025-04-22,390.02
Google Ads,2025-04-22,1035.32
Meta Ads,2025-04-22,814.55
Referidos,2025-04-22,213.55
Email,2025-04-23,154.67
Eventos,2025-04-23,341.57
Google Ads,2025-04-23,988.59
Meta Ads,2025-04-23,580.84
Referidos,2025-04-23,249.36
Email,2025-04-24,127.45
Eventos,2025-04-24,448.77
Google Ads,2025-04-24,808.47
Meta Ads,2025-04-24,700.75
Referidos,2025-04-24,229.60
Email,2025-04-25,155.91
Eventos,2025-04-25,468.12
Google Ads,2025-04-25,765.36
Meta Ads,2025-04-25,735.42
Referidos,2025-04-25,209.95
Email,2025-04-26,102.01
Eventos,2025-04-26,270.46
Google Ads,2025-04-26,698.46
Meta Ads,2025-04-26,545.50
Referidos,2025-04-26,172.63
Email,2025-04-27,112.78
Eventos,2025-04-27,321.92
Google Ads,2025-04-27,603.26
Meta Ads,2025-04-27,456.47
Referidos,2025-04-27,188.70
Email,2025-04-28,123.10
Eventos,2025-04-28,366.14
Google Ads,2025-04-28,1012.72
Meta Ads,2025-04-28,665.73
Referidos,2025-04-28,306.72
Email,2025-04-29,123.51
Eventos,2025-04-29,427.07
Google Ads,2025-04-29,857.79
Meta Ads,2025-04-29,585.93
Referidos,2025-04-29,270.71
Email,2025-04-30,147.40
Eventos,2025-04-30,353.24
Google Ads,2025-04-30,1076.02
Meta Ads,2025-04-30,623.35
Referidos,2025-04-30,269.06
Email,2025-05-01,171.66
Eventos,2025-05-01,333.83
Google Ads,2025-05-01,722.05
Meta Ads,2025-05-01,634.57
Referidos,2025-05-01,267.02
Email,2025-05-02,122.50
Eventos,2025-05-02,350.42
Google Ads,2025-05-02,1031.51
Meta Ads,2025-05-02,699.97
Referidos,2025-05-02,299.58
Email,2025-05-03,90.94
Eventos,2025-05-03,325.06
Google Ads,2025-05-03,710.45
Meta Ads,2025-05-03,577.18
Referidos,2025-05-03,149.07
Email,2025-05-04,93.25
Eventos,2025-05-04,281.01
Google Ads,2025-05-04,748.82
Meta Ads,2025-05-04,401.15
Referidos,2025-05-04,173.32
Email,2025-05-05,131.23
Eventos,2025-05-05,352.38
Google Ads,2025-05-05,997.03
Meta Ads,2025-05-05,620.88
Referidos,2025-05-05,219.99
Email,2025-05-06,171.13
Eventos,2025-05-06,323.71
Google Ads,2025-05-06,882.10
Meta Ads,2025-05-06,812.07
Referidos,2025-05-06,232.23
Email,2025-05-07,178.09
Eventos,2025-05-07,443.10
Google Ads,2025-05-07,1033.14
Meta Ads,2025-05-07,683.78
Referidos,2025-05-07,276.13
Email,2025-05-08,146.59
Eventos,2025-05-08,415.40
Google Ads,2025-05-08,792.22
Meta Ads,2025-05-08,742.40
Referidos,2025-05-08,254.07
Email,2025-05-09,142.72
Eventos,2025-05-09,333.42
Google Ads,2025-05-09,823.47
Meta Ads,2025-05-09,806.78
Referidos,2025-05-09,271.80
Email,2025-05-10,117.79
Eventos,2025-05-10,323.77
Google Ads,2025-05-10,543.24
Meta Ads,2025-05-10,558.74
Referidos,2025-05-10,154.69
Email,2025-05-11,117.40
Eventos,2025-05-11,258.95
Google Ads,2025-05-11,566.06
Meta Ads,2025-05-11,476.16
Referidos,2025-05-11,176.77
Email,2025-05-12,179.37
Eventos,2025-05-12,452.15
Google Ads,2025-05-12,856.78
Meta Ads,2025-05-12,734.29
Referidos,2025-05-12,250.02
Email,2025-05-13,133.47
Eventos,2025-05-13,476.70
Google Ads,2025-05-13,846.79
Meta Ads,2025-05-13,800.64
Referidos,2025-05-13,287.68
Email,2025-05-14,151.11
Eventos,2025-05-14,360.94
Google Ads,2025-05-14,807.88
Meta Ads,2025-05-14,834.61
Referidos,2025-05-14,259.84
Email,2025-05-15,151.03
Eventos,2025-05-15,382.66
Google Ads,2025-05-15,1031.33
Meta Ads,2025-05-15,704.98
Referidos,2025-05-15,272.34
Email,2025-05-16,131.30
Eventos,2025-05-16,356.83
Google Ads,2025-05-16,805.28
Meta Ads,2025-05-16,699.20
Referidos,2025-05-16,259.74
Email,2025-05-17,118.72
Eventos,2025-05-17,251.79
Google Ads,2025-05-17,526.48
Meta Ads,2025-05-17,427.68
Referidos,2025-05-17,179.22
Email,2025-05-18,119.14
Eventos,2025-05-18,316.54
Google Ads,2025-05-18,521.11
Meta Ads,2025-05-18,557.07
Referidos,2025-05-18,200.89
Email,2025-05-19,121.73
Eventos,2025-05-19,466.69
Google Ads,2025-05-19,914.60
Meta Ads,2025-05-19,637.41
Referidos,2025-05-19,239.14
Email,2025-05-20,152.57
Eventos,2025-05-20,367.08
Google Ads,2025-05-20,1030.78
Meta Ads,2025-05-20,836.92
Referidos,2025-05-20,261.02
Email,2025-05-21,177.87
Eventos,2025-05-21,446.80
Google Ads,2025-05-21,791.42
Meta Ads,2025-05-21,711.96
Referidos,2025-05-21,219.65
Email,2025-05-22,127.11
Eventos,2025-05-22,451.09
Google Ads,2025-05-22,817.69
Meta Ads,2025-05-22,620.45
Referidos,2025-05-22,247.05
Email,2025-05-23,122.81
Eventos,2025-05-23,459.86
Google Ads,2025-05-23,901.61
Meta Ads,2025-05-23,715.52
Referidos,2025-05-23,269.48
Email,2025-05-24,97.50
Eventos,2025-05-24,301.17
Google Ads,2025-05-24,665.25
Meta Ads,2025-05-24,478.43
Referidos,2025-05-24,152.87
Email,2025-05-25,125.74
Eventos,2025-05-25,322.67
Google Ads,2025-05-25,698.55
Meta Ads,2025-05-25,500.13
Referidos,2025-05-25,173.73
Email,2025-05-26,158.84
Eventos,2025-05-26,376.74
Google Ads,2025-05-26,1035.59
Meta Ads,2025-05-26,661.77
Referidos,2025-05-26,283.79
Email,2025-05-27,134.71
Eventos,2025-05-27,332.67
Google Ads,2025-05-27,950.81
Meta Ads,2025-05-27,748.66
Referidos,2025-05-27,251.45
Email,2025-05-28,164.32
Eventos,2025-05-28,461.98
Google Ads,2025-05-28,805.14
Meta Ads,2025-05-28,826.41
Referidos,2025-05-28,268.74
Email,2025-05-29,122.17
Eventos,2025-05-29,413.46
Google Ads,2025-05-29,948.84
Meta Ads,2025-05-29,773.99
Referidos,2025-05-29,290.76
Email,2025-05-30,176.95
Eventos,2025-05-30,391.05
Google Ads,2025-05-30,897.30
Meta Ads,2025-05-30,583.09
Referidos,2025-05-30,236.87
Email,2025-05-31,95.54
Eventos,2025-05-31,246.64
Google Ads,2025-05-31,608.41
Meta Ads,2025-05-31,485.15
Referidos,2025-05-31,218.25
Email,2025-06-01,104.67
Eventos,2025-06-01,278.61
Google Ads,2025-06-01,668.85
Meta Ads,2025-06-01,447.92
Referidos,2025-06-01,188.76
Email,2025-06-02,164.81
Eventos,2025-06-02,332.91
Google Ads,2025-06-02,720.50
Meta Ads,2025-06-02,671.76
Referidos,2025-06-02,303.70
Email,2025-06-03,152.21
Eventos,2025-06-03,473.05
Google Ads,2025-06-03,824.14
Meta Ads,2025-06-03,796.17
Referidos,2025-06-03,311.15
Email,2025-06-04,125.04
Eventos,2025-06-04,475.34
Google Ads,2025-06-04,740.69
Meta Ads,2025-06-04,796.52
Referidos,2025-06-04,296.93
Email,2025-06-05,176.89
Eventos,2025-06-05,461.52
Google Ads,2025-06-05,923.47
Meta Ads,2025-06-05,733.33
Referidos,2025-06-05,212.48
Email,2025-06-06,156.98
Eventos,2025-06-06,395.93
Google Ads,2025-06-06,897.32
Meta Ads,2025-06-06,565.40
Referidos,2025-06-06,290.26
Email,2025-06-07,116.64
Eventos,2025-06-07,307.29
Google Ads,2025-06-07,753.52
Meta Ads,2025-06-07,421.23
Referidos,2025-06-07,151.94
Email,2025-06-08,114.75
Eventos,2025-06-08,254.50
Google Ads,2025-06-08,556.74
Meta Ads,2025-06-08,465.14
Referidos,2025-06-08,195.22
Email,2025-06-09,148.71
Eventos,2025-06-09,364.13
Google Ads,2025-06-09,802.29
Meta Ads,2025-06-09,772.98
Referidos,2025-06-09,227.67
Email,2025-06-10,162.59
Eventos,2025-06-10,477.19
Google Ads,2025-06-10,936.05
Meta Ads,2025-06-10,681.48
Referidos,2025-06-10,261.36
Email,2025-06-11,153.37
Eventos,2025-06-11,453.58
Google Ads,2025-06-11,921.41
Meta Ads,2025-06-11,694.92
Referidos,2025-06-11,221.23
Email,2025-06-12,178.74
Eventos,2025-06-12,467.61
Google Ads,2025-06-12,765.23
Meta Ads,2025-06-12,599.37
Referidos,2025-06-12,309.60
Email,2025-06-13,148.73
Eventos,2025-06-13,328.03
Google Ads,2025-06-13,782.73
Meta Ads,2025-06-13,670.50
Referidos,2025-06-13,251.69
Email,2025-06-14,125.73
Eventos,2025-06-14,302.92
Google Ads,2025-06-14,588.27
Meta Ads,2025-06-14,543.41
Referidos,2025-06-14,158.78
Email,2025-06-15,123.74
Eventos,2025-06-15,317.87
Google Ads,2025-06-15,736.28
Meta Ads,2025-06-15,586.40
Referidos,2025-06-15,197.81
Email,2025-06-16,128.36
Eventos,2025-06-16,325.80
Google Ads,2025-06-16,947.42
Meta Ads,2025-06-16,801.57
Referidos,2025-06-16,267.45
Email,2025-06-17,143.17
Eventos,2025-06-17,445.69
Google Ads,2025-06-17,1019.42
Meta Ads,2025-06-17,837.57
Referidos,2025-06-17,305.06
Email,2025-06-18,179.58
Eventos,2025-06-18,355.32
Google Ads,2025-06-18,963.16
Meta Ads,2025-06-18,590.69
Referidos,2025-06-18,301.99
Email,2025-06-19,136.43
Eventos,2025-06-19,453.89
Google Ads,2025-06-19,927.24
Meta Ads,2025-06-19,677.27
Referidos,2025-06-19,212.30
Email,2025-06-20,164.64
Eventos,2025-06-20,415.35
Google Ads,2025-06-20,988.83
Meta Ads,2025-06-20,566.94
Referidos,2025-06-20,267.10
Email,2025-06-21,89.14
Eventos,2025-06-21,267.11
Google Ads,2025-06-21,511.05
Meta Ads,2025-06-21,465.15
Referidos,2025-06-21,182.45
