pago_id,factura_id,fecha_pago,monto_pagado,metodo_pago
PAG-000088,FAC-001299,2025-06-16,12592.02,Cheque
PAG-000089,FAC-000910,2025-07-06,11765.46,Transferencia
PAG-000090,FAC-000726,2025-10-02,3459.12,Efectivo
PAG-000091,FAC-003278,2024-09-04,8558.88,Efectivo
PAG-000092,FAC-001372,2024-03-19,7690.08,Transferencia
PAG-000093,FAC-003068,2024-08-11,3939.86,Cheque
PAG-000094,FAC-000650,2025-07-13,3814.71,Tarjeta
PAG-000095,FAC-000823,2025-07-07,1482.60,Tarjeta
PAG-000096,FAC-000008,2024-09-18,286.20,Cheque
PAG-000097,FAC-000008,2024-10-14,190.80,Cheque
PAG-000098,FAC-003233,2025-10-15,1777.06,Transferencia
PAG-000099,FAC-001320,2024-05-12,3586.52,Transferencia
PAG-000100,FAC-001224,2025-11-01,2337.53,Transferencia
PAG-000101,FAC-001119,2024-04-02,550.29,Efectivo
PAG-000102,FAC-002616,2024-08-22,2231.76,Tarjeta
PAG-000103,FAC-000028,2026-01-01,5714.70,Transferencia
PAG-000104,FAC-002300,2025-07-11,1209.92,Transferencia
PAG-000105,FAC-000218,2024-08-06,6036.17,Transferencia
PAG-000106,FAC-000976,2024-04-11,683.78,Cheque
PAG-000107,FAC-000862,2024-05-05,1797.59,Transferencia
PAG-000108,FAC-000862,2024-05-21,1198.39,Transferencia
PAG-000109,FAC-002932,2025-06-20,2956.99,Transferencia
PAG-000110,FAC-002932,2025-07-11,1971.32,Transferencia
PAG-000111,FAC-000945,2024-07-30,4301.43,Cheque
PAG-000112,FAC-001582,2025-12-15,1203.57,Tarjeta
PAG-000113,FAC-000615,2025-07-14,1756.47,Transferencia
PAG-000114,FAC-001500,2024-04-05,5088.48,Tarjeta
PAG-000115,FAC-002390,2025-06-05,1563.14,Cheque
PAG-000116,FAC-002390,2025-07-02,1042.09,Cheque
PAG-000117,FAC-002117,2024-04-28,1686.54,Transferencia
PAG-000118,FAC-001112,2024-11-06,5192.22,Tarjeta
PAG-000119,FAC-002761,2024-06-13,635.84,Tarjeta
PAG-000120,FAC-002264,2024-04-16,425.50,Transferencia
PAG-000121,FAC-002944,2025-05-05,3089.17,Transferencia
PAG-000122,FAC-001744,2024-02-28,2980.18,Transferencia
PAG-000123,FAC-000724,2025-06-14,976.61,Tarjeta
PAG-000124,FAC-003483,2024-04-17,1765.18,Transferencia
PAG-000125,FAC-003483,2024-05-15,1176.78,Transferencia
PAG-000126,FAC-001766,2024-06-17,6788.25,Cheque
PAG-000127,FAC-000234,2024-06-17,2900.22,Transferencia
PAG-000128,FAC-003282,2024-11-25,746.79,Transferencia
PAG-000129,FAC-002843,2025-04-06,404.66,Transferencia
PAG-000130,FAC-001959,2024-03-01,1200.08,Tarjeta
PAG-000131,FAC-002704,2025-12-15,2601.36,Transferencia
PAG-000132,FAC-001597,2024-04-07,991.54,Tarjeta
PAG-000133,FAC-001597,2024-05-07,661.02,Tarjeta
PAG-000134,FAC-003497,2025-12-26,735.66,Cheque
PAG-000135,FAC-001774,2026-01-01,11466.72,Cheque
PAG-000136,FAC-001802,2024-10-13,6480.54,Transferencia
PAG-000137,FAC-001700,2024-07-06,5928.10,Transferencia
PAG-000138,FAC-000863,2026-02-03,610.74,Cheque
PAG-000139,FAC-000863,2026-02-19,407.16,Cheque
PAG-000140,FAC-000226,2025-10-13,10665.36,Transferencia
PAG-000141,FAC-000367,2024-09-03,5077.59,Transferencia
PAG-000142,FAC-000213,2024-09-06,978.39,Transferencia
PAG-000143,FAC-003410,2025-07-23,1097.07,Cheque
PAG-000144,FAC-000330,2024-01-28,15547.26,Transferencia
PAG-000145,FAC-003352,2025-06-02,2616.90,Transferencia
PAG-000146,FAC-002625,2024-08-25,8667.40,Transferencia
PAG-000147,FAC-003169,2026-01-09,1856.85,Tarjeta
PAG-000148,FAC-000260,2024-05-06,2081.65,Efectivo
PAG-000149,FAC-003429,2024-04-06,440.26,Transferencia
PAG-000150,FAC-001004,2025-08-04,846.38,Transferencia
PAG-000151,FAC-002210,2025-02-22,2775.68,Tarjeta
PAG-000152,FAC-000018,2026-01-15,72.05,Transferencia
PAG-000153,FAC-002558,2025-06-25,2235.80,Cheque
PAG-000154,FAC-001789,2024-10-01,1097.74,Transferencia
PAG-000155,FAC-001898,2025-06-02,5803.68,Cheque
PAG-000156,FAC-003361,2024-08-23,1100.60,Transferencia
PAG-000157,FAC-001982,2024-12-28,5439.56,Transferencia
PAG-000158,FAC-001319,2026-01-05,4356.06,Transferencia
PAG-000159,FAC-003460,2024-07-11,1537.80,Cheque
PAG-000160,FAC-002462,2025-06-18,3777.97,Tarjeta
PAG-000161,FAC-002175,2024-02-24,815.15,Transferencia
PAG-000162,FAC-000208,2024-03-11,2879.03,Transferencia
PAG-000163,FAC-001658,2024-08-03,7465.00,Tarjeta
PAG-000164,FAC-002889,2026-01-30,5620.44,Tarjeta
PAG-000165,FAC-002889,2026-02-24,3746.96,Tarjeta
PAG-000166,FAC-000919,2025-05-05,1161.45,Transferencia
PAG-000167,FAC-001157,2025-07-13,8168.09,Transferencia
PAG-000168,FAC-000712,2025-06-22,2305.14,Transferencia
PAG-000169,FAC-001411,2025-11-27,10363.00,Transferencia
PAG-000170,FAC-000853,2024-01-15,2045.58,Cheque
PAG-000171,FAC-003025,2025-04-14,15550.98,Tarjeta
PAG-000172,FAC-003398,2025-10-06,2547.45,Tarjeta
PAG-000173,FAC-003202,2024-03-21,2737.38,Transferencia
PAG-000174,FAC-000659,2025-03-11,8243.52,Transferencia
PAG-000175,FAC-000339,2025-10-12,2454.70,Transferencia
PAG-000176,FAC-000940,2024-11-17,5107.50,Cheque
PAG-000177,FAC-001217,2025-12-28,1464.98,Transferencia
PAG-000178,FAC-002754,2024-03-29,3618.84,Efectivo
PAG-000179,FAC-001068,2025-05-07,667.87,Efectivo
PAG-000180,FAC-001614,2024-01-14,1028.60,Transferencia
PAG-000181,FAC-002821,2024-02-10,6336.01,Tarjeta
PAG-000182,FAC-003178,2025-12-30,3005.16,Transferencia
PAG-000183,FAC-003447,2024-10-09,881.78,Efectivo
PAG-000184,FAC-002129,2024-04-18,1176.96,Transferencia
PAG-000185,FAC-001767,2024-12-18,914.90,Transferencia
PAG-000186,FAC-000844,2025-10-19,2245.60,Transferencia
PAG-000187,FAC-000490,2024-04-11,3444.33,Cheque
PAG-000188,FAC-000741,2024-09-21,2559.96,Transferencia
PAG-000189,FAC-000507,2024-12-25,313.58,Transferencia
PAG-000190,FAC-000020,2025-12-14,437.45,Transferencia
PAG-000191,FAC-001146,2026-01-18,219.72,Transferencia
PAG-000192,FAC-002413,2024-07-07,617.60,Transferencia
PAG-000193,FAC-002566,2024-09-30,5213.82,Transferencia
PAG-000194,FAC-002935,2025-01-10,1470.21,Tarjeta
PAG-000195,FAC-000568,2024-02-06,14054.32,Transferencia
PAG-000196,FAC-001704,2025-10-22,1794.81,Transferencia
PAG-000197,FAC-000829,2025-12-12,712.98,Tarjeta
PAG-000198,FAC-002373,2024-08-15,11934.60,Transferencia
PAG-000199,FAC-003344,2025-05-05,1148.01,Transferencia
PAG-000200,FAC-002960,2025-05-07,2546.30,Transferencia
PAG-000201,FAC-000526,2024-10-30,8872.38,Transferencia
PAG-000202,FAC-000309,2026-01-14,951.19,Cheque
PAG-000203,FAC-000104,2024-05-03,1322.10,Transferencia
PAG-000204,FAC-002323,2025-12-02,2252.74,Efectivo
PAG-000205,FAC-001441,2024-06-21,3872.10,Tarjeta
PAG-000206,FAC-000110,2025-12-25,5821.55,Transferencia
PAG-000207,FAC-001902,2025-06-05,166.11,Transferencia
PAG-000208,FAC-000135,2025-11-29,9008.09,Cheque
PAG-000209,FAC-003168,2024-04-29,1151.95,Transferencia
PAG-000210,FAC-001806,2024-11-17,5309.36,Transferencia
PAG-000211,FAC-000722,2024-11-08,13769.49,Transferencia
PAG-000212,FAC-000336,2024-07-19,5988.30,Tarjeta
PAG-000213,FAC-001765,2025-04-14,5863.76,Transferencia
PAG-000214,FAC-003151,2025-08-17,7751.17,Transferencia
PAG-000215,FAC-001825,2026-01-02,1649.10,Transferencia
PAG-000216,FAC-002006,2024-05-22,9204.93,Transferencia
PAG-000217,FAC-000842,2026-01-08,1082.60,Transferencia
PAG-000218,FAC-000066,2024-06-09,209.19,Transferencia
PAG-000219,FAC-002336,2025-10-18,1779.47,Transferencia
PAG-000220,FAC-000445,2024-08-25,940.59,Transferencia
PAG-000221,FAC-000371,2025-02-14,1774.76,Cheque
PAG-000222,FAC-001277,2024-04-27,2888.70,Transferencia
PAG-000223,FAC-001234,2025-01-07,2577.21,Tarjeta
PAG-000224,FAC-001963,2024-11-17,4760.76,Transferencia
PAG-000225,FAC-000861,2025-09-20,2276.86,Transferencia
PAG-000226,FAC-000861,2025-10-14,1517.91,Transferencia
PAG-000227,FAC-003133,2024-09-22,6871.02,Transferencia
PAG-000228,FAC-001019,2025-08-26,4068.33,Cheque
PAG-000229,FAC-002220,2024-11-18,1854.08,Transferencia
PAG-000230,FAC-001556,2025-11-03,1643.49,Transferencia
PAG-000231,FAC-002082,2026-01-18,1399.08,Transferencia
PAG-000232,FAC-002529,2024-05-04,3752.49,Transferencia
PAG-000233,FAC-000994,2025-03-18,5283.76,Cheque
PAG-000234,FAC-001915,2024-11-12,4777.86,Transferencia
PAG-000235,FAC-001943,2024-10-11,1480.75,Cheque
PAG-000236,FAC-002394,2024-08-22,2402.48,Transferencia
PAG-000237,FAC-003183,2024-11-28,1911.63,Efectivo
PAG-000238,FAC-000635,2025-12-25,8402.16,Efectivo
PAG-000239,FAC-000038,2025-04-12,784.92,Cheque
PAG-000240,FAC-003109,2026-01-12,3584.07,Cheque
PAG-000241,FAC-003109,2026-01-25,2389.38,Cheque
PAG-000242,FAC-002545,2025-10-26,835.30,Transferencia
PAG-000243,FAC-002009,2025-06-03,2825.05,Tarjeta
PAG-000244,FAC-000265,2025-05-06,185.73,Tarjeta
PAG-000245,FAC-002895,2024-05-20,644.25,Transferencia
PAG-000246,FAC-003014,2025-01-25,7257.35,Transferencia
PAG-000247,FAC-002576,2025-08-14,913.68,Tarjeta
PAG-000248,FAC-001610,2024-12-02,1240.05,Transferencia
PAG-000249,FAC-001424,2024-02-22,498.88,Transferencia
PAG-000250,FAC-003143,2025-05-29,3027.60,Transferencia
PAG-000251,FAC-003143,2025-06-14,2018.40,Transferencia
PAG-000252,FAC-001709,2025-06-22,14630.35,Transferencia
PAG-000253,FAC-002730,2024-04-14,311.37,Transferencia
PAG-000254,FAC-002730,2024-05-05,207.58,Transferencia
PAG-000255,FAC-000243,2025-07-02,655.52,Transferencia
PAG-000256,FAC-001122,2024-09-20,907.14,Transferencia
PAG-000257,FAC-000192,2025-06-04,8301.40,Transferencia
PAG-000258,FAC-003475,2024-10-04,11435.55,Efectivo
PAG-000259,FAC-000515,2025-05-26,5104.11,Transferencia
PAG-000260,FAC-001503,2024-10-30,612.09,Cheque
PAG-000261,FAC-000426,2025-05-21,1767.84,Transferencia
PAG-000262,FAC-003396,2024-08-02,1320.83,Transferencia
PAG-000263,FAC-002713,2024-02-23,998.62,Tarjeta
PAG-000264,FAC-000546,2025-02-03,9156.58,Transferencia
PAG-000265,FAC-000822,2026-01-16,993.66,Efectivo
PAG-000266,FAC-001053,2025-06-11,1593.45,Transferencia
PAG-000267,FAC-001189,2025-06-24,2102.64,Transferencia
PAG-000268,FAC-001232,2024-12-16,175.48,Cheque
PAG-000269,FAC-001232,2025-01-03,116.98,Cheque
PAG-000270,FAC-001845,2026-01-27,2003.58,Transferencia
PAG-000271,FAC-003206,2025-03-30,2898.94,Tarjeta
PAG-000272,FAC-001568,2024-04-13,12082.74,Transferencia
PAG-000273,FAC-001690,2025-05-25,415.64,Transferencia
PAG-000274,FAC-003258,2025-06-04,8491.26,Transferencia
PAG-000275,FAC-002665,2024-08-13,11530.74,Transferencia
PAG-000276,FAC-003012,2024-05-02,1155.72,Transferencia
PAG-000277,FAC-003481,2025-06-21,6783.88,Tarjeta
PAG-000278,FAC-002428,2024-10-20,327.68,Transferencia
PAG-000279,FAC-001225,2024-11-09,2034.51,Tarjeta
PAG-000280,FAC-001892,2025-02-11,3476.12,Cheque
PAG-000281,FAC-001140,2024-06-20,3705.75,Transferencia
PAG-000282,FAC-000092,2025-01-21,4256.91,Transferencia
PAG-000283,FAC-002518,2025-10-25,652.80,Transferencia
PAG-000284,FAC-001489,2025-02-10,1454.32,Tarjeta
PAG-000285,FAC-000022,2024-09-11,9882.84,Cheque
PAG-000286,FAC-000644,2024-07-21,1736.52,Tarjeta
PAG-000287,FAC-002539,2024-03-10,7905.96,Cheque
PAG-000288,FAC-002622,2025-12-22,785.84,Tarjeta
PAG-000289,FAC-000373,2025-06-08,8432.48,Tarjeta
PAG-000290,FAC-000362,2024-08-19,486.35,Transferencia
PAG-000291,FAC-003142,2025-01-24,2180.68,Transferencia
PAG-000292,FAC-003222,2025-08-29,550.33,Cheque
PAG-000293,FAC-002532,2025-12-22,7852.44,Transferencia
PAG-000294,FAC-002846,2024-02-28,4718.68,Transferencia
PAG-000295,FAC-000719,2024-03-26,849.02,Transferencia
PAG-000296,FAC-001519,2024-03-16,10356.84,Efectivo
PAG-000297,FAC-000845,2024-12-10,3436.74,Transferencia
PAG-000298,FAC-001712,2025-04-06,4561.11,Cheque
PAG-000299,FAC-001457,2025-09-14,196.81,Tarjeta
PAG-000300,FAC-001457,2025-09-27,131.21,Tarjeta
PAG-000301,FAC-001365,2025-04-26,2222.52,Transferencia
PAG-000302,FAC-000471,2025-10-30,1949.08,Transferencia
PAG-000303,FAC-002008,2024-04-08,6446.76,Cheque
PAG-000304,FAC-000885,2024-10-21,868.95,Cheque
PAG-000305,FAC-001318,2025-04-29,1650.11,Tarjeta
PAG-000306,FAC-001994,2025-07-13,6874.62,Tarjeta
PAG-000307,FAC-001994,2025-08-04,4583.08,Tarjeta
PAG-000308,FAC-001740,2025-08-05,2763.20,Transferencia
PAG-000309,FAC-000069,2025-11-27,3922.44,Cheque
PAG-000310,FAC-002900,2024-01-31,1332.39,Efectivo
PAG-000311,FAC-001656,2024-10-18,10875.00,Transferencia
PAG-000312,FAC-001303,2025-11-26,14870.50,Tarjeta
PAG-000313,FAC-001449,2025-01-28,867.16,Transferencia
PAG-000314,FAC-002003,2025-06-09,2693.82,Transferencia
PAG-000315,FAC-003152,2024-08-29,1624.99,Transferencia
PAG-000316,FAC-000355,2026-01-07,2984.10,Transferencia
PAG-000317,FAC-000355,2026-02-06,1989.40,Transferencia
PAG-000318,FAC-000675,2024-04-13,5065.26,Transferencia
PAG-000319,FAC-001113,2024-06-15,363.40,Transferencia
PAG-000320,FAC-001095,2025-04-23,682.23,Cheque
PAG-000321,FAC-001485,2024-07-06,3197.82,Transferencia
PAG-000322,FAC-003406,2024-05-16,2111.24,Transferencia
PAG-000323,FAC-002902,2024-04-29,5923.26,Tarjeta
PAG-000324,FAC-001926,2024-12-24,856.90,Transferencia
PAG-000325,FAC-002803,2024-06-07,1974.06,Transferencia
PAG-000326,FAC-000706,2025-05-24,1998.36,Transferencia
PAG-000327,FAC-002875,2026-01-30,499.36,Cheque
PAG-000328,FAC-001665,2024-11-13,4731.95,Cheque
PAG-000329,FAC-000580,2025-02-11,1950.12,Transferencia
PAG-000330,FAC-000815,2024-08-29,472.37,Tarjeta
PAG-000331,FAC-001662,2024-10-31,6041.16,Transferencia
PAG-000332,FAC-000497,2024-04-16,2406.56,Transferencia
PAG-000333,FAC-002366,2024-09-06,1388.91,Tarjeta
PAG-000334,FAC-001129,2025-07-20,4685.52,Transferencia
PAG-000335,FAC-000771,2024-07-27,1550.48,Transferencia
PAG-000336,FAC-003044,2024-11-02,11151.21,Cheque
PAG-000337,FAC-000413,2024-04-09,2105.52,Transferencia
PAG-000338,FAC-000363,2026-03-16,188.60,Transferencia
PAG-000339,FAC-002460,2024-05-25,508.16,Tarjeta
PAG-000340,FAC-002460,2024-06-12,338.78,Tarjeta
PAG-000341,FAC-001143,2026-02-06,1754.30,Transferencia
PAG-000342,FAC-001143,2026-03-05,1169.53,Transferencia
PAG-000343,FAC-000152,2025-06-08,5114.16,Transferencia
PAG-000344,FAC-000758,2024-12-14,2044.49,Efectivo
PAG-000345,FAC-001282,2025-11-20,4493.40,Transferencia
PAG-000346,FAC-003061,2025-12-22,1397.10,Tarjeta
PAG-000347,FAC-000279,2024-11-05,522.86,Transferencia
PAG-000348,FAC-000279,2024-11-23,348.58,Transferencia
PAG-000349,FAC-000538,2024-09-03,2533.58,Cheque
PAG-000350,FAC-000316,2024-12-24,11312.90,Transferencia
PAG-000351,FAC-002088,2024-04-16,3983.49,Transferencia
PAG-000352,FAC-001985,2025-04-29,1080.49,Transferencia
PAG-000353,FAC-001985,2025-05-10,720.33,Transferencia
PAG-000354,FAC-001829,2025-10-22,3042.54,Transferencia
PAG-000355,FAC-000720,2025-05-23,1483.16,Cheque
PAG-000356,FAC-000441,2024-07-06,1296.54,Transferencia
PAG-000357,FAC-002904,2025-06-11,660.50,Tarjeta
PAG-000358,FAC-003184,2024-10-09,9858.24,Transferencia
PAG-000359,FAC-002553,2024-04-06,324.27,Cheque
PAG-000360,FAC-000103,2024-07-27,581.95,Transferencia
PAG-000361,FAC-000595,2025-11-29,1307.01,Transferencia
PAG-000362,FAC-001085,2024-12-23,295.96,Transferencia
PAG-000363,FAC-001984,2024-06-10,1669.40,Cheque
PAG-000364,FAC-001482,2024-02-18,571.86,Transferencia
PAG-000365,FAC-003378,2025-05-29,5751.83,Tarjeta
PAG-000366,FAC-000272,2024-04-15,3032.89,Transferencia
PAG-000367,FAC-003279,2024-08-08,2330.25,Transferencia
PAG-000368,FAC-000607,2024-11-18,2513.84,Transferencia
PAG-000369,FAC-003231,2026-01-15,1611.84,Transferencia
PAG-000370,FAC-002287,2024-05-20,506.84,Tarjeta
PAG-000371,FAC-002287,2024-06-15,337.90,Tarjeta
PAG-000372,FAC-002563,2026-03-24,1504.44,Transferencia
PAG-000373,FAC-001267,2024-08-18,1487.82,Transferencia
PAG-000374,FAC-003425,2024-11-29,3263.20,Efectivo
PAG-000375,FAC-000044,2025-03-15,3856.16,Transferencia
PAG-000376,FAC-001263,2025-10-28,1709.71,Transferencia
PAG-000377,FAC-002772,2026-02-21,5470.95,Cheque
PAG-000378,FAC-002089,2024-06-08,675.28,Transferencia
PAG-000379,FAC-002334,2024-05-09,1718.76,Transferencia
PAG-000380,FAC-002200,2025-05-05,4388.60,Cheque
PAG-000381,FAC-002608,2024-06-19,5705.65,Transferencia
PAG-000382,FAC-001895,2024-03-12,1572.76,Tarjeta
PAG-000383,FAC-002914,2024-11-29,2187.20,Transferencia
PAG-000384,FAC-001359,2024-05-13,3366.08,Transferencia
PAG-000385,FAC-000029,2026-01-28,2488.86,Transferencia
PAG-000386,FAC-002599,2024-01-11,358.03,Cheque
PAG-000387,FAC-003420,2025-01-01,2636.16,Transferencia
PAG-000388,FAC-001407,2024-02-04,388.50,Tarjeta
PAG-000389,FAC-000618,2024-01-17,2912.08,Transferencia
PAG-000390,FAC-001581,2025-04-26,798.99,Transferencia
PAG-000391,FAC-000440,2025-04-14,1842.10,Transferencia
PAG-000392,FAC-002861,2024-09-27,18031.32,Efectivo
PAG-000393,FAC-000821,2025-02-21,55.28,Cheque
PAG-000394,FAC-001099,2025-08-16,147.16,Transferencia
PAG-000395,FAC-001715,2024-10-31,10529.70,Transferencia
PAG-000396,FAC-000912,2025-11-16,9766.75,Tarjeta
PAG-000397,FAC-002946,2024-01-30,1292.85,Transferencia
PAG-000398,FAC-003139,2025-11-29,5091.80,Transferencia
PAG-000399,FAC-001859,2024-07-25,2152.08,Transferencia
PAG-000400,FAC-002807,2025-12-08,6827.34,Transferencia
PAG-000401,FAC-003251,2025-04-15,4515.03,Efectivo
PAG-000402,FAC-002372,2024-03-31,549.53,Efectivo
PAG-000403,FAC-000370,2024-09-23,2772.58,Cheque
PAG-000404,FAC-002543,2025-04-08,10536.42,Efectivo
PAG-000405,FAC-001364,2025-11-05,760.20,Cheque
PAG-000406,FAC-002171,2025-03-25,1263.99,Transferencia
PAG-000407,FAC-001601,2024-04-26,144.72,Transferencia
PAG-000408,FAC-000782,2025-01-21,3993.50,Tarjeta
PAG-000409,FAC-000324,2024-08-13,16278.64,Tarjeta
PAG-000410,FAC-001617,2024-11-06,606.30,Tarjeta
PAG-000411,FAC-000581,2024-12-04,4079.68,Transferencia
PAG-000412,FAC-001219,2024-08-03,902.84,Transferencia
PAG-000413,FAC-003252,2025-01-19,653.28,Transferencia
PAG-000414,FAC-003252,2025-02-05,435.52,Transferencia
PAG-000415,FAC-002361,2025-01-27,1305.42,Tarjeta
PAG-000416,FAC-001534,2025-11-26,674.72,Transferencia
PAG-000417,FAC-001337,2025-09-12,194.46,Transferencia
PAG-000418,FAC-000541,2024-05-15,3798.94,Transferencia
PAG-000419,FAC-001908,2025-01-22,3031.56,Cheque
PAG-000420,FAC-000539,2024-11-01,11268.84,Transferencia
PAG-000421,FAC-003290,2025-04-26,9559.56,Transferencia
PAG-000422,FAC-001018,2024-04-16,588.46,Cheque
PAG-000423,FAC-001331,2025-04-20,4629.40,Tarjeta
PAG-000424,FAC-003488,2024-06-13,7184.48,Transferencia
PAG-000425,FAC-001504,2024-05-09,15656.20,Tarjeta
PAG-000426,FAC-000381,2025-04-16,3922.20,Tarjeta
PAG-000427,FAC-001462,2025-02-01,1970.04,Transferencia
PAG-000428,FAC-001595,2024-07-05,593.90,Transferencia
PAG-000429,FAC-001488,2024-03-02,909.80,Efectivo
PAG-000430,FAC-001484,2025-02-07,2044.80,Transferencia
PAG-000431,FAC-002915,2024-05-26,2221.70,Cheque
PAG-000432,FAC-000288,2025-09-09,4106.88,Tarjeta
PAG-000433,FAC-000288,2025-09-22,2737.92,Tarjeta
PAG-000434,FAC-002771,2025-11-19,1373.33,Efectivo
PAG-000435,FAC-002771,2025-12-08,915.55,Efectivo
PAG-000436,FAC-002000,2025-07-06,4643.76,Cheque
PAG-000437,FAC-002779,2024-08-14,15407.15,Transferencia
PAG-000438,FAC-003160,2025-11-26,4669.74,Tarjeta
PAG-000439,FAC-001580,2025-05-29,2520.12,Transferencia
