respuesta_id,cliente_id,fecha,score,motivo_detractor
R-00044,CLI-00422,2025-02-02,10,
R-00045,CLI-00508,2025-02-03,9,
R-00046,CLI-00033,2025-02-05,10,
R-00047,CLI-00211,2025-02-06,10,
R-00048,CLI-00474,2025-02-06,0,Facturación
R-00049,CLI-00097,2025-02-07,8,
R-00050,CLI-00388,2025-02-07,10,
R-00051,CLI-00501,2025-02-07,9,
R-00052,CLI-00046,2025-02-08,9,
R-00053,CLI-00099,2025-02-08,9,
R-00054,CLI-00294,2025-02-08,7,
R-00055,CLI-00308,2025-02-08,10,
R-00056,CLI-00420,2025-02-08,10,
R-00057,CLI-00074,2025-02-09,9,
R-00058,CLI-00417,2025-02-09,9,
R-00059,CLI-00058,2025-02-11,8,
R-00060,CLI-00181,2025-02-11,10,
R-00061,CLI-00223,2025-02-11,8,
R-00062,CLI-00257,2025-02-11,7,
R-00063,CLI-00398,2025-02-11,9,
R-00064,CLI-00316,2025-02-12,9,
R-00065,CLI-00381,2025-02-12,10,
R-00066,CLI-00036,2025-02-13,7,
R-00067,CLI-00271,2025-02-13,7,
R-00068,CLI-00149,2025-02-14,10,
R-00069,CLI-00293,2025-02-14,10,
R-00070,CLI-00306,2025-02-14,10,
R-00071,CLI-00238,2025-02-16,10,
R-00072,CLI-00166,2025-02-17,10,
R-00073,CLI-00505,2025-02-17,6,Calidad del producto
R-00074,CLI-00027,2025-02-18,6,Facturación
R-00075,CLI-00029,2025-02-19,10,
R-00076,CLI-00299,2025-02-19,7,
R-00077,CLI-00206,2025-02-20,8,
R-00078,CLI-00354,2025-02-20,10,
R-00079,CLI-00435,2025-02-20,6,Soporte lento
R-00080,CLI-00386,2025-02-21,9,
R-00081,CLI-00245,2025-02-23,6,Soporte lento
R-00082,CLI-00017,2025-02-25,10,
R-00083,CLI-00035,2025-02-25,7,
R-00084,CLI-00293,2025-02-25,7,
R-00085,CLI-00259,2025-02-26,8,
R-00086,CLI-00042,2025-02-27,5,Calidad del producto
R-00087,CLI-00458,2025-02-28,9,
R-00088,CLI-00050,2025-03-01,7,
R-00089,CLI-00406,2025-03-01,9,
R-00090,CLI-00073,2025-03-03,10,
R-00091,CLI-00230,2025-03-03,9,
R-00092,CLI-00476,2025-03-03,9,
R-00093,CLI-00292,2025-03-05,8,
R-00094,CLI-00330,2025-03-05,10,
R-00095,CLI-00486,2025-03-06,8,
R-00096,CLI-00037,2025-03-07,8,
R-00097,CLI-00247,2025-03-07,8,
R-00098,CLI-00011,2025-03-08,7,
R-00099,CLI-00249,2025-03-08,9,
R-00100,CLI-00345,2025-03-08,10,
R-00101,CLI-00292,2025-03-09,8,
R-00102,CLI-00112,2025-03-10,5,Calidad del producto
R-00103,CLI-00255,2025-03-10,10,
R-00104,CLI-00364,2025-03-10,10,
R-00105,CLI-00010,2025-03-11,9,
R-00106,CLI-00033,2025-03-11,6,Tiempos de entrega
R-00107,CLI-00058,2025-03-11,9,
R-00108,CLI-00177,2025-03-11,7,
R-00109,CLI-00261,2025-03-12,8,
R-00110,CLI-00430,2025-03-12,10,
R-00111,CLI-00080,2025-03-13,9,
R-00112,CLI-00116,2025-03-13,9,
R-00113,CLI-00129,2025-03-13,7,
R-00114,CLI-00325,2025-03-13,9,
R-00115,CLI-00352,2025-03-13,9,
R-00116,CLI-00491,2025-03-14,10,
R-00117,CLI-00183,2025-03-15,10,
R-00118,CLI-00265,2025-03-16,7,
R-00119,CLI-00425,2025-03-16,9,
R-00120,CLI-00032,2025-03-17,8,
R-00121,CLI-00011,2025-03-18,7,
R-00122,CLI-00072,2025-03-18,10,
R-00123,CLI-00087,2025-03-18,6,Precio
R-00124,CLI-00463,2025-03-18,7,
R-00125,CLI-00002,2025-03-20,0,Facturación
R-00126,CLI-00034,2025-03-20,10,
R-00127,CLI-00064,2025-03-20,3,Facturación
R-00128,CLI-00255,2025-03-20,9,
R-00129,CLI-00273,2025-03-20,10,
R-00130,CLI-00342,2025-03-20,9,
R-00131,CLI-00143,2025-03-21,7,
R-00132,CLI-00196,2025-03-21,3,Precio
R-00133,CLI-00496,2025-03-21,10,
R-00134,CLI-00510,2025-03-21,4,Tiempos de entrega
R-00135,CLI-00350,2025-03-22,8,
R-00136,CLI-00474,2025-03-22,9,
R-00137,CLI-00271,2025-03-23,10,
R-00138,CLI-00071,2025-03-24,10,
R-00139,CLI-00115,2025-03-24,9,
R-00140,CLI-00182,2025-03-24,8,
R-00141,CLI-00352,2025-03-25,7,
R-00142,CLI-00384,2025-03-25,9,
R-00143,CLI-00196,2025-04-01,9,
R-00144,CLI-00165,2025-04-02,9,
R-00145,CLI-00310,2025-04-02,3,Facturación
R-00146,CLI-00468,2025-04-02,9,
R-00147,CLI-00505,2025-04-02,9,
R-00148,CLI-00125,2025-04-03,3,Tiempos de entrega
R-00149,CLI-00394,2025-04-03,9,
R-00150,CLI-00487,2025-04-03,6,Soporte lento
R-00151,CLI-00191,2025-04-04,10,
R-00152,CLI-00426,2025-04-04,9,
R-00153,CLI-00369,2025-04-06,8,
R-00154,CLI-00048,2025-04-07,10,
R-00155,CLI-00251,2025-04-07,4,Precio
R-00156,CLI-00426,2025-04-07,8,
R-00157,CLI-00493,2025-04-07,9,
R-00158,CLI-00328,2025-04-08,10,
R-00159,CLI-00361,2025-04-08,6,Calidad del producto
R-00160,CLI-00361,2025-04-09,9,
R-00161,CLI-00199,2025-04-10,8,
R-00162,CLI-00155,2025-04-12,9,
R-00163,CLI-00193,2025-04-12,10,
R-00164,CLI-00323,2025-04-12,10,
R-00165,CLI-00129,2025-04-13,8,
R-00166,CLI-00413,2025-04-13,8,
R-00167,CLI-00072,2025-04-14,3,Calidad del producto
R-00168,CLI-00206,2025-04-15,8,
R-00169,CLI-00290,2025-04-15,9,
R-00170,CLI-00427,2025-04-15,4,Calidad del producto
R-00171,CLI-00129,2025-04-16,7,
R-00172,CLI-00208,2025-04-16,9,
R-00173,CLI-00224,2025-04-16,8,
R-00174,CLI-00293,2025-04-16,4,Calidad del producto
R-00175,CLI-00445,2025-04-16,7,
R-00176,CLI-00006,2025-04-17,9,
R-00177,CLI-00061,2025-04-17,8,
R-00178,CLI-00104,2025-04-17,8,
R-00179,CLI-00136,2025-04-17,10,
R-00180,CLI-00144,2025-04-17,7,
R-00181,CLI-00402,2025-04-17,7,
R-00182,CLI-00207,2025-04-18,7,
R-00183,CLI-00087,2025-04-19,9,
R-00184,CLI-00346,2025-04-19,9,
R-00185,CLI-00380,2025-04-19,9,
R-00186,CLI-00407,2025-04-19,10,
R-00187,CLI-00503,2025-04-19,9,
R-00188,CLI-00158,2025-04-20,6,Soporte lento
R-00189,CLI-00461,2025-04-20,9,
R-00190,CLI-00159,2025-04-22,9,
R-00191,CLI-00222,2025-04-22,9,
R-00192,CLI-00322,2025-04-22,9,
R-00193,CLI-00160,2025-04-24,2,Precio
R-00194,CLI-00317,2025-04-26,10,
R-00195,CLI-00478,2025-04-26,10,
R-00196,CLI-00486,2025-04-26,10,
R-00197,CLI-00395,2025-04-27,5,Calidad del producto
R-00198,CLI-00459,2025-04-27,6,Soporte lento
R-00199,CLI-00039,2025-04-28,10,
R-00200,CLI-00089,2025-05-01,8,
R-00201,CLI-00353,2025-05-01,10,
R-00202,CLI-00341,2025-05-02,7,
R-00203,CLI-00043,2025-05-03,9,
R-00204,CLI-00006,2025-05-04,10,
R-00205,CLI-00307,2025-05-06,9,
R-00206,CLI-00334,2025-05-06,10,
R-00207,CLI-00228,2025-05-07,9,
R-00208,CLI-00245,2025-05-07,9,
R-00209,CLI-00429,2025-05-07,10,
R-00210,CLI-00358,2025-05-09,7,
R-00211,CLI-00110,2025-05-10,7,
R-00212,CLI-00275,2025-05-10,6,Soporte lento
R-00213,CLI-00284,2025-05-10,5,Soporte lento
R-00214,CLI-00288,2025-05-10,9,
R-00215,CLI-00235,2025-05-12,6,Calidad del producto
R-00216,CLI-00337,2025-05-12,9,
R-00217,CLI-00028,2025-05-13,8,
R-00218,CLI-00082,2025-05-13,7,
R-00219,CLI-00124,2025-05-13,9,
R-00220,CLI-00438,2025-05-13,7,
R-00221,CLI-00318,2025-05-14,7,
R-00222,CLI-00397,2025-05-14,7,
R-00223,CLI-00078,2025-05-16,8,
R-00224,CLI-00194,2025-05-17,9,
R-00225,CLI-00241,2025-05-18,9,
R-00226,CLI-00393,2025-05-18,6,Soporte lento
R-00227,CLI-00483,2025-05-18,6,Soporte lento
R-00228,CLI-00222,2025-05-20,5,Soporte lento
R-00229,CLI-00478,2025-05-20,3,Calidad del producto
R-00230,CLI-00138,2025-05-21,10,
R-00231,CLI-00224,2025-05-22,10,
R-00232,CLI-00377,2025-05-23,9,
R-00233,CLI-00489,2025-05-23,7,
R-00234,CLI-00250,2025-05-25,10,
R-00235,CLI-00193,2025-05-26,8,
R-00236,CLI-00306,2025-05-26,10,
R-00237,CLI-00470,2025-05-26,5,Calidad del producto
R-00238,CLI-00013,2025-05-27,9,
R-00239,CLI-00273,2025-05-28,9,
R-00240,CLI-00093,2025-06-01,9,
R-00241,CLI-00278,2025-06-01,9,
R-00242,CLI-00201,2025-06-03,7,
R-00243,CLI-00419,2025-06-03,6,Tiempos de entrega
R-00244,CLI-00299,2025-06-04,8,
R-00245,CLI-00107,2025-06-05,10,
R-00246,CLI-00245,2025-06-05,8,
R-00247,CLI-00387,2025-06-05,8,
R-00248,CLI-00460,2025-06-05,8,
R-00249,CLI-00117,2025-06-06,10,
R-00250,CLI-00318,2025-06-07,8,
R-00251,CLI-00339,2025-06-07,7,
R-00252,CLI-00112,2025-06-08,9,
R-00253,CLI-00213,2025-06-08,7,
R-00254,CLI-00108,2025-06-09,10,
R-00255,CLI-00201,2025-06-09,7,
R-00256,CLI-00394,2025-06-09,6,Calidad del producto
R-00257,CLI-00502,2025-06-09,5,Precio
R-00258,CLI-00052,2025-06-10,10,
R-00259,CLI-00115,2025-06-10,9,
R-00260,CLI-00125,2025-06-10,9,
R-00261,CLI-00139,2025-06-10,10,
R-00262,CLI-00279,2025-06-10,6,Tiempos de entrega
R-00263,CLI-00338,2025-06-10,6,Calidad del producto
R-00264,CLI-00381,2025-06-10,7,
R-00265,CLI-00413,2025-06-10,8,
R-00266,CLI-00436,2025-06-10,10,
R-00267,CLI-00191,2025-06-11,10,
R-00268,CLI-00479,2025-06-11,6,Calidad del producto
R-00269,CLI-00024,2025-06-12,7,
R-00270,CLI-00166,2025-06-12,9,
R-00271,CLI-00167,2025-06-12,5,Tiempos de entrega
R-00272,CLI-00033,2025-06-14,6,Facturación
R-00273,CLI-00084,2025-06-14,9,
R-00274,CLI-00357,2025-06-14,7,
R-00275,CLI-00412,2025-06-14,9,
R-00276,CLI-00469,2025-06-14,2,Tiempos de entrega
R-00277,CLI-00026,2025-06-15,8,
R-00278,CLI-00048,2025-06-15,9,
R-00279,CLI-00500,2025-06-16,8,
R-00280,CLI-00483,2025-06-19,3,Soporte lento
R-00281,CLI-00029,2025-06-21,9,
R-00282,CLI-00250,2025-06-21,10,
R-00283,CLI-00290,2025-06-21,9,
R-00284,CLI-00327,2025-06-21,9,
R-00285,CLI-00474,2025-06-21,9,
R-00286,CLI-00087,2025-06-22,6,Calidad del producto
R-00287,CLI-00164,2025-06-22,9,
R-00288,CLI-00261,2025-06-22,8,
R-00289,CLI-00223,2025-06-23,7,
R-00290,CLI-00187,2025-06-24,2,Facturación
R-00291,CLI-00320,2025-06-25,7,
R-00292,CLI-00329,2025-06-25,7,
R-00293,CLI-00434,2025-06-25,9,
R-00294,CLI-00259,2025-06-26,9,
R-00295,CLI-00308,2025-06-26,10,
R-00296,CLI-00312,2025-06-26,7,
R-00297,CLI-00332,2025-06-26,7,
R-00298,CLI-00439,2025-06-26,10,
R-00299,CLI-00168,2025-06-28,6,Calidad del producto
R-00300,CLI-00490,2025-07-02,10,
R-00301,CLI-00075,2025-07-03,10,
R-00302,CLI-00106,2025-07-03,7,
R-00303,CLI-00219,2025-07-03,9,
R-00304,CLI-00114,2025-07-04,7,
R-00305,CLI-00267,2025-07-04,7,
R-00306,CLI-00294,2025-07-06,9,
R-00307,CLI-00041,2025-07-07,9,
R-00308,CLI-00052,2025-07-07,10,
R-00309,CLI-00293,2025-07-07,10,
R-00310,CLI-00036,2025-07-08,9,
R-00311,CLI-00196,2025-07-08,10,
R-00312,CLI-00321,2025-07-08,9,
R-00313,CLI-00415,2025-07-08,6,Soporte lento
R-00314,CLI-00503,2025-07-08,9,
R-00315,CLI-00391,2025-07-10,6,Facturación
R-00316,CLI-00445,2025-07-10,8,
R-00317,CLI-00295,2025-07-11,7,
R-00318,CLI-00339,2025-07-11,10,
R-00319,CLI-00375,2025-07-13,10,
R-00320,CLI-00504,2025-07-13,8,
R-00321,CLI-00273,2025-07-14,9,
R-00322,CLI-00311,2025-07-14,6,Facturación
R-00323,CLI-00387,2025-07-14,10,
R-00324,CLI-00332,2025-07-15,8,
R-00325,CLI-00034,2025-07-16,7,
R-00326,CLI-00063,2025-07-16,8,
R-00327,CLI-00269,2025-07-16,8,
R-00328,CLI-00228,2025-07-17,6,Facturación
R-00329,CLI-00118,2025-07-18,10,
R-00330,CLI-00456,2025-07-18,10,
R-00331,CLI-00472,2025-07-18,7,
R-00332,CLI-00501,2025-07-18,10,
R-00333,CLI-00018,2025-07-20,8,
R-00334,CLI-00138,2025-07-21,10,
R-00335,CLI-00207,2025-07-22,9,
R-00336,CLI-00210,2025-07-23,7,
R-00337,CLI-00255,2025-07-23,7,
R-00338,CLI-00138,2025-07-24,7,
R-00339,CLI-00158,2025-07-24,10,
R-00340,CLI-00235,2025-07-24,9,
R-00341,CLI-00450,2025-07-24,9,
R-00342,CLI-00098,2025-07-25,9,
R-00343,CLI-00189,2025-07-26,7,
R-00344,CLI-00073,2025-07-27,5,Precio
R-00345,CLI-00118,2025-07-27,7,
R-00346,CLI-00337,2025-07-27,10,
R-00347,CLI-00346,2025-07-27,8,
R-00348,CLI-00042,2025-07-28,6,Calidad del producto
R-00349,CLI-00121,2025-07-28,6,Soporte lento
R-00350,CLI-00191,2025-07-28,10,
R-00351,CLI-00385,2025-07-28,8,
R-00352,CLI-00476,2025-07-28,7,
R-00353,CLI-00106,2025-08-01,9,
R-00354,CLI-00300,2025-08-01,8,
R-00355,CLI-00334,2025-08-01,6,Facturación
R-00356,CLI-00173,2025-08-03,7,
R-00357,CLI-00261,2025-08-03,9,
R-00358,CLI-00349,2025-08-03,4,Calidad del producto
R-00359,CLI-00416,2025-08-03,10,
R-00360,CLI-00483,2025-08-03,5,Facturación
R-00361,CLI-00489,2025-08-03,6,Soporte lento
R-00362,CLI-00506,2025-08-03,6,Facturación
R-00363,CLI-00127,2025-08-04,10,
R-00364,CLI-00184,2025-08-04,7,
R-00365,CLI-00441,2025-08-04,6,Calidad del producto
R-00366,CLI-00006,2025-08-05,10,
R-00367,CLI-00306,2025-08-05,10,
R-00368,CLI-00309,2025-08-05,5,Calidad del producto
R-00369,CLI-00418,2025-08-05,5,Facturación
R-00370,CLI-00432,2025-08-05,9,
R-00371,CLI-00505,2025-08-05,10,
R-00372,CLI-00508,2025-08-05,8,
R-00373,CLI-00048,2025-08-06,9,
R-00374,CLI-00178,2025-08-06,9,
R-00375,CLI-00344,2025-08-07,6,Tiempos de entrega
R-00376,CLI-00063,2025-08-08,9,
R-00377,CLI-00176,2025-08-08,10,
R-00378,CLI-00371,2025-08-08,0,Facturación
R-00379,CLI-00282,2025-08-09,3,Soporte lento
R-00380,CLI-00207,2025-08-10,10,
R-00381,CLI-00267,2025-08-10,9,
R-00382,CLI-00412,2025-08-10,10,
R-00383,CLI-00468,2025-08-10,8,
R-00384,CLI-00323,2025-08-11,10,
R-00385,CLI-00378,2025-08-12,4,Precio
R-00386,CLI-00459,2025-08-14,9,
R-00387,CLI-00308,2025-08-15,5,Calidad del producto
R-00388,CLI-00211,2025-08-17,9,
R-00389,CLI-00180,2025-08-19,10,
R-00390,CLI-00205,2025-08-19,9,
R-00391,CLI-00349,2025-08-19,8,
R-00392,CLI-00137,2025-08-20,5,Precio
R-00393,CLI-00394,2025-08-21,10,
R-00394,CLI-00409,2025-08-21,10,
R-00395,CLI-00216,2025-08-22,9,
R-00396,CLI-00258,2025-08-22,10,
R-00397,CLI-00442,2025-08-22,10,
R-00398,CLI-00484,2025-08-22,6,Precio
R-00399,CLI-00264,2025-08-23,10,
R-00400,CLI-00488,2025-08-23,10,
R-00401,CLI-00473,2025-08-24,5,Facturación
R-00402,CLI-00221,2025-08-25,9,
R-00403,CLI-00163,2025-08-26,7,
R-00404,CLI-00038,2025-08-27,10,
R-00405,CLI-00051,2025-08-27,10,
R-00406,CLI-00113,2025-08-27,7,
R-00407,CLI-00279,2025-08-27,9,
R-00408,CLI-00434,2025-08-27,8,
R-00409,CLI-00206,2025-08-28,10,
R-00410,CLI-00139,2025-09-01,9,
R-00411,CLI-00242,2025-09-01,4,Soporte lento
R-00412,CLI-00499,2025-09-01,8,
R-00413,CLI-00120,2025-09-02,7,
R-00414,CLI-00227,2025-09-02,9,
R-00415,CLI-00321,2025-09-02,6,Calidad del producto
R-00416,CLI-00372,2025-09-02,6,Calidad del producto
R-00417,CLI-00476,2025-09-02,3,Calidad del producto
R-00418,CLI-00349,2025-09-03,9,
R-00419,CLI-00358,2025-09-03,7,
R-00420,CLI-00306,2025-09-04,7,
R-00421,CLI-00421,2025-09-04,10,
R-00422,CLI-00475,2025-09-04,5,Soporte lento
R-00423,CLI-00327,2025-09-05,9,
R-00424,CLI-00402,2025-09-05,10,
R-00425,CLI-00453,2025-09-05,9,
R-00426,CLI-00046,2025-09-06,6,Calidad del producto
R-00427,CLI-00115,2025-09-06,8,
R-00428,CLI-00089,2025-09-07,9,
R-00429,CLI-00344,2025-09-07,10,
R-00430,CLI-00430,2025-09-08,9,
R-00431,CLI-00002,2025-09-09,9,
R-00432,CLI-00269,2025-09-09,9,
R-00433,CLI-00485,2025-09-09,10,
R-00434,CLI-00235,2025-09-10,3,Calidad del producto
R-00435,CLI-00503,2025-09-10,9,
R-00436,CLI-00003,2025-09-11,10,
R-00437,CLI-00102,2025-09-11,7,
R-00438,CLI-00092,2025-09-12,0,Facturación
R-00439,CLI-00356,2025-09-12,6,Tiempos de entrega
R-00440,CLI-00138,2025-09-13,10,
R-00441,CLI-00220,2025-09-13,6,Calidad del producto
R-00442,CLI-00282,2025-09-13,8,
R-00443,CLI-00392,2025-09-13,5,Precio
R-00444,CLI-00399,2025-09-15,10,
R-00445,CLI-00148,2025-09-16,4,Calidad del producto
R-00446,CLI-00020,2025-09-17,7,
R-00447,CLI-00151,2025-09-17,4,Precio
R-00448,CLI-00156,2025-09-17,9,
R-00449,CLI-00178,2025-09-17,9,
R-00450,CLI-00341,2025-09-17,10,
R-00451,CLI-00408,2025-09-18,8,
R-00452,CLI-00474,2025-09-18,8,
R-00453,CLI-00006,2025-09-19,9,
R-00454,CLI-00334,2025-09-19,2,Facturación
R-00455,CLI-00401,2025-09-20,8,
R-00456,CLI-00022,2025-09-21,5,Tiempos de entrega
R-00457,CLI-00131,2025-09-21,7,
R-00458,CLI-00451,2025-09-21,7,
R-00459,CLI-00158,2025-09-22,10,
R-00460,CLI-00495,2025-09-22,10,
R-00461,CLI-00012,2025-09-23,10,
R-00462,CLI-00313,2025-09-23,7,
R-00463,CLI-00247,2025-09-24,6,Precio
R-00464,CLI-00012,2025-09-25,8,
R-00465,CLI-00044,2025-09-25,4,Soporte lento
R-00466,CLI-00386,2025-09-26,9,
R-00467,CLI-00456,2025-09-26,9,
R-00468,CLI-00395,2025-09-28,10,
R-00469,CLI-00229,2025-10-01,5,Facturación
R-00470,CLI-00183,2025-10-02,6,Soporte lento
R-00471,CLI-00078,2025-10-03,8,
R-00472,CLI-00137,2025-10-03,9,
R-00473,CLI-00431,2025-10-03,9,
R-00474,CLI-00482,2025-10-03,9,
R-00475,CLI-00183,2025-10-05,10,
R-00476,CLI-00325,2025-10-06,8,
R-00477,CLI-00475,2025-10-06,9,
R-00478,CLI-00028,2025-10-07,7,
R-00479,CLI-00059,2025-10-07,8,
R-00480,CLI-00179,2025-10-07,9,
R-00481,CLI-00180,2025-10-07,10,
R-00482,CLI-00125,2025-10-08,6,Precio
R-00483,CLI-00364,2025-10-08,10,
R-00484,CLI-00461,2025-10-09,5,Facturación
R-00485,CLI-00057,2025-10-10,7,
R-00486,CLI-00253,2025-10-10,7,
R-00487,CLI-00031,2025-10-13,10,
R-00488,CLI-00118,2025-10-14,10,
R-00489,CLI-00373,2025-10-14,9,
R-00490,CLI-00167,2025-10-15,9,
R-00491,CLI-00360,2025-10-15,9,
R-00492,CLI-00465,2025-10-16,5,Soporte lento
R-00493,CLI-00433,2025-10-17,9,
R-00494,CLI-00449,2025-10-19,6,Tiempos de entrega
R-00495,CLI-00268,2025-10-20,2,Facturación
R-00496,CLI-00012,2025-10-21,9,
R-00497,CLI-00391,2025-10-21,6,Soporte lento
R-00498,CLI-00448,2025-10-21,9,
R-00499,CLI-00453,2025-10-21,7,
R-00500,CLI-00468,2025-10-22,9,
R-00501,CLI-00102,2025-10-23,9,
R-00502,CLI-00443,2025-10-23,7,
R-00503,CLI-00009,2025-10-24,6,Soporte lento
R-00504,CLI-00369,2025-10-24,9,
R-00505,CLI-00038,2025-10-25,10,
R-00506,CLI-00217,2025-10-26,8,
R-00507,CLI-00392,2025-10-26,6,Calidad del producto
R-00508,CLI-00426,2025-10-26,7,
R-00509,CLI-00024,2025-10-27,8,
R-00510,CLI-00103,2025-10-28,9,
R-00511,CLI-00167,2025-10-28,3,Soporte lento
R-00512,CLI-00239,2025-10-28,10,
R-00513,CLI-00073,2025-11-01,8,
R-00514,CLI-00065,2025-11-02,5,Soporte lento
R-00515,CLI-00253,2025-11-02,8,
R-00516,CLI-00315,2025-11-02,9,
R-00517,CLI-00123,2025-11-03,8,
R-00518,CLI-00211,2025-11-03,6,Calidad del producto
R-00519,CLI-00348,2025-11-03,10,
R-00520,CLI-00370,2025-11-03,2,Facturación
R-00521,CLI-00483,2025-11-03,8,
R-00522,CLI-00012,2025-11-04,10,
R-00523,CLI-00162,2025-11-04,2,Precio
R-00524,CLI-00334,2025-11-05,10,
R-00525,CLI-00418,2025-11-05,7,
R-00526,CLI-00099,2025-11-06,9,
R-00527,CLI-00213,2025-11-06,6,Soporte lento
R-00528,CLI-00368,2025-11-07,8,
R-00529,CLI-00352,2025-11-08,6,Tiempos de entrega
R-00530,CLI-00449,2025-11-08,5,Calidad del producto
R-00531,CLI-00461,2025-11-08,7,
R-00532,CLI-00071,2025-11-09,10,
R-00533,CLI-00090,2025-11-10,4,Soporte lento
R-00534,CLI-00147,2025-11-10,6,Soporte lento
R-00535,CLI-00307,2025-11-10,5,Soporte lento
R-00536,CLI-00054,2025-11-11,10,
R-00537,CLI-00169,2025-11-11,6,Calidad del producto
R-00538,CLI-00057,2025-11-12,8,
R-00539,CLI-00335,2025-11-12,10,
R-00540,CLI-00295,2025-11-14,10,
R-00541,CLI-00494,2025-11-14,9,
R-00542,CLI-00507,2025-11-14,9,
R-00543,CLI-00303,2025-11-15,9,
R-00544,CLI-00479,2025-11-15,9,
R-00545,CLI-00172,2025-11-17,10,
R-00546,CLI-00455,2025-11-17,9,
R-00547,CLI-00473,2025-11-17,10,
R-00548,CLI-00094,2025-11-18,10,
R-00549,CLI-00249,2025-11-18,5,Facturación
R-00550,CLI-00001,2025-11-19,9,
R-00551,CLI-00118,2025-11-19,10,
R-00552,CLI-00187,2025-11-19,9,
R-00553,CLI-00037,2025-11-20,8,
R-00554,CLI-00501,2025-11-20,10,
R-00555,CLI-00278,2025-11-21,9,
R-00556,CLI-00359,2025-11-21,7,
R-00557,CLI-00297,2025-11-22,10,
R-00558,CLI-00411,2025-11-22,7,
R-00559,CLI-00188,2025-11-23,9,
R-00560,CLI-00327,2025-11-23,9,
R-00561,CLI-00089,2025-11-24,10,
R-00562,CLI-00163,2025-11-24,9,
R-00563,CLI-00323,2025-11-24,8,
R-00564,CLI-00233,2025-11-25,3,Calidad del producto
R-00565,CLI-00368,2025-11-25,0,Precio
R-00566,CLI-00119,2025-11-26,10,
R-00567,CLI-00308,2025-11-27,7,
R-00568,CLI-00434,2025-12-01,9,
R-00569,CLI-00486,2025-12-01,10,
R-00570,CLI-00054,2025-12-02,9,
R-00571,CLI-00304,2025-12-02,9,
R-00572,CLI-00358,2025-12-02,9,
R-00573,CLI-00022,2025-12-03,5,Tiempos de entrega
R-00574,CLI-00091,2025-12-03,9,
R-00575,CLI-00121,2025-12-03,10,
R-00576,CLI-00268,2025-12-03,6,Precio
R-00577,CLI-00371,2025-12-04,9,
R-00578,CLI-00415,2025-12-05,9,
R-00579,CLI-00284,2025-12-06,6,Soporte lento
R-00580,CLI-00143,2025-12-07,10,
R-00581,CLI-00160,2025-12-07,8,
R-00582,CLI-00249,2025-12-07,6,Precio
R-00583,CLI-00367,2025-12-07,9,
R-00584,CLI-00510,2025-12-07,6,Calidad del producto
R-00585,CLI-00368,2025-12-08,7,
R-00586,CLI-00188,2025-12-09,9,
R-00587,CLI-00292,2025-12-09,10,
R-00588,CLI-00376,2025-12-09,7,
R-00589,CLI-00394,2025-12-09,10,
R-00590,CLI-00302,2025-12-11,9,
R-00591,CLI-00056,2025-12-12,9,
R-00592,CLI-00121,2025-12-12,10,
R-00593,CLI-00137,2025-12-12,7,
R-00594,CLI-00270,2025-12-12,10,
R-00595,CLI-00406,2025-12-12,9,
R-00596,CLI-00025,2025-12-13,9,
R-00597,CLI-00119,2025-12-13,9,
R-00598,CLI-00495,2025-12-13,10,
R-00599,CLI-00072,2025-12-14,7,
R-00600,CLI-00259,2025-12-15,10,
