Fecha,Sucursal,Monto
13/06/2026,CDMX,607.36
13/06/2026,CDMX,496.51
13/06/2026,CDMX,729.15
14/06/2026,CDMX,577.68
14/06/2026,CDMX,2767.9
14/06/2026,CDMX,200.0
14/06/2026,CDMX,429.74
14/06/2026,CDMX,2312.26
14/06/2026,CDMX,737.81
15/06/2026,CDMX,582.25
15/06/2026,CDMX,1403.35
16/06/2026,CDMX,337.05
16/06/2026,CDMX,340.54
16/06/2026,CDMX,415.92
16/06/2026,CDMX,1249.26
16/06/2026,CDMX,560.19
16/06/2026,CDMX,781.37
16/06/2026,CDMX,323.93
16/06/2026,CDMX,1011.57
16/06/2026,CDMX,2047.57
17/06/2026,CDMX,848.25
17/06/2026,CDMX,687.42
17/06/2026,CDMX,1649.57
17/06/2026,CDMX,200.0
17/06/2026,CDMX,484.87
17/06/2026,CDMX,1028.87
17/06/2026,CDMX,482.44
18/06/2026,CDMX,557.07
18/06/2026,CDMX,200.0
18/06/2026,CDMX,1095.66
18/06/2026,CDMX,1217.29
18/06/2026,CDMX,742.71
18/06/2026,CDMX,457.6
18/06/2026,CDMX,1128.7
18/06/2026,CDMX,906.11
19/06/2026,CDMX,758.31
19/06/2026,CDMX,321.37
19/06/2026,CDMX,649.41
19/06/2026,CDMX,1212.58
19/06/2026,CDMX,716.32
19/06/2026,CDMX,234.77
19/06/2026,CDMX,1067.72
20/06/2026,CDMX,2850.03
20/06/2026,CDMX,1571.4
20/06/2026,CDMX,207.37
21/06/2026,CDMX,1351.42
21/06/2026,CDMX,566.81
21/06/2026,CDMX,841.37
21/06/2026,CDMX,1354.77
21/06/2026,CDMX,200.0
21/06/2026,CDMX,1413.86
21/06/2026,CDMX,1211.49
21/06/2026,CDMX,750.18
21/06/2026,CDMX,682.42
22/06/2026,CDMX,1233.48
22/06/2026,CDMX,1664.9
22/06/2026,CDMX,1047.01
22/06/2026,CDMX,4299.85
22/06/2026,CDMX,419.09
22/06/2026,CDMX,1121.99
23/06/2026,CDMX,596.52
23/06/2026,CDMX,850.1
23/06/2026,CDMX,1530.85
23/06/2026,CDMX,1129.44
24/06/2026,CDMX,720.97
24/06/2026,CDMX,965.16
24/06/2026,CDMX,751.73
24/06/2026,CDMX,1355.91
24/06/2026,CDMX,1525.14
25/06/2026,CDMX,978.06
25/06/2026,CDMX,975.18
25/06/2026,CDMX,753.36
25/06/2026,CDMX,2350.07
25/06/2026,CDMX,1157.85
25/06/2026,CDMX,880.83
25/06/2026,CDMX,757.61
25/06/2026,CDMX,751.08
26/06/2026,CDMX,2288.62
26/06/2026,CDMX,200.0
26/06/2026,CDMX,825.46
27/06/2026,CDMX,1750.01
27/06/2026,CDMX,1238.24
28/06/2026,CDMX,1956.94
28/06/2026,CDMX,734.99
29/06/2026,CDMX,1212.97
29/06/2026,CDMX,1443.54
29/06/2026,CDMX,1370.5
29/06/2026,CDMX,267.03
29/06/2026,CDMX,1332.65
29/06/2026,CDMX,540.11
29/06/2026,CDMX,844.42
30/06/2026,CDMX,792.79
30/06/2026,CDMX,970.58
30/06/2026,CDMX,562.94
30/06/2026,CDMX,788.66
30/06/2026,CDMX,1214.32
30/06/2026,CDMX,1087.54
01/07/2026,CDMX,1303.54
01/07/2026,CDMX,896.88
01/07/2026,CDMX,1613.42
01/07/2026,CDMX,1745.96
01/07/2026,CDMX,1720.78
01/07/2026,CDMX,850.35
02/07/2026,CDMX,433.27
02/07/2026,CDMX,1231.71
02/07/2026,CDMX,788.18
02/07/2026,CDMX,1236.99
02/07/2026,CDMX,550.7
03/07/2026,CDMX,1121.6
04/07/2026,CDMX,294.75
04/07/2026,CDMX,248.22
04/07/2026,CDMX,1778.96
04/07/2026,CDMX,897.3
04/07/2026,CDMX,595.07
05/07/2026,CDMX,257.42
05/07/2026,CDMX,536.56
05/07/2026,CDMX,1751.33
05/07/2026,CDMX,829.14
05/07/2026,CDMX,312.74
05/07/2026,CDMX,1098.76
06/07/2026,CDMX,1181.77
06/07/2026,CDMX,352.53
06/07/2026,CDMX,200.0
06/07/2026,CDMX,682.35
06/07/2026,CDMX,634.31
06/07/2026,CDMX,947.74
07/07/2026,CDMX,790.87
07/07/2026,CDMX,1960.58
07/07/2026,CDMX,1329.14
07/07/2026,CDMX,1240.79
07/07/2026,CDMX,803.01
07/07/2026,CDMX,553.02
08/07/2026,CDMX,2545.56
08/07/2026,CDMX,1400.32
08/07/2026,CDMX,356.98
08/07/2026,CDMX,966.6
08/07/2026,CDMX,546.08
09/07/2026,CDMX,1521.28
09/07/2026,CDMX,709.37
09/07/2026,CDMX,1640.56
09/07/2026,CDMX,553.25
09/07/2026,CDMX,1159.31
10/07/2026,CDMX,2277.9
10/07/2026,CDMX,871.24
10/07/2026,CDMX,559.16
11/07/2026,CDMX,1770.94
11/07/2026,CDMX,1025.92
11/07/2026,CDMX,833.84
11/07/2026,CDMX,350.47
11/07/2026,CDMX,384.65
11/07/2026,CDMX,400.83
12/07/2026,CDMX,939.87
12/07/2026,CDMX,1175.76
12/07/2026,CDMX,1242.84
12/07/2026,CDMX,200.0
12/07/2026,CDMX,1808.73
13/07/2026,CDMX,405.49
13/07/2026,CDMX,269.6
13/07/2026,CDMX,646.33
13/07/2026,CDMX,407.32
13/07/2026,CDMX,3554.91
13/07/2026,CDMX,868.82
13/07/2026,CDMX,914.28
14/07/2026,CDMX,916.07
14/07/2026,CDMX,2520.03
14/07/2026,CDMX,702.67
14/07/2026,CDMX,1045.31
15/07/2026,CDMX,272.89
15/07/2026,CDMX,721.04
15/07/2026,CDMX,1458.29
15/07/2026,CDMX,455.6
16/07/2026,CDMX,392.37
16/07/2026,CDMX,1429.8
16/07/2026,CDMX,582.52
16/07/2026,CDMX,509.25
16/07/2026,CDMX,481.74
17/07/2026,CDMX,397.59
17/07/2026,CDMX,720.93
18/07/2026,CDMX,504.38
18/07/2026,CDMX,285.44
18/07/2026,CDMX,206.36
18/07/2026,CDMX,529.8
18/07/2026,CDMX,681.45
19/07/2026,CDMX,1202.81
19/07/2026,CDMX,1417.63
19/07/2026,CDMX,443.81
19/07/2026,CDMX,541.09
19/07/2026,CDMX,1510.38
19/07/2026,CDMX,348.45
20/07/2026,CDMX,818.33
20/07/2026,CDMX,894.47
20/07/2026,CDMX,982.06
20/07/2026,CDMX,816.22
20/07/2026,CDMX,891.35
20/07/2026,CDMX,421.0
20/07/2026,CDMX,1260.78
20/07/2026,CDMX,414.24
20/07/2026,CDMX,506.36
20/07/2026,CDMX,615.2
20/07/2026,CDMX,469.88
21/07/2026,CDMX,200.0
21/07/2026,CDMX,1854.52
21/07/2026,CDMX,240.97
21/07/2026,CDMX,646.45
21/07/2026,CDMX,723.75
21/07/2026,CDMX,1862.27
21/07/2026,CDMX,2289.87
22/07/2026,CDMX,847.91
22/07/2026,CDMX,200.0
22/07/2026,CDMX,200.0
22/07/2026,CDMX,2098.82
22/07/2026,CDMX,405.39
22/07/2026,CDMX,1409.86
22/07/2026,CDMX,890.79
23/07/2026,CDMX,623.53
23/07/2026,CDMX,1105.25
23/07/2026,CDMX,1262.17
24/07/2026,CDMX,471.34
24/07/2026,CDMX,830.64
24/07/2026,CDMX,385.48
24/07/2026,CDMX,529.63
24/07/2026,CDMX,1343.8
25/07/2026,CDMX,325.23
25/07/2026,CDMX,1035.87
25/07/2026,CDMX,1030.46
25/07/2026,CDMX,1195.6
26/07/2026,CDMX,1080.27
26/07/2026,CDMX,775.84
26/07/2026,CDMX,1120.06
26/07/2026,CDMX,697.81
26/07/2026,CDMX,396.7
26/07/2026,CDMX,1058.55
27/07/2026,CDMX,816.23
27/07/2026,CDMX,1349.76
27/07/2026,CDMX,996.43
27/07/2026,CDMX,1349.44
27/07/2026,CDMX,584.36
27/07/2026,CDMX,2020.08
28/07/2026,CDMX,375.13
28/07/2026,CDMX,389.49
28/07/2026,CDMX,1396.77
29/07/2026,CDMX,643.79
29/07/2026,CDMX,266.15
29/07/2026,CDMX,228.64
29/07/2026,CDMX,979.06
29/07/2026,CDMX,2543.47
30/07/2026,CDMX,1107.62
30/07/2026,CDMX,330.31
30/07/2026,CDMX,1057.39
30/07/2026,CDMX,807.34
30/07/2026,CDMX,853.83
31/07/2026,CDMX,620.94
31/07/2026,CDMX,2083.79
31/07/2026,CDMX,2138.8
31/07/2026,CDMX,792.32
31/07/2026,CDMX,946.44
31/07/2026,CDMX,477.99
01/08/2026,CDMX,1050.14
01/08/2026,CDMX,1683.23
01/08/2026,CDMX,811.05
01/08/2026,CDMX,3666.04
01/08/2026,CDMX,922.59
02/08/2026,CDMX,989.07
02/08/2026,CDMX,200.0
02/08/2026,CDMX,824.48
02/08/2026,CDMX,1534.67
02/08/2026,CDMX,669.53
02/08/2026,CDMX,421.95
03/08/2026,CDMX,1089.81
03/08/2026,CDMX,200.0
03/08/2026,CDMX,4003.55
03/08/2026,CDMX,550.61
03/08/2026,CDMX,709.72
04/08/2026,CDMX,590.81
04/08/2026,CDMX,883.77
04/08/2026,CDMX,2542.95
04/08/2026,CDMX,504.59
04/08/2026,CDMX,2147.77
04/08/2026,CDMX,552.92
04/08/2026,CDMX,1087.44
04/08/2026,CDMX,783.04
04/08/2026,CDMX,1077.37
05/08/2026,CDMX,770.45
05/08/2026,CDMX,207.54
05/08/2026,CDMX,200.0
05/08/2026,CDMX,1430.37
05/08/2026,CDMX,308.69
05/08/2026,CDMX,485.73
05/08/2026,CDMX,959.84
05/08/2026,CDMX,748.55
06/08/2026,CDMX,324.04
06/08/2026,CDMX,2820.66
06/08/2026,CDMX,204.74
07/08/2026,CDMX,448.6
07/08/2026,CDMX,908.0
07/08/2026,CDMX,2212.25
07/08/2026,CDMX,1415.24
08/08/2026,CDMX,1120.51
08/08/2026,CDMX,735.06
08/08/2026,CDMX,1177.01
08/08/2026,CDMX,1501.06
08/08/2026,CDMX,200.0
09/08/2026,CDMX,1258.14
09/08/2026,CDMX,1522.76
09/08/2026,CDMX,444.95
09/08/2026,CDMX,283.23
09/08/2026,CDMX,749.39
09/08/2026,CDMX,885.6
09/08/2026,CDMX,807.79
09/08/2026,CDMX,395.84
10/08/2026,CDMX,856.52
10/08/2026,CDMX,722.7
10/08/2026,CDMX,1334.36
10/08/2026,CDMX,719.53
11/08/2026,CDMX,774.78
11/08/2026,CDMX,756.83
11/08/2026,CDMX,3061.63
11/08/2026,CDMX,572.65
11/08/2026,CDMX,747.62
11/08/2026,CDMX,430.22
11/08/2026,CDMX,200.0
11/08/2026,CDMX,889.37
12/08/2026,CDMX,868.42
12/08/2026,CDMX,200.0
12/08/2026,CDMX,1224.87
13/08/2026,CDMX,1085.77
13/08/2026,CDMX,1724.71
13/08/2026,CDMX,240.15
13/08/2026,CDMX,433.69
13/08/2026,CDMX,1474.92
13/08/2026,CDMX,488.91
14/08/2026,CDMX,335.36
14/08/2026,CDMX,536.36
14/08/2026,CDMX,768.8
14/08/2026,CDMX,1599.55
14/08/2026,CDMX,1156.77
14/08/2026,CDMX,1234.62
14/08/2026,CDMX,1226.97
14/08/2026,CDMX,3165.22
15/08/2026,CDMX,519.33
15/08/2026,CDMX,278.5
15/08/2026,CDMX,202.08
15/08/2026,CDMX,1863.47
15/08/2026,CDMX,1381.24
15/08/2026,CDMX,1047.89
16/08/2026,CDMX,1250.44
16/08/2026,CDMX,1664.76
16/08/2026,CDMX,1077.01
16/08/2026,CDMX,3203.68
16/08/2026,CDMX,591.29
16/08/2026,CDMX,1497.45
16/08/2026,CDMX,447.78
17/08/2026,CDMX,363.35
17/08/2026,CDMX,424.57
17/08/2026,CDMX,1652.29
17/08/2026,CDMX,847.22
17/08/2026,CDMX,632.97
17/08/2026,CDMX,1023.53
18/08/2026,CDMX,1909.89
18/08/2026,CDMX,927.28
18/08/2026,CDMX,1364.55
18/08/2026,CDMX,1103.09
19/08/2026,CDMX,924.69
19/08/2026,CDMX,2647.7
19/08/2026,CDMX,2430.95
19/08/2026,CDMX,320.44
19/08/2026,CDMX,1154.92
19/08/2026,CDMX,540.69
19/08/2026,CDMX,1083.52
19/08/2026,CDMX,1352.26
20/08/2026,CDMX,677.91
20/08/2026,CDMX,522.07
20/08/2026,CDMX,2283.92
20/08/2026,CDMX,200.0
20/08/2026,CDMX,1387.08
20/08/2026,CDMX,1247.53
20/08/2026,CDMX,2262.48
20/08/2026,CDMX,973.85
21/08/2026,CDMX,413.53
21/08/2026,CDMX,2074.57
21/08/2026,CDMX,890.38
22/08/2026,CDMX,1222.77
22/08/2026,CDMX,896.52
22/08/2026,CDMX,279.22
22/08/2026,CDMX,1067.32
22/08/2026,CDMX,204.46
22/08/2026,CDMX,275.29
23/08/2026,CDMX,831.9
23/08/2026,CDMX,1974.25
23/08/2026,CDMX,360.16
23/08/2026,CDMX,735.03
23/08/2026,CDMX,356.11
23/08/2026,CDMX,1268.23
23/08/2026,CDMX,675.17
23/08/2026,CDMX,885.53
24/08/2026,CDMX,1133.2
24/08/2026,CDMX,912.01
24/08/2026,CDMX,768.05
25/08/2026,CDMX,313.78
25/08/2026,CDMX,1663.0
25/08/2026,CDMX,1117.17
25/08/2026,CDMX,2061.03
25/08/2026,CDMX,2644.84
25/08/2026,CDMX,1224.76
25/08/2026,CDMX,397.41
26/08/2026,CDMX,2686.66
26/08/2026,CDMX,411.26
26/08/2026,CDMX,990.65
26/08/2026,CDMX,490.88
27/08/2026,CDMX,1068.84
27/08/2026,CDMX,1717.92
27/08/2026,CDMX,1493.57
28/08/2026,CDMX,988.6
28/08/2026,CDMX,294.31
28/08/2026,CDMX,200.0
28/08/2026,CDMX,2996.53
28/08/2026,CDMX,781.89
28/08/2026,CDMX,1498.98
28/08/2026,CDMX,689.92
28/08/2026,CDMX,1222.27
29/08/2026,CDMX,200.0
29/08/2026,CDMX,929.15
29/08/2026,CDMX,636.64
29/08/2026,CDMX,1062.54
30/08/2026,CDMX,309.43
30/08/2026,CDMX,205.46
30/08/2026,CDMX,1514.76
30/08/2026,CDMX,732.72
30/08/2026,CDMX,814.21
30/08/2026,CDMX,2065.1
30/08/2026,CDMX,2821.27
31/08/2026,CDMX,498.28
31/08/2026,CDMX,1006.34
31/08/2026,CDMX,841.98
31/08/2026,CDMX,1239.9
31/08/2026,CDMX,1201.95
11/08/2026,CDMX,889.37
20/08/2026,CDMX,973.85
06/08/2026,CDMX,2820.66
20/08/2026,CDMX,677.91
07/08/2026,CDMX,448.6
11/08/2026,CDMX,747.62
10/06/2026,CDMX,248.82
09/08/2026,CDMX,1258.14
28/08/2026,CDMX,200.0
16/06/2026,CDMX,560.19
11/07/2026,CDMX,1770.94
19/06/2026,CDMX,321.37
03/08/2026,CDMX,550.61
06/06/2026,CDMX,818.39
19/08/2026,CDMX,1083.52
17/06/2026,CDMX,1028.87
12/07/2026,CDMX,1175.76
24/07/2026,CDMX,385.48
05/08/2026,CDMX,207.54
10/08/2026,CDMX,722.7
09/06/2026,CDMX,221.09
