Date,Store,Amount_MXN
06/26/2026,guadalajara,444.1
06/26/2026,GDL ,1379.91
06/26/2026,Guadalajara,634.3
06/27/2026,guadalajara,1755.99
06/28/2026,GDL ,1912.3
06/28/2026,Guadalajara,1651.85
06/29/2026,guadalajara,2002.26
06/29/2026,GDL ,748.57
06/30/2026,Guadalajara,560.69
06/30/2026,guadalajara,292.52
06/30/2026,GDL ,4642.37
06/30/2026,Guadalajara,1384.79
07/01/2026,guadalajara,2009.39
07/01/2026,GDL ,2403.8
07/01/2026,Guadalajara,544.84
07/01/2026,guadalajara,200.0
07/02/2026,GDL ,1933.76
07/02/2026,Guadalajara,998.7
07/03/2026,guadalajara,749.55
07/03/2026,GDL ,696.38
07/03/2026,Guadalajara,200.0
07/04/2026,guadalajara,421.64
07/05/2026,GDL ,798.67
07/05/2026,Guadalajara,624.92
07/05/2026,guadalajara,1972.15
07/05/2026,GDL ,921.84
07/05/2026,Guadalajara,1848.4
07/06/2026,guadalajara,2174.68
07/07/2026,GDL ,533.69
07/07/2026,Guadalajara,1079.8
07/07/2026,guadalajara,391.1
07/08/2026,GDL ,855.87
07/08/2026,Guadalajara,1922.3
07/10/2026,guadalajara,1428.8
07/11/2026,GDL ,604.35
07/11/2026,Guadalajara,778.94
07/11/2026,guadalajara,361.46
07/11/2026,GDL ,200.0
07/12/2026,Guadalajara,638.99
07/12/2026,guadalajara,572.63
07/12/2026,GDL ,677.4
07/12/2026,Guadalajara,2915.58
07/13/2026,guadalajara,725.26
07/13/2026,GDL ,200.0
07/13/2026,Guadalajara,200.0
07/13/2026,guadalajara,632.9
07/14/2026,GDL ,1687.12
07/14/2026,Guadalajara,688.55
07/15/2026,guadalajara,364.67
07/15/2026,GDL ,922.68
07/15/2026,Guadalajara,463.88
07/16/2026,guadalajara,228.86
07/16/2026,GDL ,589.23
07/16/2026,Guadalajara,1110.23
07/16/2026,guadalajara,1303.98
07/17/2026,GDL ,2439.69
07/17/2026,Guadalajara,401.5
07/17/2026,guadalajara,616.51
07/18/2026,GDL ,393.26
07/19/2026,Guadalajara,268.55
07/19/2026,guadalajara,1016.94
07/19/2026,GDL ,730.13
07/20/2026,Guadalajara,797.03
07/20/2026,guadalajara,1744.81
07/21/2026,GDL ,1613.94
07/21/2026,Guadalajara,1954.33
07/21/2026,guadalajara,1228.66
07/22/2026,GDL ,494.59
07/22/2026,Guadalajara,1208.54
07/22/2026,guadalajara,633.15
07/23/2026,GDL ,1411.78
07/23/2026,Guadalajara,200.0
07/23/2026,guadalajara,200.0
07/23/2026,GDL ,673.02
07/24/2026,Guadalajara,1391.91
07/24/2026,guadalajara,2262.11
07/25/2026,GDL ,1517.75
07/25/2026,Guadalajara,1202.17
07/25/2026,guadalajara,1120.7
07/25/2026,GDL ,400.49
07/25/2026,Guadalajara,1087.15
07/25/2026,guadalajara,1721.06
07/26/2026,GDL ,387.6
07/26/2026,Guadalajara,676.69
07/26/2026,guadalajara,648.58
07/27/2026,GDL ,381.07
07/27/2026,Guadalajara,1173.86
07/27/2026,guadalajara,1341.65
07/27/2026,GDL ,1539.67
07/27/2026,Guadalajara,817.56
07/27/2026,guadalajara,452.24
07/28/2026,GDL ,200.0
07/29/2026,Guadalajara,910.41
07/29/2026,guadalajara,200.0
07/29/2026,GDL ,1348.14
07/30/2026,Guadalajara,775.56
07/30/2026,guadalajara,2045.29
07/30/2026,GDL ,2195.03
07/30/2026,Guadalajara,1542.22
07/30/2026,guadalajara,1078.88
07/31/2026,GDL ,865.63
07/31/2026,Guadalajara,892.17
08/01/2026,guadalajara,1341.11
08/02/2026,GDL ,317.79
08/02/2026,Guadalajara,1513.97
08/02/2026,guadalajara,481.58
08/03/2026,GDL ,439.47
08/03/2026,Guadalajara,527.74
08/03/2026,guadalajara,1126.95
08/03/2026,GDL ,2123.79
08/03/2026,Guadalajara,1675.43
08/04/2026,guadalajara,1354.6
08/04/2026,GDL ,533.94
08/04/2026,Guadalajara,2334.19
08/04/2026,guadalajara,526.06
08/05/2026,GDL ,200.0
08/05/2026,Guadalajara,1483.91
08/05/2026,guadalajara,205.25
08/05/2026,GDL ,2140.94
08/06/2026,Guadalajara,1398.33
08/06/2026,guadalajara,995.76
08/07/2026,GDL ,1999.2
08/07/2026,Guadalajara,461.16
08/07/2026,guadalajara,895.97
08/07/2026,GDL ,1552.22
08/07/2026,Guadalajara,697.06
08/08/2026,guadalajara,976.35
08/08/2026,GDL ,293.51
08/08/2026,Guadalajara,1261.35
08/09/2026,guadalajara,994.79
08/09/2026,GDL ,820.1
08/10/2026,Guadalajara,613.95
08/10/2026,guadalajara,1340.77
08/10/2026,GDL ,484.61
08/10/2026,Guadalajara,1429.36
08/12/2026,guadalajara,2049.44
08/12/2026,GDL ,402.08
08/12/2026,Guadalajara,588.29
08/12/2026,guadalajara,397.96
08/12/2026,GDL ,1783.26
08/13/2026,Guadalajara,1416.32
08/13/2026,guadalajara,1186.62
08/13/2026,GDL ,1110.0
08/13/2026,Guadalajara,1337.17
08/14/2026,guadalajara,218.4
08/14/2026,GDL ,730.65
08/15/2026,Guadalajara,2059.2
08/15/2026,guadalajara,1195.02
08/15/2026,GDL ,578.18
08/15/2026,Guadalajara,272.21
08/16/2026,guadalajara,200.0
08/16/2026,GDL ,2023.28
08/17/2026,Guadalajara,1291.27
08/17/2026,guadalajara,1888.88
08/17/2026,GDL ,1282.59
08/17/2026,Guadalajara,1227.93
08/17/2026,guadalajara,1369.6
08/18/2026,GDL ,999.61
08/18/2026,Guadalajara,383.66
08/19/2026,guadalajara,502.48
08/19/2026,GDL ,1732.4
08/19/2026,Guadalajara,200.0
08/20/2026,guadalajara,1275.06
08/20/2026,GDL ,636.79
08/20/2026,Guadalajara,544.39
08/20/2026,guadalajara,460.35
08/20/2026,GDL ,736.24
08/20/2026,Guadalajara,911.34
08/20/2026,guadalajara,718.08
08/21/2026,GDL ,1417.48
08/21/2026,Guadalajara,224.44
08/21/2026,guadalajara,766.88
08/21/2026,GDL ,1552.94
08/21/2026,Guadalajara,340.33
08/21/2026,guadalajara,798.69
08/22/2026,GDL ,703.67
08/22/2026,Guadalajara,872.04
08/23/2026,guadalajara,557.43
08/24/2026,GDL ,1028.88
08/24/2026,Guadalajara,1012.08
08/24/2026,guadalajara,1381.82
08/24/2026,GDL ,576.39
08/24/2026,Guadalajara,741.66
08/25/2026,guadalajara,743.35
08/25/2026,GDL ,826.47
08/25/2026,Guadalajara,562.7
08/25/2026,guadalajara,1310.46
08/26/2026,GDL ,3201.35
08/26/2026,Guadalajara,3177.18
08/27/2026,guadalajara,1521.45
08/28/2026,GDL ,950.32
08/28/2026,Guadalajara,289.46
08/28/2026,guadalajara,1538.44
08/29/2026,GDL ,1103.16
08/30/2026,Guadalajara,370.6
08/30/2026,guadalajara,990.59
08/30/2026,GDL ,3522.77
08/30/2026,Guadalajara,671.14
08/31/2026,guadalajara,1080.67
08/31/2026,GDL ,221.07
08/31/2026,Guadalajara,714.87
