fecha,equipo,vendedor,linea_producto,monto_mxn
2026-01-05,Occidente,OCC-05,Software,2533.3
2026-01-05,Sureste,SUR-05,Software,16936.89
2026-01-05,Sureste,SUR-04,Servicios,8914.01
2026-01-06,Centro,CEN-03,Hardware,15973.8
2026-01-06,Centro,CEN-05,Soporte,20084.84
2026-01-06,Centro,CEN-04,Soporte,27673.91
2026-01-06,Centro,CEN-04,Servicios,28289.57
2026-01-06,Centro,CEN-05,Hardware,3605.94
2026-01-06,Norte,NOR-05,Software,8743.68
2026-01-06,Norte,NOR-02,Software,4371.28
2026-01-06,Norte,NOR-03,Servicios,4373.03
2026-01-06,Norte,NOR-05,Servicios,5458.84
2026-01-06,Occidente,OCC-05,Software,13680.86
2026-01-06,Occidente,OCC-01,Servicios,3171.8
2026-01-06,Occidente,OCC-01,Software,12996.16
2026-01-06,Occidente,OCC-01,Software,6467.52
2026-01-06,Occidente,OCC-04,Software,25834.07
2026-01-06,Occidente,OCC-01,Software,16379.18
2026-01-06,Occidente,OCC-05,Servicios,12530.19
2026-01-06,Sureste,SUR-02,Servicios,8525.47
2026-01-06,Sureste,SUR-02,Hardware,2839.1
2026-01-06,Sureste,SUR-02,Hardware,6609.02
2026-01-06,Sureste,SUR-02,Soporte,11699.91
2026-01-07,Centro,CEN-02,Servicios,7313.25
2026-01-07,Centro,CEN-05,Software,10460.37
2026-01-07,Centro,CEN-05,Hardware,8517.22
2026-01-07,Centro,CEN-03,Software,14905.13
2026-01-07,Centro,CEN-01,Soporte,11308.2
2026-01-07,Norte,NOR-05,Software,6320.51
2026-01-07,Norte,NOR-01,Software,8768.76
2026-01-07,Occidente,OCC-04,Software,3583.13
2026-01-07,Occidente,OCC-04,Software,5584.61
2026-01-07,Occidente,OCC-01,Software,6400.63
2026-01-07,Occidente,OCC-05,Servicios,1724.99
2026-01-07,Occidente,OCC-05,Soporte,7475.97
2026-01-07,Occidente,OCC-02,Hardware,12728.41
2026-01-07,Occidente,OCC-05,Servicios,6470.21
2026-01-07,Sureste,SUR-01,Software,2028.0
2026-01-07,Sureste,SUR-04,Soporte,5579.0
2026-01-07,Sureste,SUR-02,Software,5750.95
2026-01-07,Sureste,SUR-01,Servicios,1642.5
2026-01-07,Sureste,SUR-04,Software,8032.89
2026-01-07,Sureste,SUR-02,Hardware,14556.49
2026-01-08,Centro,CEN-05,Hardware,11526.72
2026-01-08,Centro,CEN-03,Servicios,12520.48
2026-01-08,Centro,CEN-02,Servicios,18132.2
2026-01-08,Centro,CEN-02,Software,12233.7
2026-01-08,Centro,CEN-02,Servicios,10489.59
2026-01-08,Norte,NOR-01,Servicios,12208.07
2026-01-08,Norte,NOR-03,Software,9266.47
2026-01-08,Norte,NOR-03,Servicios,3280.56
2026-01-08,Norte,NOR-02,Software,2124.78
2026-01-08,Norte,NOR-02,Software,10149.17
2026-01-08,Occidente,OCC-02,Servicios,7594.14
2026-01-08,Occidente,OCC-03,Software,8445.4
2026-01-08,Occidente,OCC-02,Soporte,9305.11
2026-01-08,Sureste,SUR-03,Hardware,5703.87
2026-01-08,Sureste,SUR-03,Servicios,2466.65
2026-01-08,Sureste,SUR-01,Software,5887.27
2026-01-08,Sureste,SUR-01,Servicios,1319.91
2026-01-09,Centro,CEN-05,Servicios,12289.75
2026-01-09,Centro,CEN-02,Soporte,10516.51
2026-01-09,Centro,CEN-05,Software,2294.58
2026-01-09,Centro,CEN-04,Soporte,18074.91
2026-01-09,Centro,CEN-03,Hardware,11770.71
2026-01-09,Centro,CEN-03,Software,2207.83
2026-01-09,Centro,CEN-04,Servicios,15404.1
2026-01-09,Centro,CEN-01,Software,32367.09
2026-01-09,Norte,NOR-02,Hardware,8653.93
2026-01-09,Norte,NOR-01,Hardware,6797.02
2026-01-09,Norte,NOR-01,Hardware,3025.93
2026-01-09,Norte,NOR-02,Software,9294.81
2026-01-09,Norte,NOR-03,Hardware,4442.27
2026-01-09,Norte,NOR-04,Software,6555.99
2026-01-09,Norte,NOR-03,Hardware,7779.69
2026-01-09,Occidente,OCC-03,Servicios,13209.12
2026-01-09,Occidente,OCC-01,Software,29843.36
2026-01-09,Occidente,OCC-05,Soporte,9685.39
2026-01-09,Occidente,OCC-03,Software,13734.84
2026-01-09,Occidente,OCC-05,Soporte,23262.13
2026-01-09,Occidente,OCC-01,Software,7997.93
2026-01-09,Occidente,OCC-01,Hardware,8626.76
2026-01-09,Sureste,SUR-05,Servicios,3832.28
2026-01-09,Sureste,SUR-04,Servicios,10472.63
2026-01-09,Sureste,SUR-04,Servicios,10532.99
2026-01-09,Sureste,SUR-04,Soporte,1007.92
2026-01-12,Centro,CEN-04,Software,26967.51
2026-01-12,Centro,CEN-04,Software,22973.69
2026-01-12,Centro,CEN-03,Soporte,16724.99
2026-01-12,Centro,CEN-03,Hardware,4628.25
2026-01-12,Norte,NOR-01,Hardware,6526.69
2026-01-12,Norte,NOR-02,Soporte,3060.64
2026-01-12,Norte,NOR-02,Servicios,1519.16
2026-01-12,Norte,NOR-03,Software,1820.8
2026-01-12,Norte,NOR-01,Servicios,5883.96
2026-01-12,Norte,NOR-01,Software,14458.98
2026-01-12,Occidente,OCC-05,Software,1361.82
2026-01-12,Occidente,OCC-05,Software,2436.22
2026-01-12,Occidente,OCC-05,Software,1245.06
2026-01-12,Occidente,OCC-03,Servicios,19652.71
2026-01-12,Occidente,OCC-03,Software,500.0
2026-01-12,Sureste,SUR-04,Software,12159.14
2026-01-12,Sureste,SUR-05,Software,575.24
2026-01-12,Sureste,SUR-05,Software,7852.18
2026-01-12,Sureste,SUR-03,Soporte,2279.88
2026-01-12,Sureste,SUR-05,Servicios,1123.44
2026-01-12,Sureste,SUR-01,Software,2640.36
2026-01-13,Centro,CEN-02,Software,8247.36
2026-01-13,Centro,CEN-01,Software,9869.56
2026-01-13,Centro,CEN-04,Servicios,11948.08
2026-01-13,Centro,CEN-01,Servicios,4689.37
2026-01-13,Centro,CEN-01,Software,37666.84
2026-01-13,Centro,CEN-03,Software,16723.22
2026-01-13,Norte,NOR-05,Software,14033.54
2026-01-13,Norte,NOR-05,Software,9942.16
2026-01-13,Norte,NOR-03,Software,19470.24
2026-01-13,Norte,NOR-05,Servicios,18963.66
2026-01-13,Norte,NOR-02,Software,3128.13
2026-01-13,Norte,NOR-03,Software,4413.6
2026-01-13,Norte,NOR-01,Servicios,2030.59
2026-01-13,Occidente,OCC-03,Servicios,5201.42
2026-01-13,Occidente,OCC-02,Servicios,8943.61
2026-01-13,Occidente,OCC-01,Servicios,9316.32
2026-01-13,Occidente,OCC-02,Software,6342.43
2026-01-13,Occidente,OCC-02,Servicios,12596.27
2026-01-13,Occidente,OCC-03,Hardware,15513.09
2026-01-13,Sureste,SUR-05,Servicios,9686.83
2026-01-13,Sureste,SUR-03,Soporte,7642.56
2026-01-13,Sureste,SUR-02,Software,1864.01
2026-01-13,Sureste,SUR-01,Software,24326.31
2026-01-13,Sureste,SUR-03,Hardware,5398.29
2026-01-13,Sureste,SUR-02,Servicios,8816.32
2026-01-13,Sureste,SUR-03,Servicios,2752.77
2026-01-13,Sureste,SUR-02,Software,25835.73
2026-01-14,Centro,CEN-03,Hardware,11254.91
2026-01-14,Centro,CEN-04,Software,21208.3
2026-01-14,Centro,CEN-05,Software,46240.46
2026-01-14,Centro,CEN-01,Servicios,6314.48
2026-01-14,Centro,CEN-01,Software,7665.26
2026-01-14,Centro,CEN-04,Servicios,8563.4
2026-01-14,Centro,CEN-01,Soporte,8812.9
2026-01-14,Norte,NOR-04,Software,3460.47
2026-01-14,Norte,NOR-03,Software,1683.04
2026-01-14,Norte,NOR-01,Hardware,7561.44
2026-01-14,Norte,NOR-05,Software,17497.98
2026-01-14,Norte,NOR-03,Software,4570.23
2026-01-14,Norte,NOR-01,Hardware,18733.89
2026-01-14,Norte,NOR-03,Servicios,21316.47
2026-01-14,Norte,NOR-03,Software,10411.98
2026-01-14,Norte,NOR-04,Software,14485.38
2026-01-14,Occidente,OCC-05,Servicios,8452.36
2026-01-14,Occidente,OCC-02,Hardware,16050.7
2026-01-14,Occidente,OCC-01,Hardware,9714.97
2026-01-14,Occidente,OCC-03,Software,10161.84
2026-01-14,Sureste,SUR-05,Software,4183.26
2026-01-14,Sureste,SUR-04,Hardware,2809.73
2026-01-14,Sureste,SUR-04,Software,6371.8
2026-01-14,Sureste,SUR-04,Hardware,5748.69
2026-01-15,Centro,CEN-01,Soporte,9880.89
2026-01-15,Centro,CEN-05,Software,12919.62
2026-01-15,Norte,NOR-03,Servicios,4509.09
2026-01-15,Norte,NOR-04,Software,22587.75
2026-01-15,Norte,NOR-03,Software,6589.95
2026-01-15,Norte,NOR-01,Hardware,2470.19
2026-01-15,Norte,NOR-05,Software,12492.16
2026-01-15,Norte,NOR-03,Soporte,4872.16
2026-01-15,Occidente,OCC-03,Hardware,3154.56
2026-01-15,Occidente,OCC-03,Servicios,2983.97
2026-01-15,Occidente,OCC-04,Software,3008.88
2026-01-15,Occidente,OCC-01,Hardware,13207.4
2026-01-15,Occidente,OCC-03,Software,13329.98
2026-01-15,Occidente,OCC-04,Servicios,22457.52
2026-01-15,Sureste,SUR-02,Software,14172.58
2026-01-15,Sureste,SUR-05,Software,5087.51
2026-01-15,Sureste,SUR-03,Hardware,2011.27
2026-01-16,Centro,CEN-01,Servicios,11917.41
2026-01-16,Centro,CEN-04,Servicios,4984.5
2026-01-16,Centro,CEN-02,Software,12304.26
2026-01-16,Norte,NOR-02,Software,11019.7
2026-01-16,Occidente,OCC-04,Hardware,3612.44
2026-01-16,Occidente,OCC-04,Hardware,16230.48
2026-01-16,Occidente,OCC-04,Hardware,5382.43
2026-01-16,Occidente,OCC-03,Servicios,23020.4
2026-01-16,Occidente,OCC-01,Software,5729.19
2026-01-16,Occidente,OCC-04,Software,12113.65
2026-01-16,Occidente,OCC-04,Hardware,10651.94
2026-01-16,Sureste,SUR-01,Servicios,4297.72
2026-01-16,Sureste,SUR-04,Hardware,7114.82
2026-01-16,Sureste,SUR-04,Servicios,30170.63
2026-01-16,Sureste,SUR-02,Servicios,7093.96
2026-01-16,Sureste,SUR-02,Soporte,12820.25
2026-01-16,Sureste,SUR-02,Software,7543.0
2026-01-19,Centro,CEN-04,Software,12496.0
2026-01-19,Centro,CEN-01,Hardware,859.84
2026-01-19,Centro,CEN-01,Software,6122.19
2026-01-19,Centro,CEN-04,Servicios,12888.69
2026-01-19,Centro,CEN-01,Servicios,7372.06
2026-01-19,Centro,CEN-03,Servicios,13526.33
2026-01-19,Norte,NOR-03,Software,2290.2
2026-01-19,Norte,NOR-04,Hardware,1800.19
2026-01-19,Norte,NOR-04,Servicios,14579.28
2026-01-19,Norte,NOR-04,Software,6353.67
2026-01-19,Occidente,OCC-05,Software,7103.25
2026-01-19,Occidente,OCC-02,Servicios,11182.92
2026-01-19,Occidente,OCC-03,Servicios,15002.8
2026-01-19,Sureste,SUR-05,Soporte,7089.59
2026-01-19,Sureste,SUR-04,Hardware,6760.29
2026-01-19,Sureste,SUR-02,Soporte,3308.67
2026-01-20,Centro,CEN-02,Soporte,12241.94
2026-01-20,Centro,CEN-04,Software,21026.17
2026-01-20,Norte,NOR-01,Software,5551.15
2026-01-20,Norte,NOR-02,Software,8303.29
2026-01-20,Norte,NOR-03,Servicios,10778.88
2026-01-20,Norte,NOR-03,Software,11509.34
2026-01-20,Norte,NOR-01,Servicios,14701.53
2026-01-20,Norte,NOR-03,Servicios,1907.85
2026-01-20,Occidente,OCC-03,Servicios,11202.89
2026-01-20,Occidente,OCC-05,Servicios,3373.92
2026-01-20,Occidente,OCC-04,Servicios,2365.15
2026-01-20,Sureste,SUR-03,Servicios,1191.85
2026-01-20,Sureste,SUR-04,Software,6100.41
2026-01-20,Sureste,SUR-05,Software,7251.37
2026-01-20,Sureste,SUR-05,Soporte,7655.22
2026-01-20,Sureste,SUR-04,Software,21615.39
2026-01-21,Centro,CEN-04,Software,11442.42
2026-01-21,Centro,CEN-02,Soporte,3254.25
2026-01-21,Centro,CEN-04,Software,25566.3
2026-01-21,Centro,CEN-02,Software,10030.85
2026-01-21,Centro,CEN-05,Servicios,8548.89
2026-01-21,Norte,NOR-03,Servicios,9483.51
2026-01-21,Norte,NOR-01,Servicios,8497.39
2026-01-21,Norte,NOR-01,Hardware,3797.37
2026-01-21,Norte,NOR-05,Software,15699.95
2026-01-21,Norte,NOR-05,Servicios,19499.49
2026-01-21,Norte,NOR-02,Servicios,11265.13
2026-01-21,Occidente,OCC-04,Servicios,1970.46
2026-01-21,Occidente,OCC-02,Servicios,9246.46
2026-01-21,Sureste,SUR-04,Hardware,6645.08
2026-01-21,Sureste,SUR-03,Servicios,1684.77
2026-01-21,Sureste,SUR-04,Software,9628.58
2026-01-21,Sureste,SUR-02,Software,15515.29
2026-01-21,Sureste,SUR-04,Soporte,7442.31
2026-01-22,Centro,CEN-04,Software,10448.8
2026-01-22,Centro,CEN-03,Soporte,13867.91
2026-01-22,Centro,CEN-04,Software,17806.28
2026-01-22,Centro,CEN-01,Servicios,3927.52
2026-01-22,Centro,CEN-04,Software,4275.92
2026-01-22,Centro,CEN-03,Servicios,5088.67
2026-01-22,Norte,NOR-04,Hardware,5103.3
2026-01-22,Norte,NOR-03,Software,15189.91
2026-01-22,Norte,NOR-01,Servicios,5122.05
2026-01-22,Norte,NOR-02,Software,4675.83
2026-01-22,Norte,NOR-01,Hardware,7035.97
2026-01-22,Norte,NOR-05,Soporte,12368.58
2026-01-22,Norte,NOR-01,Servicios,3737.51
2026-01-22,Norte,NOR-04,Hardware,9173.09
2026-01-22,Occidente,OCC-03,Software,21220.14
2026-01-22,Occidente,OCC-03,Software,17883.98
2026-01-22,Occidente,OCC-03,Servicios,12704.49
2026-01-22,Occidente,OCC-01,Software,19499.76
2026-01-22,Occidente,OCC-03,Servicios,11938.13
2026-01-22,Occidente,OCC-01,Software,3811.67
2026-01-22,Sureste,SUR-03,Hardware,12060.73
2026-01-22,Sureste,SUR-02,Servicios,4366.53
2026-01-22,Sureste,SUR-05,Software,3618.62
2026-01-22,Sureste,SUR-05,Servicios,7308.62
2026-01-22,Sureste,SUR-05,Servicios,2415.32
2026-01-22,Sureste,SUR-04,Software,5432.74
2026-01-22,Sureste,SUR-04,Hardware,4118.72
2026-01-23,Centro,CEN-01,Hardware,15508.59
2026-01-23,Centro,CEN-05,Hardware,13332.58
2026-01-23,Centro,CEN-04,Servicios,9361.4
2026-01-23,Centro,CEN-03,Servicios,2673.36
2026-01-23,Centro,CEN-05,Hardware,8604.24
2026-01-23,Norte,NOR-03,Software,14564.84
2026-01-23,Norte,NOR-04,Software,10627.9
2026-01-23,Norte,NOR-04,Software,15487.06
2026-01-23,Occidente,OCC-04,Hardware,4849.77
2026-01-23,Occidente,OCC-01,Servicios,6987.53
2026-01-23,Occidente,OCC-02,Software,7506.41
2026-01-23,Occidente,OCC-03,Hardware,8536.77
2026-01-23,Sureste,SUR-01,Servicios,6723.38
2026-01-23,Sureste,SUR-02,Software,8263.61
2026-01-23,Sureste,SUR-03,Servicios,6180.37
2026-01-23,Sureste,SUR-03,Software,1940.72
2026-01-23,Sureste,SUR-02,Software,11574.29
2026-01-26,Centro,CEN-03,Software,13057.36
2026-01-26,Centro,CEN-05,Hardware,2079.29
2026-01-26,Centro,CEN-03,Hardware,7640.21
2026-01-26,Centro,CEN-01,Software,4852.64
2026-01-26,Norte,NOR-01,Software,10382.62
2026-01-26,Norte,NOR-02,Software,9111.89
2026-01-26,Norte,NOR-05,Software,11644.13
2026-01-26,Norte,NOR-05,Servicios,17746.43
2026-01-26,Norte,NOR-02,Software,3787.48
2026-01-26,Norte,NOR-03,Hardware,11133.04
2026-01-26,Norte,NOR-03,Servicios,20577.55
2026-01-26,Occidente,OCC-04,Software,6020.54
2026-01-26,Occidente,OCC-01,Software,5307.46
2026-01-26,Occidente,OCC-02,Servicios,35088.37
2026-01-26,Sureste,SUR-05,Software,8125.7
2026-01-26,Sureste,SUR-01,Software,3781.38
2026-01-26,Sureste,SUR-04,Software,9332.91
2026-01-26,Sureste,SUR-04,Software,9974.14
2026-01-26,Sureste,SUR-04,Software,11998.33
2026-01-26,Sureste,SUR-05,Servicios,7909.99
2026-01-27,Centro,CEN-05,Servicios,5254.16
2026-01-27,Centro,CEN-05,Soporte,19340.76
2026-01-27,Centro,CEN-03,Hardware,25995.94
2026-01-27,Centro,CEN-01,Hardware,13602.01
2026-01-27,Centro,CEN-01,Software,4161.44
2026-01-27,Centro,CEN-04,Soporte,4788.8
2026-01-27,Norte,NOR-04,Software,3237.98
2026-01-27,Norte,NOR-02,Hardware,1035.61
2026-01-27,Norte,NOR-02,Servicios,12113.4
2026-01-27,Norte,NOR-05,Hardware,6607.04
2026-01-27,Occidente,OCC-01,Software,5076.76
2026-01-27,Occidente,OCC-05,Servicios,4528.69
2026-01-27,Occidente,OCC-01,Software,4229.96
2026-01-27,Occidente,OCC-04,Servicios,6543.23
2026-01-27,Occidente,OCC-02,Software,9137.64
2026-01-27,Occidente,OCC-02,Hardware,3130.17
2026-01-27,Occidente,OCC-03,Servicios,12738.84
2026-01-27,Sureste,SUR-01,Software,3322.37
2026-01-27,Sureste,SUR-04,Software,2899.39
2026-01-27,Sureste,SUR-05,Soporte,2462.47
2026-01-27,Sureste,SUR-02,Servicios,7644.15
2026-01-28,Centro,CEN-03,Software,13095.1
2026-01-28,Centro,CEN-03,Software,5773.57
2026-01-28,Centro,CEN-04,Servicios,1796.46
2026-01-28,Centro,CEN-05,Servicios,12238.12
2026-01-28,Norte,NOR-03,Servicios,12152.0
2026-01-28,Norte,NOR-04,Software,5832.71
2026-01-28,Norte,NOR-05,Hardware,12099.12
2026-01-28,Norte,NOR-03,Hardware,10575.58
2026-01-28,Norte,NOR-01,Servicios,8648.58
2026-01-28,Occidente,OCC-01,Software,7923.25
2026-01-28,Occidente,OCC-04,Hardware,4248.82
2026-01-28,Occidente,OCC-02,Hardware,12311.19
2026-01-28,Occidente,OCC-01,Software,18894.8
2026-01-28,Sureste,SUR-05,Soporte,5091.07
2026-01-28,Sureste,SUR-03,Servicios,15058.56
2026-01-28,Sureste,SUR-01,Servicios,4346.92
2026-01-28,Sureste,SUR-03,Software,2632.52
2026-01-28,Sureste,SUR-04,Software,6984.24
2026-01-28,Sureste,SUR-04,Servicios,8302.09
2026-01-29,Centro,CEN-05,Hardware,7328.27
2026-01-29,Centro,CEN-04,Servicios,13564.03
2026-01-29,Centro,CEN-02,Hardware,14871.08
2026-01-29,Centro,CEN-03,Servicios,4733.05
2026-01-29,Norte,NOR-02,Software,7983.15
2026-01-29,Norte,NOR-01,Hardware,10208.81
2026-01-29,Norte,NOR-04,Servicios,5889.43
2026-01-29,Norte,NOR-01,Hardware,12911.4
2026-01-29,Norte,NOR-05,Software,4743.33
2026-01-29,Norte,NOR-01,Servicios,7065.06
2026-01-29,Occidente,OCC-04,Hardware,6503.89
2026-01-29,Occidente,OCC-05,Software,14878.77
2026-01-29,Occidente,OCC-05,Software,9544.2
2026-01-29,Sureste,SUR-05,Soporte,2574.49
2026-01-29,Sureste,SUR-04,Software,6584.76
2026-01-29,Sureste,SUR-01,Software,2132.35
2026-01-29,Sureste,SUR-05,Servicios,5122.33
2026-01-29,Sureste,SUR-05,Software,13430.65
2026-01-30,Centro,CEN-01,Software,21749.68
2026-01-30,Centro,CEN-02,Servicios,9158.79
2026-01-30,Centro,CEN-05,Software,13147.96
2026-01-30,Centro,CEN-03,Servicios,3419.69
2026-01-30,Centro,CEN-01,Software,500.0
2026-01-30,Centro,CEN-03,Servicios,7267.39
2026-01-30,Centro,CEN-02,Soporte,17831.93
2026-01-30,Norte,NOR-03,Servicios,8240.87
2026-01-30,Norte,NOR-03,Soporte,13734.43
2026-01-30,Norte,NOR-05,Soporte,2096.83
2026-01-30,Occidente,OCC-03,Hardware,1338.24
2026-01-30,Occidente,OCC-01,Software,22154.82
2026-01-30,Occidente,OCC-04,Software,14828.58
2026-01-30,Occidente,OCC-04,Software,15033.51
2026-01-30,Occidente,OCC-01,Servicios,8892.28
2026-01-30,Occidente,OCC-01,Servicios,14059.92
2026-01-30,Sureste,SUR-03,Software,6894.43
2026-01-30,Sureste,SUR-02,Servicios,6046.73
2026-02-02,Centro,CEN-01,Servicios,19158.36
2026-02-02,Centro,CEN-02,Software,24617.93
2026-02-02,Centro,CEN-01,Hardware,20891.75
2026-02-02,Centro,CEN-03,Servicios,6347.61
2026-02-02,Centro,CEN-01,Software,1866.08
2026-02-02,Centro,CEN-01,Software,6223.08
2026-02-02,Norte,NOR-01,Servicios,3278.98
2026-02-02,Norte,NOR-04,Software,5257.69
2026-02-02,Norte,NOR-03,Servicios,1500.45
2026-02-02,Norte,NOR-02,Servicios,3802.11
2026-02-02,Occidente,OCC-03,Software,3233.61
2026-02-02,Occidente,OCC-03,Software,8993.43
2026-02-02,Occidente,OCC-02,Software,4218.55
2026-02-02,Occidente,OCC-02,Soporte,5942.88
2026-02-02,Sureste,SUR-04,Software,5610.55
2026-02-02,Sureste,SUR-05,Servicios,7505.14
2026-02-02,Sureste,SUR-02,Servicios,8258.06
2026-02-02,Sureste,SUR-04,Hardware,10000.98
2026-02-02,Sureste,SUR-04,Servicios,10699.82
2026-02-02,Sureste,SUR-02,Servicios,971.13
2026-02-02,Sureste,SUR-01,Hardware,2697.59
2026-02-02,Sureste,SUR-03,Software,11341.65
2026-02-03,Centro,CEN-03,Hardware,12991.21
2026-02-03,Centro,CEN-05,Servicios,15002.72
2026-02-03,Centro,CEN-05,Soporte,6376.18
2026-02-03,Norte,NOR-03,Hardware,13087.76
2026-02-03,Norte,NOR-03,Hardware,805.59
2026-02-03,Norte,NOR-03,Hardware,40353.03
2026-02-03,Norte,NOR-04,Software,6774.84
2026-02-03,Norte,NOR-05,Hardware,17612.23
2026-02-03,Norte,NOR-03,Soporte,2865.02
2026-02-03,Occidente,OCC-03,Software,4173.21
2026-02-03,Occidente,OCC-05,Software,17551.22
2026-02-03,Occidente,OCC-01,Soporte,5524.18
2026-02-03,Occidente,OCC-02,Software,15690.72
2026-02-03,Sureste,SUR-01,Software,8100.33
2026-02-03,Sureste,SUR-04,Software,3313.77
2026-02-03,Sureste,SUR-04,Servicios,5105.86
2026-02-03,Sureste,SUR-05,Software,5812.97
2026-02-03,Sureste,SUR-02,Hardware,8614.16
2026-02-03,Sureste,SUR-04,Software,7759.12
2026-02-03,Sureste,SUR-02,Hardware,3085.96
2026-02-03,Sureste,SUR-03,Servicios,5937.87
2026-02-03,Sureste,SUR-05,Software,4378.84
2026-02-04,Centro,CEN-02,Hardware,18603.05
2026-02-04,Centro,CEN-04,Hardware,4809.22
2026-02-04,Centro,CEN-02,Hardware,4151.48
2026-02-04,Centro,CEN-03,Servicios,8472.76
2026-02-04,Centro,CEN-01,Software,10850.68
2026-02-04,Centro,CEN-01,Hardware,10775.35
2026-02-04,Centro,CEN-01,Soporte,15122.24
2026-02-04,Centro,CEN-01,Software,9526.01
2026-02-04,Norte,NOR-02,Hardware,7761.02
2026-02-04,Norte,NOR-02,Software,4739.5
2026-02-04,Norte,NOR-03,Soporte,8409.0
2026-02-04,Norte,NOR-01,Software,7705.54
2026-02-04,Norte,NOR-03,Hardware,7313.64
2026-02-04,Norte,NOR-03,Software,3261.44
2026-02-04,Norte,NOR-03,Servicios,4929.48
2026-02-04,Norte,NOR-05,Hardware,6567.6
2026-02-04,Occidente,OCC-01,Software,10907.16
2026-02-04,Occidente,OCC-04,Servicios,3975.53
2026-02-04,Occidente,OCC-01,Software,6521.65
2026-02-04,Occidente,OCC-02,Software,12650.75
2026-02-04,Occidente,OCC-02,Servicios,7054.58
2026-02-04,Occidente,OCC-01,Software,3641.02
2026-02-04,Sureste,SUR-01,Servicios,11295.35
2026-02-04,Sureste,SUR-02,Servicios,3175.53
2026-02-04,Sureste,SUR-02,Software,8971.73
2026-02-05,Centro,CEN-02,Servicios,16259.64
2026-02-05,Centro,CEN-04,Software,12210.64
2026-02-05,Norte,NOR-01,Servicios,7608.96
2026-02-05,Norte,NOR-05,Soporte,6428.59
2026-02-05,Norte,NOR-01,Servicios,20352.11
2026-02-05,Norte,NOR-04,Software,10609.12
2026-02-05,Norte,NOR-03,Servicios,7613.02
2026-02-05,Norte,NOR-01,Software,16585.74
2026-02-05,Occidente,OCC-04,Software,12287.06
2026-02-05,Occidente,OCC-02,Software,11451.18
2026-02-05,Occidente,OCC-01,Servicios,9657.26
2026-02-05,Occidente,OCC-05,Servicios,13070.73
2026-02-05,Occidente,OCC-05,Servicios,9564.3
