fecha,source,chequeos,n_pass,n_warn,n_error,max_ratio_warn,pct_cumplimiento,status_cierre,dia_parcial
2026-09-06,encuestas,24,24,0,0,0.712,100.0,pass,False
2026-09-07,encuestas,24,24,0,0,0.837,100.0,pass,False
2026-09-08,encuestas,24,24,0,0,0.926,100.0,pass,False
2026-09-09,encuestas,24,24,0,0,0.158,100.0,pass,False
2026-09-10,encuestas,24,24,0,0,0.283,100.0,pass,False
2026-09-11,encuestas,24,24,0,0,0.408,100.0,pass,False
2026-09-12,encuestas,24,24,0,0,0.533,100.0,pass,False
2026-09-13,encuestas,24,24,0,0,0.658,100.0,pass,False
2026-09-14,encuestas,24,24,0,0,0.783,100.0,pass,False
2026-09-15,encuestas,24,24,0,0,0.882,100.0,pass,False
2026-09-16,encuestas,24,24,0,0,0.146,100.0,pass,False
2026-09-17,encuestas,24,24,0,0,0.271,100.0,pass,False
2026-09-18,encuestas,24,24,0,0,0.396,100.0,pass,False
2026-09-19,encuestas,24,24,0,0,0.521,100.0,pass,False
2026-09-20,encuestas,24,24,0,0,0.646,100.0,pass,False
2026-09-21,encuestas,20,20,0,0,0.75,100.0,pass,True
2026-08-23,erp,24,24,0,0,0.913,100.0,pass,False
2026-08-24,erp,24,24,0,0,0.898,100.0,pass,False
2026-08-25,erp,24,24,0,0,0.91,100.0,pass,False
2026-08-26,erp,24,24,0,0,0.901,100.0,pass,False
2026-08-27,erp,24,24,0,0,0.885,100.0,pass,False
2026-08-28,erp,24,24,0,0,0.905,100.0,pass,False
2026-08-29,erp,24,24,0,0,0.909,100.0,pass,False
2026-08-30,erp,24,24,0,0,0.947,100.0,pass,False
2026-08-31,erp,24,24,0,0,0.889,100.0,pass,False
2026-09-01,erp,24,24,0,0,0.908,100.0,pass,False
2026-09-02,erp,24,24,0,0,0.903,100.0,pass,False
2026-09-03,erp,24,24,0,0,0.904,100.0,pass,False
2026-09-04,erp,24,24,0,0,0.9,100.0,pass,False
2026-09-05,erp,24,24,0,0,0.892,100.0,pass,False
2026-09-06,erp,24,24,0,0,0.904,100.0,pass,False
2026-09-07,erp,24,2,22,0,1.827,8.3,warn,False
2026-09-08,erp,24,0,0,24,2.75,0.0,error,False
2026-09-09,erp,24,24,0,0,0.908,100.0,pass,False
2026-09-10,erp,24,22,2,0,1.062,91.7,pass,False
2026-09-11,erp,24,24,0,0,0.856,100.0,pass,False
2026-09-12,erp,24,24,0,0,0.906,100.0,pass,False
2026-09-13,erp,24,24,0,0,0.899,100.0,pass,False
2026-09-14,erp,24,24,0,0,0.937,100.0,pass,False
2026-09-15,erp,24,3,21,0,1.78,12.5,warn,False
2026-09-16,erp,24,24,0,0,0.911,100.0,pass,False
2026-09-17,erp,24,24,0,0,0.949,100.0,pass,False
2026-09-18,erp,24,24,0,0,0.907,100.0,pass,False
2026-09-19,erp,24,24,0,0,0.907,100.0,pass,False
2026-09-20,erp,24,24,0,0,0.851,100.0,pass,False
2026-09-21,erp,20,20,0,0,0.769,100.0,pass,True
2026-08-23,helpdesk,24,24,0,0,0.489,100.0,pass,False
2026-08-24,helpdesk,24,24,0,0,0.487,100.0,pass,False
2026-08-25,helpdesk,24,24,0,0,0.494,100.0,pass,False
2026-08-26,helpdesk,24,24,0,0,0.487,100.0,pass,False
2026-08-27,helpdesk,24,24,0,0,0.487,100.0,pass,False
2026-08-28,helpdesk,24,24,0,0,0.492,100.0,pass,False
2026-08-29,helpdesk,24,24,0,0,0.485,100.0,pass,False
2026-08-30,helpdesk,24,24,0,0,0.743,100.0,pass,False
2026-08-31,helpdesk,24,24,0,0,0.993,100.0,pass,False
2026-09-01,helpdesk,24,24,0,0,0.495,100.0,pass,False
2026-09-02,helpdesk,24,24,0,0,0.494,100.0,pass,False
2026-09-03,helpdesk,24,24,0,0,0.969,100.0,pass,False
2026-09-04,helpdesk,24,24,0,0,0.978,100.0,pass,False
2026-09-05,helpdesk,24,24,0,0,0.488,100.0,pass,False
2026-09-06,helpdesk,24,24,0,0,0.49,100.0,pass,False
2026-09-07,helpdesk,24,24,0,0,0.49,100.0,pass,False
2026-09-08,helpdesk,24,24,0,0,0.982,100.0,pass,False
2026-09-09,helpdesk,24,24,0,0,0.489,100.0,pass,False
2026-09-10,helpdesk,24,24,0,0,0.488,100.0,pass,False
2026-09-11,helpdesk,24,24,0,0,0.494,100.0,pass,False
2026-09-12,helpdesk,24,24,0,0,0.493,100.0,pass,False
2026-09-13,helpdesk,24,24,0,0,0.491,100.0,pass,False
2026-09-14,helpdesk,24,24,0,0,0.487,100.0,pass,False
2026-09-15,helpdesk,24,24,0,0,0.489,100.0,pass,False
2026-09-16,helpdesk,24,24,0,0,0.988,100.0,pass,False
2026-09-17,helpdesk,24,24,0,0,0.486,100.0,pass,False
2026-09-18,helpdesk,24,24,0,0,0.49,100.0,pass,False
2026-09-19,helpdesk,24,24,0,0,0.978,100.0,pass,False
2026-09-20,helpdesk,24,24,0,0,0.493,100.0,pass,False
2026-09-21,helpdesk,20,20,0,0,0.492,100.0,pass,True
2026-08-23,pos,24,24,0,0,0.079,100.0,pass,False
2026-08-24,pos,24,24,0,0,0.221,100.0,pass,False
2026-08-25,pos,24,24,0,0,0.076,100.0,pass,False
2026-08-26,pos,24,24,0,0,0.234,100.0,pass,False
2026-08-27,pos,24,24,0,0,0.076,100.0,pass,False
2026-08-28,pos,24,24,0,0,0.077,100.0,pass,False
2026-08-29,pos,24,24,0,0,0.076,100.0,pass,False
2026-08-30,pos,24,24,0,0,0.074,100.0,pass,False
2026-08-31,pos,24,24,0,0,0.075,100.0,pass,False
2026-09-01,pos,24,24,0,0,0.078,100.0,pass,False
2026-09-02,pos,24,24,0,0,0.076,100.0,pass,False
2026-09-03,pos,24,24,0,0,0.078,100.0,pass,False
2026-09-04,pos,24,24,0,0,0.077,100.0,pass,False
2026-09-05,pos,24,24,0,0,0.076,100.0,pass,False
2026-09-06,pos,24,24,0,0,0.075,100.0,pass,False
2026-09-07,pos,24,24,0,0,0.08,100.0,pass,False
2026-09-08,pos,24,24,0,0,0.241,100.0,pass,False
2026-09-09,pos,24,24,0,0,0.076,100.0,pass,False
2026-09-10,pos,24,21,3,0,1.409,87.5,pass,False
2026-09-11,pos,24,24,0,0,0.079,100.0,pass,False
2026-09-12,pos,24,24,0,0,0.08,100.0,pass,False
2026-09-13,pos,24,24,0,0,0.235,100.0,pass,False
2026-09-14,pos,24,24,0,0,0.074,100.0,pass,False
2026-09-15,pos,24,24,0,0,0.234,100.0,pass,False
2026-09-16,pos,24,24,0,0,0.077,100.0,pass,False
2026-09-17,pos,24,24,0,0,0.079,100.0,pass,False
2026-09-18,pos,24,24,0,0,0.078,100.0,pass,False
2026-09-19,pos,24,24,0,0,0.077,100.0,pass,False
2026-09-20,pos,24,24,0,0,0.075,100.0,pass,False
2026-09-21,pos,20,20,0,0,0.417,100.0,pass,True
2026-08-23,producto_analytics,24,24,0,0,0.371,100.0,pass,False
2026-08-24,producto_analytics,24,24,0,0,0.057,100.0,pass,False
2026-08-25,producto_analytics,24,24,0,0,0.057,100.0,pass,False
2026-08-26,producto_analytics,24,24,0,0,0.056,100.0,pass,False
2026-08-27,producto_analytics,24,24,0,0,0.056,100.0,pass,False
2026-08-28,producto_analytics,24,24,0,0,0.38,100.0,pass,False
2026-08-29,producto_analytics,24,24,0,0,0.375,100.0,pass,False
2026-08-30,producto_analytics,24,24,0,0,0.052,100.0,pass,False
2026-08-31,producto_analytics,24,24,0,0,0.055,100.0,pass,False
2026-09-01,producto_analytics,24,13,9,2,4.387,54.2,pass,False
2026-09-02,producto_analytics,24,24,0,0,0.383,100.0,pass,False
2026-09-03,producto_analytics,24,24,0,0,0.055,100.0,pass,False
2026-09-04,producto_analytics,24,24,0,0,0.057,100.0,pass,False
2026-09-05,producto_analytics,24,24,0,0,0.054,100.0,pass,False
2026-09-06,producto_analytics,24,24,0,0,0.057,100.0,pass,False
2026-09-07,producto_analytics,24,24,0,0,0.057,100.0,pass,False
2026-09-08,producto_analytics,24,24,0,0,0.378,100.0,pass,False
2026-09-09,producto_analytics,24,24,0,0,0.055,100.0,pass,False
2026-09-10,producto_analytics,24,24,0,0,0.377,100.0,pass,False
2026-09-11,producto_analytics,24,24,0,0,0.058,100.0,pass,False
2026-09-12,producto_analytics,24,24,0,0,0.058,100.0,pass,False
2026-09-13,producto_analytics,24,24,0,0,0.059,100.0,pass,False
2026-09-14,producto_analytics,24,24,0,0,0.055,100.0,pass,False
2026-09-15,producto_analytics,24,24,0,0,0.056,100.0,pass,False
2026-09-16,producto_analytics,24,24,0,0,0.057,100.0,pass,False
2026-09-17,producto_analytics,24,24,0,0,0.053,100.0,pass,False
2026-09-18,producto_analytics,24,24,0,0,0.055,100.0,pass,False
2026-09-19,producto_analytics,24,24,0,0,0.379,100.0,pass,False
2026-09-20,producto_analytics,24,24,0,0,0.061,100.0,pass,False
2026-09-21,producto_analytics,20,20,0,0,0.4,100.0,pass,True
2026-08-23,scorecard,24,24,0,0,0.332,100.0,pass,False
2026-08-24,scorecard,24,24,0,0,0.342,100.0,pass,False
2026-08-25,scorecard,24,24,0,0,0.352,100.0,pass,False
2026-08-26,scorecard,24,24,0,0,0.362,100.0,pass,False
2026-08-27,scorecard,24,24,0,0,0.376,100.0,pass,False
2026-08-28,scorecard,24,24,0,0,0.405,100.0,pass,False
2026-08-29,scorecard,24,24,0,0,0.433,100.0,pass,False
2026-08-30,scorecard,24,24,0,0,0.462,100.0,pass,False
2026-08-31,scorecard,24,24,0,0,0.49,100.0,pass,False
2026-09-01,scorecard,24,24,0,0,0.519,100.0,pass,False
2026-09-02,scorecard,24,24,0,0,0.548,100.0,pass,False
2026-09-03,scorecard,24,24,0,0,0.576,100.0,pass,False
2026-09-04,scorecard,24,24,0,0,0.605,100.0,pass,False
2026-09-05,scorecard,24,24,0,0,0.633,100.0,pass,False
2026-09-06,scorecard,24,24,0,0,0.662,100.0,pass,False
2026-09-07,scorecard,24,24,0,0,0.69,100.0,pass,False
2026-09-08,scorecard,24,24,0,0,0.719,100.0,pass,False
2026-09-09,scorecard,24,24,0,0,0.748,100.0,pass,False
2026-09-10,scorecard,24,24,0,0,0.776,100.0,pass,False
2026-09-11,scorecard,24,24,0,0,0.805,100.0,pass,False
2026-09-12,scorecard,24,24,0,0,0.833,100.0,pass,False
2026-09-13,scorecard,24,24,0,0,0.862,100.0,pass,False
2026-09-14,scorecard,24,24,0,0,0.89,100.0,pass,False
2026-09-15,scorecard,24,24,0,0,0.919,100.0,pass,False
2026-09-16,scorecard,24,24,0,0,0.948,100.0,pass,False
2026-09-17,scorecard,24,24,0,0,0.976,100.0,pass,False
2026-09-18,scorecard,24,19,5,0,1.005,79.2,warn,False
2026-09-19,scorecard,24,0,24,0,1.033,0.0,warn,False
2026-09-20,scorecard,24,0,24,0,1.062,0.0,warn,False
2026-09-21,scorecard,20,0,20,0,1.086,0.0,warn,True
2026-08-23,sucursales,24,0,16,8,2.216,0.0,error,False
2026-08-24,sucursales,24,2,7,15,2.632,8.3,pass,False
2026-08-25,sucursales,24,24,0,0,0.681,100.0,pass,False
2026-08-26,sucursales,24,24,0,0,0.716,100.0,pass,False
2026-08-27,sucursales,24,10,14,0,1.364,41.7,warn,False
2026-08-28,sucursales,24,13,11,0,1.67,54.2,pass,False
2026-08-29,sucursales,24,24,0,0,0.94,100.0,pass,False
2026-08-30,sucursales,24,2,22,0,1.607,8.3,warn,False
2026-08-31,sucursales,24,0,22,2,2.051,0.0,warn,False
2026-09-01,sucursales,24,22,1,1,2.006,91.7,pass,False
2026-09-02,sucursales,24,24,0,0,0.764,100.0,pass,False
2026-09-03,sucursales,24,24,0,0,0.821,100.0,pass,False
2026-09-04,sucursales,24,16,8,0,1.21,66.7,pass,False
2026-09-05,sucursales,24,24,0,0,0.923,100.0,pass,False
2026-09-06,sucursales,24,2,22,0,1.59,8.3,warn,False
2026-09-07,sucursales,24,0,14,10,2.256,0.0,error,False
2026-09-08,sucursales,24,8,0,16,2.479,33.3,pass,False
2026-09-09,sucursales,24,24,0,0,0.667,100.0,pass,False
2026-09-10,sucursales,24,24,0,0,0.707,100.0,pass,False
2026-09-11,sucursales,24,24,0,0,0.915,100.0,pass,False
2026-09-12,sucursales,24,3,21,0,1.581,12.5,warn,False
2026-09-13,sucursales,24,0,15,9,2.248,0.0,error,False
2026-09-14,sucursales,24,0,0,24,2.915,0.0,error,False
2026-09-15,sucursales,24,10,0,14,3.304,41.7,pass,False
2026-09-16,sucursales,24,24,0,0,0.771,100.0,pass,False
2026-09-17,sucursales,24,13,11,0,1.286,54.2,warn,False
2026-09-18,sucursales,24,21,3,0,1.369,87.5,pass,False
2026-09-19,sucursales,24,24,0,0,0.972,100.0,pass,False
2026-09-20,sucursales,24,0,24,0,1.639,0.0,warn,False
2026-09-21,sucursales,20,0,12,8,2.194,0.0,error,True
2026-08-23,wms,24,24,0,0,0.909,100.0,pass,False
2026-08-24,wms,24,24,0,0,0.906,100.0,pass,False
2026-08-25,wms,24,24,0,0,0.907,100.0,pass,False
2026-08-26,wms,24,24,0,0,0.891,100.0,pass,False
2026-08-27,wms,24,24,0,0,0.919,100.0,pass,False
2026-08-28,wms,24,24,0,0,0.913,100.0,pass,False
2026-08-29,wms,24,24,0,0,0.893,100.0,pass,False
2026-08-30,wms,24,24,0,0,0.892,100.0,pass,False
2026-08-31,wms,24,24,0,0,0.907,100.0,pass,False
2026-09-01,wms,24,24,0,0,0.913,100.0,pass,False
2026-09-02,wms,24,15,9,0,1.333,62.5,warn,False
2026-09-03,wms,24,11,13,0,1.833,45.8,pass,False
2026-09-04,wms,24,24,0,0,0.905,100.0,pass,False
2026-09-05,wms,24,15,9,0,1.334,62.5,warn,False
2026-09-06,wms,24,11,13,0,1.834,45.8,pass,False
2026-09-07,wms,24,24,0,0,0.915,100.0,pass,False
2026-09-08,wms,24,24,0,0,0.911,100.0,pass,False
2026-09-09,wms,24,24,0,0,0.912,100.0,pass,False
2026-09-10,wms,24,24,0,0,0.908,100.0,pass,False
2026-09-11,wms,24,24,0,0,0.904,100.0,pass,False
2026-09-12,wms,24,24,0,0,0.896,100.0,pass,False
2026-09-13,wms,24,24,0,0,0.911,100.0,pass,False
2026-09-14,wms,24,24,0,0,0.907,100.0,pass,False
2026-09-15,wms,24,24,0,0,0.916,100.0,pass,False
2026-09-16,wms,24,24,0,0,0.91,100.0,pass,False
2026-09-17,wms,24,24,0,0,0.901,100.0,pass,False
2026-09-18,wms,24,15,9,0,1.336,62.5,warn,False
2026-09-19,wms,24,0,13,11,2.259,0.0,error,False
2026-09-20,wms,24,12,0,12,2.721,50.0,pass,False
2026-09-21,wms,20,14,6,0,1.192,70.0,warn,True
