sku,fecha_snapshot,stock_actual,lead_time_dias
SKU-00112,2026-09-17,70,45
SKU-00095,2026-08-27,374,7
SKU-00095,2026-09-03,386,7
SKU-00095,2026-09-10,333,7
SKU-00095,2026-09-17,361,7
SKU-00114,2026-08-27,764,45
SKU-00114,2026-09-03,792,45
SKU-00114,2026-09-10,743,45
SKU-00114,2026-09-17,731,45
SKU-00056,2026-08-27,441,7
SKU-00056,2026-09-03,452,7
SKU-00056,2026-09-10,461,7
SKU-00056,2026-09-17,438,7
SKU-00067,2026-08-27,197,21
SKU-00067,2026-09-03,160,21
SKU-00067,2026-09-10,142,21
SKU-00067,2026-09-17,95,21
SKU-00111,2026-08-27,872,30
SKU-00111,2026-09-03,813,30
SKU-00111,2026-09-10,848,30
SKU-00111,2026-09-17,899,30
SKU-00122,2026-08-27,737,21
SKU-00122,2026-09-03,754,21
SKU-00122,2026-09-10,731,21
SKU-00122,2026-09-17,728,21
SKU-00020,2026-08-27,690,30
SKU-00020,2026-09-03,705,30
SKU-00020,2026-09-10,675,30
SKU-00020,2026-09-17,629,30
SKU-00145,2026-08-27,791,7
SKU-00145,2026-09-03,807,7
SKU-00145,2026-09-10,814,7
SKU-00145,2026-09-17,779,7
SKU-00057,2026-08-27,425,21
SKU-00057,2026-09-03,366,21
SKU-00057,2026-09-10,339,21
SKU-00057,2026-09-17,344,21
SKU-00127,2026-08-27,884,30
SKU-00127,2026-09-03,843,30
SKU-00127,2026-09-10,893,30
SKU-00127,2026-09-17,947,30
SKU-00033,2026-08-27,260,7
SKU-00033,2026-09-03,214,7
SKU-00033,2026-09-10,258,7
SKU-00033,2026-09-17,261,7
SKU-00080,2026-08-27,582,21
SKU-00080,2026-09-03,589,21
SKU-00080,2026-09-10,586,21
SKU-00080,2026-09-17,572,21
SKU-00060,2026-08-27,318,45
SKU-00060,2026-09-03,350,45
SKU-00060,2026-09-10,363,45
SKU-00060,2026-09-17,416,45
SKU-00010,2026-08-27,153,30
SKU-00010,2026-09-03,94,30
SKU-00010,2026-09-10,115,30
SKU-00010,2026-09-17,137,30
SKU-00025,2026-08-27,189,7
SKU-00025,2026-09-03,178,7
SKU-00025,2026-09-10,147,7
SKU-00025,2026-09-17,96,7
SKU-00146,2026-08-27,471,21
SKU-00146,2026-09-03,524,21
SKU-00146,2026-09-10,488,21
SKU-00146,2026-09-17,465,21
SKU-00064,2026-08-27,354,45
SKU-00064,2026-09-03,360,45
SKU-00064,2026-09-10,306,45
SKU-00064,2026-09-17,328,45
SKU-00109,2026-08-27,422,7
SKU-00109,2026-09-03,387,7
SKU-00109,2026-09-10,395,7
SKU-00109,2026-09-17,416,7
SKU-00045,2026-08-27,432,7
SKU-00045,2026-09-03,422,7
SKU-00045,2026-09-10,405,7
SKU-00045,2026-09-17,357,7
SKU-00121,2026-08-27,853,21
SKU-00121,2026-09-03,838,21
SKU-00121,2026-09-10,861,21
SKU-00121,2026-09-17,913,21
SKU-00068,2026-08-27,706,7
SKU-00068,2026-09-03,706,7
SKU-00068,2026-09-10,705,7
SKU-00068,2026-09-17,670,7
SKU-00104,2026-08-27,812,7
SKU-00104,2026-09-03,822,7
SKU-00104,2026-09-10,866,7
SKU-00104,2026-09-17,814,7
SKU-00096,2026-08-27,444,14
SKU-00096,2026-09-03,392,14
SKU-00096,2026-09-10,420,14
SKU-00096,2026-09-17,368,14
SKU-00097,2026-08-27,680,14
SKU-00097,2026-09-03,707,14
SKU-00097,2026-09-10,660,14
SKU-00097,2026-09-17,638,14
SKU-00014,2026-08-27,221,30
SKU-00014,2026-09-03,201,30
SKU-00014,2026-09-10,248,30
SKU-00014,2026-09-17,267,30
SKU-00030,2026-08-27,379,45
SKU-00030,2026-09-03,363,45
SKU-00030,2026-09-10,308,45
SKU-00030,2026-09-17,311,45
SKU-00054,2026-08-27,111,7
SKU-00054,2026-09-03,140,7
SKU-00054,2026-09-10,137,7
SKU-00054,2026-09-17,154,7
SKU-00047,2026-08-27,825,30
SKU-00047,2026-09-03,769,30
SKU-00047,2026-09-10,806,30
SKU-00047,2026-09-17,748,30
SKU-00149,2026-08-27,400,45
SKU-00149,2026-09-03,346,45
SKU-00149,2026-09-10,355,45
SKU-00149,2026-09-17,392,45
SKU-00040,2026-08-27,704,45
SKU-00040,2026-09-03,724,45
SKU-00040,2026-09-10,671,45
SKU-00040,2026-09-17,632,45
SKU-00077,2026-08-27,646,45
SKU-00077,2026-09-03,595,45
SKU-00077,2026-09-10,614,45
SKU-00077,2026-09-17,615,45
SKU-00106,2026-08-27,174,21
SKU-00106,2026-09-03,194,21
SKU-00106,2026-09-10,151,21
SKU-00106,2026-09-17,183,21
SKU-00016,2026-08-27,108,7
SKU-00016,2026-09-03,114,7
SKU-00016,2026-09-10,59,7
SKU-00016,2026-09-17,106,7
SKU-00072,2026-08-27,556,14
SKU-00072,2026-09-03,507,14
SKU-00072,2026-09-10,565,14
SKU-00072,2026-09-17,537,14
SKU-00123,2026-08-27,302,21
SKU-00123,2026-09-03,343,21
SKU-00123,2026-09-10,324,21
SKU-00123,2026-09-17,280,21
SKU-00052,2026-08-27,795,7
SKU-00052,2026-09-03,738,7
SKU-00052,2026-09-10,712,7
SKU-00052,2026-09-17,740,7
SKU-00140,2026-08-27,665,21
SKU-00140,2026-09-03,660,21
SKU-00140,2026-09-10,656,21
SKU-00140,2026-09-17,705,21
SKU-00088,2026-08-27,491,7
SKU-00088,2026-09-03,531,7
SKU-00088,2026-09-10,492,7
SKU-00088,2026-09-17,484,7
SKU-00135,2026-08-27,154,45
SKU-00135,2026-09-03,107,45
SKU-00135,2026-09-10,136,45
SKU-00135,2026-09-17,193,45
SKU-00038,2026-08-27,824,21
SKU-00038,2026-09-03,836,21
SKU-00038,2026-09-10,828,21
SKU-00038,2026-09-17,866,21
SKU-00116,2026-08-27,420,14
SKU-00116,2026-09-03,413,14
SKU-00116,2026-09-10,459,14
SKU-00116,2026-09-17,469,14
SKU-00015,2026-08-27,423,14
SKU-00015,2026-09-03,364,14
SKU-00015,2026-09-10,357,14
SKU-00015,2026-09-17,335,14
SKU-00018,2026-08-27,524,7
SKU-00018,2026-09-03,570,7
SKU-00018,2026-09-10,558,7
SKU-00018,2026-09-17,613,7
SKU-00075,2026-08-27,209,7
SKU-00075,2026-09-03,183,7
SKU-00075,2026-09-10,172,7
SKU-00075,2026-09-17,180,7
SKU-00084,2026-08-27,624,7
SKU-00084,2026-09-03,604,7
SKU-00084,2026-09-10,614,7
SKU-00084,2026-09-17,639,7
SKU-00147,2026-08-27,682,14
SKU-00147,2026-09-03,640,14
SKU-00147,2026-09-10,675,14
SKU-00147,2026-09-17,735,14
SKU-00107,2026-08-27,342,14
SKU-00107,2026-09-03,332,14
SKU-00107,2026-09-10,337,14
SKU-00107,2026-09-17,362,14
SKU-00091,2026-08-27,334,7
SKU-00091,2026-09-03,327,7
SKU-00091,2026-09-10,303,7
SKU-00091,2026-09-17,318,7
SKU-00044,2026-08-27,781,7
SKU-00044,2026-09-03,829,7
SKU-00044,2026-09-10,871,7
SKU-00044,2026-09-17,883,7
SKU-00128,2026-08-27,211,45
SKU-00128,2026-09-03,246,45
SKU-00128,2026-09-10,200,45
SKU-00128,2026-09-17,197,45
SKU-00012,2026-08-27,729,30
SKU-00012,2026-09-03,757,30
SKU-00012,2026-09-10,769,30
SKU-00012,2026-09-17,760,30
SKU-00113,2026-08-27,338,45
SKU-00113,2026-09-03,330,45
SKU-00113,2026-09-10,384,45
SKU-00113,2026-09-17,379,45
SKU-00023,2026-08-27,169,21
SKU-00023,2026-09-03,118,21
SKU-00023,2026-09-10,175,21
SKU-00023,2026-09-17,164,21
SKU-00074,2026-08-27,489,14
SKU-00074,2026-09-03,537,14
SKU-00074,2026-09-10,490,14
SKU-00074,2026-09-17,515,14
SKU-00058,2026-08-27,591,7
SKU-00058,2026-09-03,621,7
SKU-00058,2026-09-10,642,7
SKU-00058,2026-09-17,623,7
SKU-00006,2026-08-27,813,14
SKU-00006,2026-09-03,863,14
SKU-00006,2026-09-10,904,14
SKU-00006,2026-09-17,936,14
SKU-00003,2026-08-27,251,45
SKU-00003,2026-09-03,220,45
SKU-00003,2026-09-10,191,45
SKU-00003,2026-09-17,220,45
SKU-00117,2026-08-27,689,21
SKU-00117,2026-09-03,676,21
SKU-00117,2026-09-10,637,21
SKU-00117,2026-09-17,653,21
SKU-00105,2026-08-27,742,45
SKU-00105,2026-09-03,770,45
SKU-00105,2026-09-10,742,45
SKU-00105,2026-09-17,755,45
SKU-00099,2026-08-27,527,14
SKU-00099,2026-09-03,580,14
SKU-00099,2026-09-10,636,14
SKU-00099,2026-09-17,657,14
SKU-00139,2026-08-27,830,7
SKU-00139,2026-09-03,794,7
SKU-00139,2026-09-10,851,7
SKU-00139,2026-09-17,876,7
SKU-00093,2026-08-27,403,21
SKU-00093,2026-09-03,374,21
SKU-00093,2026-09-10,341,21
SKU-00093,2026-09-17,310,21
SKU-00142,2026-08-27,237,30
SKU-00142,2026-09-03,229,30
SKU-00142,2026-09-10,241,30
SKU-00142,2026-09-17,241,30
SKU-00061,2026-08-27,422,14
SKU-00061,2026-09-03,456,14
SKU-00061,2026-09-10,400,14
SKU-00061,2026-09-17,445,14
SKU-00138,2026-08-27,807,14
SKU-00138,2026-09-03,804,14
SKU-00138,2026-09-10,813,14
SKU-00138,2026-09-17,844,14
SKU-00037,2026-08-27,111,14
SKU-00037,2026-09-03,72,14
SKU-00037,2026-09-10,68,14
SKU-00037,2026-09-17,112,14
SKU-00051,2026-08-27,850,21
SKU-00051,2026-09-03,827,21
SKU-00051,2026-09-10,774,21
SKU-00051,2026-09-17,753,21
SKU-00048,2026-08-27,704,30
SKU-00048,2026-09-03,676,30
SKU-00048,2026-09-10,705,30
SKU-00048,2026-09-17,723,30
SKU-00002,2026-08-27,563,30
SKU-00002,2026-09-03,568,30
SKU-00002,2026-09-10,537,30
SKU-00002,2026-09-17,562,30
SKU-00132,2026-08-27,822,7
SKU-00132,2026-09-03,816,7
SKU-00132,2026-09-10,840,7
SKU-00132,2026-09-17,818,7
SKU-00046,2026-08-27,760,45
SKU-00046,2026-09-03,806,45
SKU-00046,2026-09-10,822,45
SKU-00046,2026-09-17,790,45
SKU-00085,2026-08-27,781,30
SKU-00085,2026-09-03,776,30
SKU-00085,2026-09-10,718,30
SKU-00085,2026-09-17,717,30
SKU-00150,2026-08-27,387,7
SKU-00150,2026-09-03,364,7
SKU-00150,2026-09-10,422,7
SKU-00150,2026-09-17,442,7
SKU-00089,2026-08-27,167,30
SKU-00089,2026-09-03,109,30
SKU-00089,2026-09-10,153,30
SKU-00089,2026-09-17,174,30
SKU-00004,2026-08-27,705,21
SKU-00004,2026-09-03,656,21
SKU-00004,2026-09-10,715,21
SKU-00004,2026-09-17,745,21
SKU-00130,2026-08-27,904,21
SKU-00130,2026-09-03,881,21
SKU-00130,2026-09-10,888,21
SKU-00130,2026-09-17,944,21
SKU-00090,2026-08-27,351,30
SKU-00090,2026-09-03,393,30
SKU-00090,2026-09-10,441,30
SKU-00090,2026-09-17,417,30
SKU-00137,2026-08-27,92,45
SKU-00137,2026-09-03,66,45
SKU-00137,2026-09-10,23,45
SKU-00137,2026-09-17,1,45
SKU-00152,2026-08-27,548,7
SKU-00152,2026-09-03,574,7
SKU-00152,2026-09-10,562,7
SKU-00152,2026-09-17,555,7
SKU-00119,2026-08-27,461,7
SKU-00119,2026-09-03,477,7
SKU-00119,2026-09-10,479,7
SKU-00119,2026-09-17,480,7
SKU-00062,2026-08-27,514,7
SKU-00062,2026-09-03,497,7
SKU-00062,2026-09-10,515,7
SKU-00062,2026-09-17,498,7
SKU-00144,2026-08-27,350,14
SKU-00144,2026-09-03,394,14
SKU-00144,2026-09-10,359,14
SKU-00144,2026-09-17,391,14
SKU-00063,2026-08-27,833,7
SKU-00063,2026-09-03,777,7
SKU-00063,2026-09-10,805,7
SKU-00063,2026-09-17,854,7
SKU-00133,2026-08-27,878,14
SKU-00133,2026-09-03,866,14
SKU-00133,2026-09-10,806,14
SKU-00133,2026-09-17,756,14
