cliente_id,antiguedad_meses,gasto_mensual_mxn,tickets_soporte_90d,dias_desde_ultima_actividad,usage_score,tipo_contrato,plan,churn_historico
CLI-00030,26.0,939.58,1,11.0,51.5,Anual,Starter,0
CLI-00031,12.0,1255.53,0,1.0,80.6,Mensual,Starter,0
CLI-00032,44.0,775.02,0,42.0,22.4,Mensual,Pro,0
CLI-00033,11.0,1747.97,2,14.0,36.0,Anual,Starter,0
CLI-00034,11.0,553.6,1,36.0,28.2,Mensual,Pro,0
CLI-00035,10.0,1402.13,2,42.0,63.6,Mensual,Starter,0
CLI-00036,14.0,1386.56,0,5.0,75.3,Mensual,Pro,0
CLI-00037,12.0,668.46,1,5.0,86.9,Mensual,Starter,0
CLI-00038,19.0,1139.21,2,17.0,76.7,Anual,Business,0
CLI-00039,21.0,733.4,3,10.0,72.5,Anual,Pro,1
CLI-00040,60.0,716.58,0,46.0,81.2,Mensual,Pro,0
CLI-00041,23.0,1077.51,1,2.0,68.8,Mensual,Starter,0
CLI-00042,10.0,216.3,1,16.0,61.1,Anual,Starter,0
CLI-00043,20.0,476.39,2,7.0,65.3,Anual,Pro,0
CLI-00044,41.0,747.98,1,25.0,66.3,Mensual,Starter,0
CLI-00045,26.0,105.6,1,4.0,38.5,Mensual,Starter,0
CLI-00046,14.0,334.48,2,19.0,48.7,Mensual,Starter,0
CLI-00047,5.0,876.9,1,1.0,75.3,Mensual,Starter,0
CLI-00048,11.0,775.97,1,9.0,16.9,Anual,Business,0
CLI-00049,50.0,1136.45,0,16.0,40.7,Anual,Starter,0
CLI-00050,8.0,565.81,1,11.0,54.6,Mensual,Starter,0
CLI-00051,60.0,1345.73,1,10.0,86.9,Anual,Pro,0
CLI-00052,29.0,429.05,0,19.0,52.8,Mensual,Pro,0
CLI-00053,8.0,473.04,0,5.0,51.2,Mensual,Pro,0
CLI-00054,25.0,370.37,0,1.0,60.4,Mensual,Starter,0
CLI-00055,24.0,382.17,1,4.0,58.9,Anual,Pro,0
CLI-00056,5.0,483.43,2,0.0,39.7,Mensual,Starter,0
CLI-00057,7.0,1020.34,1,13.0,92.6,Anual,Pro,0
CLI-00058,6.0,1169.72,2,6.0,70.8,Mensual,Starter,0
CLI-00059,19.0,224.44,1,11.0,49.1,Anual,Business,0
CLI-00060,15.0,506.71,1,97.0,39.8,Anual,Business,1
CLI-00061,6.0,454.25,0,63.0,53.2,Mensual,Starter,0
CLI-00062,9.0,616.32,0,9.0,47.0,Mensual,Business,0
CLI-00063,6.0,178.91,0,2.0,57.5,Mensual,Business,0
CLI-00064,2.0,979.29,0,5.0,45.5,Anual,Starter,0
CLI-00065,19.0,451.33,1,1.0,63.5,Mensual,Starter,0
CLI-00066,7.0,1555.88,2,6.0,74.1,Mensual,Starter,0
CLI-00067,8.0,555.47,2,16.0,28.9,Anual,Pro,0
CLI-00068,2.0,1170.2,1,7.0,80.9,Mensual,Starter,0
CLI-00069,15.0,2203.33,1,15.0,66.5,Mensual,Pro,0
CLI-00070,9.0,67.12,1,21.0,48.9,Mensual,Starter,0
CLI-00071,6.0,1108.83,1,4.0,30.9,Mensual,Business,0
CLI-00072,23.0,572.5,0,37.0,38.1,Anual,Starter,0
CLI-00073,11.0,743.83,0,48.0,82.6,Mensual,Business,0
CLI-00074,12.0,263.82,0,45.0,87.5,Mensual,Starter,0
CLI-00075,22.0,489.46,0,5.0,59.8,Anual,Business,0
CLI-00076,5.0,195.83,0,13.0,57.5,Anual,Starter,0
CLI-00077,23.0,670.04,1,31.0,34.2,Anual,Starter,0
CLI-00078,24.0,1031.06,0,35.0,56.9,Mensual,Starter,0
CLI-00079,14.0,678.18,0,22.0,100.0,Anual,Starter,0
CLI-00080,22.0,945.01,1,6.0,90.7,Mensual,Pro,0
CLI-00081,14.0,759.45,0,8.0,79.4,Mensual,Business,0
CLI-00082,5.0,830.34,0,5.0,82.5,Mensual,Business,0
CLI-00083,24.0,1234.18,0,28.0,44.6,Mensual,Starter,0
CLI-00084,16.0,519.95,1,6.0,64.6,Mensual,Starter,0
CLI-00085,21.0,511.1,1,2.0,30.0,Mensual,Starter,0
CLI-00086,40.0,346.43,0,16.0,66.5,Anual,Business,0
CLI-00087,3.0,531.77,2,11.0,60.4,Anual,Business,0
CLI-00088,11.0,1119.67,3,11.0,39.1,Anual,Starter,0
CLI-00089,29.0,467.31,3,12.0,55.4,Mensual,Starter,0
CLI-00090,6.0,380.93,1,34.0,65.7,Mensual,Starter,0
CLI-00091,14.0,642.82,1,16.0,85.2,Mensual,Business,0
CLI-00092,23.0,1219.22,1,3.0,61.9,Mensual,Starter,0
CLI-00093,29.0,523.65,0,100.0,55.8,Mensual,Business,1
CLI-00094,16.0,290.55,2,23.0,56.3,Mensual,Business,1
CLI-00095,3.0,731.03,0,3.0,63.0,Mensual,Pro,0
CLI-00096,4.0,325.74,1,14.0,72.5,Anual,Pro,0
CLI-00097,8.0,1060.88,0,18.0,48.9,Anual,Starter,0
CLI-00098,8.0,911.68,0,19.0,38.9,Mensual,Pro,0
CLI-00099,7.0,727.66,0,6.0,45.4,Anual,Starter,0
CLI-00100,3.0,401.42,1,14.0,81.8,Mensual,Pro,0
CLI-00101,12.0,1878.0,2,28.0,57.1,Mensual,Pro,0
CLI-00102,9.0,560.72,1,2.0,64.6,Mensual,Pro,0
CLI-00103,15.0,377.17,1,37.0,30.3,Anual,Starter,0
CLI-00104,3.0,1394.79,1,20.0,80.2,Mensual,Starter,0
CLI-00105,7.0,589.06,0,11.0,61.7,Anual,Pro,1
CLI-00106,18.0,935.04,2,15.0,45.5,Anual,Business,0
CLI-00107,21.0,428.44,1,4.0,53.5,Anual,Business,0
CLI-00108,28.0,676.52,1,10.0,58.8,Mensual,Starter,0
CLI-00109,21.0,351.03,1,13.0,94.2,Anual,Starter,0
CLI-00110,60.0,1157.31,1,3.0,34.1,Anual,Starter,0
CLI-00111,8.0,959.71,0,37.0,80.8,Mensual,Pro,0
CLI-00112,23.0,745.17,1,10.0,69.8,Mensual,Starter,0
CLI-00113,18.0,476.41,1,1.0,41.6,Mensual,Business,0
CLI-00114,51.0,583.55,0,16.0,53.7,Mensual,Business,0
CLI-00115,20.0,1021.36,0,25.0,70.3,Mensual,Business,0
CLI-00116,19.0,913.0,1,18.0,80.5,Mensual,Starter,0
CLI-00117,22.0,1162.43,0,13.0,33.2,Mensual,Business,0
CLI-00118,31.0,443.36,4,11.0,59.9,Mensual,Starter,0
CLI-00119,3.0,245.15,2,14.0,48.0,Mensual,Pro,1
CLI-00120,14.0,1419.64,1,34.0,50.0,Mensual,Starter,1
CLI-00121,12.0,676.65,2,5.0,39.3,Anual,Starter,0
CLI-00122,11.0,362.59,2,1.0,55.4,Anual,Starter,0
CLI-00123,25.0,834.05,1,28.0,50.6,Mensual,Pro,0
CLI-00124,17.0,563.3,3,45.0,69.2,Mensual,Pro,0
CLI-00125,1.0,581.05,1,6.0,57.8,Anual,Starter,0
CLI-00126,9.0,812.03,0,4.0,33.9,Anual,Pro,0
CLI-00127,2.0,262.33,0,45.0,100.0,Mensual,Pro,0
CLI-00128,37.0,605.88,0,22.0,24.0,Mensual,Pro,0
CLI-00129,15.0,108.96,1,7.0,37.9,Mensual,Pro,0
CLI-00130,41.0,456.23,4,2.0,86.1,Mensual,Pro,0
CLI-00131,17.0,491.86,1,13.0,79.8,Mensual,Pro,0
CLI-00132,13.0,792.59,1,5.0,71.6,Anual,Pro,0
CLI-00133,9.0,1356.03,3,2.0,55.6,Mensual,Starter,0
CLI-00134,16.0,1786.56,2,57.0,93.1,Anual,Starter,0
CLI-00135,42.0,1313.64,1,30.0,56.9,Mensual,Starter,0
CLI-00136,25.0,1137.15,3,16.0,56.8,Mensual,Starter,0
CLI-00137,37.0,972.61,3,34.0,38.0,Mensual,Starter,0
CLI-00138,2.0,536.81,0,6.0,51.7,Mensual,Starter,0
CLI-00139,9.0,2835.22,3,14.0,74.8,Mensual,Pro,0
CLI-00140,15.0,801.48,0,9.0,60.1,Mensual,Pro,0
CLI-00141,11.0,1035.83,2,11.0,41.1,Anual,Pro,0
CLI-00142,6.0,1185.68,1,6.0,86.3,Mensual,Starter,0
CLI-00143,13.0,1514.74,2,8.0,38.6,Anual,Pro,0
CLI-00144,10.0,764.16,0,22.0,21.2,Mensual,Pro,1
CLI-00145,13.0,617.08,1,12.0,58.9,Mensual,Pro,0
CLI-00146,13.0,651.68,1,9.0,58.7,Mensual,Pro,0
CLI-00147,7.0,1803.39,1,2.0,52.3,Mensual,Starter,0
CLI-00148,20.0,725.51,2,0.0,63.2,Anual,Business,0
CLI-00149,5.0,1301.79,1,22.0,38.6,Mensual,Starter,0
CLI-00150,46.0,675.05,1,19.0,66.2,Anual,Starter,0
CLI-00151,11.0,1934.11,0,17.0,30.5,Anual,Pro,0
CLI-00152,19.0,555.33,1,11.0,66.1,Mensual,Pro,0
CLI-00153,16.0,932.96,2,44.0,61.9,Mensual,Starter,0
CLI-00154,6.0,975.66,2,7.0,92.3,Mensual,Pro,0
CLI-00155,16.0,612.2,1,93.0,64.4,Mensual,Pro,1
CLI-00156,34.0,347.63,2,16.0,70.8,Anual,Pro,0
CLI-00157,1.0,872.33,1,9.0,73.4,Mensual,Business,0
CLI-00158,20.0,321.04,1,15.0,44.4,Mensual,Business,0
CLI-00159,49.0,400.15,0,26.0,72.5,Anual,Pro,0
CLI-00160,12.0,469.59,1,28.0,76.7,Anual,Business,0
CLI-00161,28.0,928.44,0,5.0,38.3,Anual,Starter,0
CLI-00162,27.0,1305.0,0,14.0,76.3,Anual,Starter,0
CLI-00163,14.0,571.12,1,2.0,59.3,Mensual,Business,0
CLI-00164,22.0,1048.89,1,19.0,55.5,Anual,Pro,0
CLI-00165,15.0,1259.0,1,5.0,28.7,Mensual,Pro,0
CLI-00166,21.0,852.77,2,18.0,73.0,Mensual,Pro,0
CLI-00167,8.0,996.7,1,17.0,27.3,Mensual,Pro,1
CLI-00168,21.0,977.12,2,12.0,100.0,Mensual,Business,0
CLI-00169,24.0,1863.62,1,24.0,78.2,Mensual,Starter,1
CLI-00170,23.0,1092.53,1,19.0,70.0,Mensual,Pro,0
CLI-00171,9.0,623.18,0,27.0,96.2,Mensual,Pro,0
CLI-00172,6.0,1669.11,0,12.0,100.0,Mensual,Business,0
CLI-00173,24.0,1019.62,1,1.0,87.0,Mensual,Starter,0
CLI-00174,13.0,192.05,0,12.0,63.0,Anual,Pro,0
CLI-00175,41.0,2957.15,2,69.0,69.4,Anual,Starter,0
CLI-00176,22.0,591.2,4,3.0,45.5,Anual,Pro,0
CLI-00177,11.0,1960.89,2,11.0,86.1,Mensual,Pro,0
CLI-00178,53.0,992.25,1,62.0,49.2,Mensual,Pro,1
CLI-00179,35.0,531.06,1,56.0,55.0,Mensual,Starter,0
CLI-00180,9.0,1777.3,1,15.0,35.4,Mensual,Business,1
CLI-00181,49.0,1018.72,0,13.0,36.1,Anual,Starter,0
CLI-00182,5.0,1413.95,1,66.0,52.2,Mensual,Starter,0
CLI-00183,24.0,936.82,0,0.0,68.3,Anual,Pro,0
CLI-00184,9.0,704.95,1,1.0,61.0,Mensual,Pro,0
CLI-00185,8.0,796.6,0,14.0,55.3,Mensual,Business,0
CLI-00186,16.0,975.32,2,26.0,36.2,Anual,Starter,0
CLI-00187,20.0,790.3,0,19.0,44.7,Mensual,Starter,0
CLI-00188,10.0,683.8,3,15.0,33.6,Mensual,Pro,0
CLI-00189,37.0,765.96,0,33.0,42.0,Mensual,Starter,0
CLI-00190,22.0,735.96,1,18.0,42.9,Anual,Business,0
CLI-00191,30.0,481.82,0,12.0,96.4,Mensual,Pro,0
CLI-00192,8.0,930.04,4,9.0,78.3,Anual,Pro,0
CLI-00193,30.0,1410.17,1,28.0,43.0,Anual,Starter,0
CLI-00194,5.0,1232.75,2,6.0,48.1,Mensual,Starter,0
CLI-00195,37.0,630.18,2,6.0,33.4,Anual,Starter,0
CLI-00196,4.0,749.03,2,0.0,95.4,Mensual,Starter,0
CLI-00197,7.0,871.34,0,3.0,56.1,Mensual,Starter,0
CLI-00198,6.0,242.97,2,46.0,59.3,Mensual,Business,0
CLI-00199,9.0,820.66,3,1.0,58.1,Mensual,Starter,0
CLI-00200,3.0,686.56,2,11.0,63.9,Anual,Pro,1
CLI-00201,2.0,371.89,0,13.0,86.5,Mensual,Pro,0
CLI-00202,10.0,1308.76,0,29.0,64.7,Anual,Pro,0
CLI-00203,21.0,643.14,3,30.0,84.4,Mensual,Pro,0
CLI-00204,17.0,317.75,2,9.0,81.3,Mensual,Starter,0
CLI-00205,14.0,2067.62,3,1.0,37.1,Anual,Business,0
CLI-00206,17.0,1383.81,0,31.0,48.9,Mensual,Pro,1
CLI-00207,3.0,769.91,1,29.0,69.5,Anual,Starter,0
CLI-00208,20.0,407.19,1,6.0,79.6,Mensual,Pro,0
CLI-00209,18.0,982.94,2,13.0,79.6,Anual,Starter,0
CLI-00210,40.0,616.04,2,7.0,70.3,Mensual,Pro,0
CLI-00211,22.0,699.84,1,21.0,87.0,Anual,Pro,0
CLI-00212,31.0,784.74,1,14.0,64.9,Anual,Pro,0
CLI-00213,9.0,1062.23,0,18.0,90.8,Mensual,Pro,0
CLI-00214,4.0,1241.59,3,9.0,60.1,Anual,Business,0
CLI-00215,26.0,531.54,2,13.0,72.9,Anual,Starter,0
CLI-00216,14.0,1107.3,1,17.0,83.8,Mensual,Business,0
CLI-00217,24.0,1298.4,1,12.0,76.2,Mensual,Starter,0
CLI-00218,52.0,502.64,3,4.0,70.6,Mensual,Pro,0
CLI-00219,38.0,1050.84,2,29.0,68.2,Mensual,Business,0
CLI-00220,22.0,1310.49,3,21.0,31.4,Mensual,Starter,1
CLI-00221,13.0,1541.6,1,44.0,67.5,Mensual,Starter,0
CLI-00222,23.0,574.96,2,4.0,77.4,Mensual,Starter,0
CLI-00223,13.0,1666.67,1,7.0,70.4,Mensual,Business,0
CLI-00224,6.0,1485.3,2,2.0,76.1,Mensual,Pro,0
CLI-00225,27.0,1260.49,2,32.0,75.8,Anual,Starter,0
CLI-00226,20.0,744.64,1,3.0,72.9,Anual,Business,0
CLI-00227,2.0,970.56,0,9.0,78.9,Mensual,Starter,0
CLI-00228,34.0,265.97,2,8.0,67.3,Mensual,Pro,0
CLI-00229,39.0,822.94,0,7.0,69.8,Anual,Business,0
CLI-00230,7.0,686.83,1,15.0,31.1,Mensual,Starter,0
CLI-00231,6.0,194.1,0,40.0,47.5,Anual,Starter,0
CLI-00232,9.0,650.47,2,5.0,42.3,Anual,Starter,0
CLI-00233,10.0,609.87,0,13.0,87.7,Mensual,Pro,0
CLI-00234,8.0,327.27,1,16.0,49.9,Mensual,Business,0
CLI-00235,21.0,686.47,2,14.0,56.0,Mensual,Pro,0
CLI-00236,17.0,616.91,0,30.0,91.4,Mensual,Starter,0
CLI-00237,54.0,915.18,1,7.0,67.2,Mensual,Pro,0
CLI-00238,5.0,343.3,3,52.0,59.7,Mensual,Business,0
CLI-00239,8.0,607.52,1,26.0,91.1,Anual,Pro,0
CLI-00240,14.0,546.08,1,23.0,79.3,Mensual,Pro,0
CLI-00241,10.0,701.33,1,1.0,69.2,Anual,Starter,0
CLI-00242,24.0,2298.48,1,4.0,59.7,Mensual,Pro,0
CLI-00243,18.0,1138.87,2,2.0,24.0,Anual,Pro,0
CLI-00244,9.0,1113.11,0,55.0,43.7,Mensual,Pro,0
CLI-00245,26.0,663.68,0,77.0,57.9,Mensual,Starter,0
CLI-00246,25.0,1055.4,4,33.0,53.1,Mensual,Starter,1
CLI-00247,31.0,151.28,0,5.0,50.7,Mensual,Business,0
CLI-00248,7.0,827.2,2,34.0,56.4,Mensual,Pro,0
CLI-00249,19.0,309.66,3,14.0,70.5,Mensual,Pro,0
CLI-00250,15.0,333.72,0,30.0,52.6,Mensual,Business,0
CLI-00251,10.0,439.71,1,8.0,71.6,Anual,Pro,0
CLI-00252,29.0,1154.66,0,18.0,63.4,Anual,Pro,0
CLI-00253,47.0,423.55,0,26.0,76.9,Mensual,Starter,0
CLI-00254,43.0,613.09,0,11.0,40.0,Mensual,Business,0
CLI-00255,6.0,1829.92,1,8.0,68.5,Anual,Pro,0
CLI-00256,32.0,974.74,1,3.0,66.5,Anual,Starter,0
CLI-00257,19.0,342.58,1,53.0,48.1,Mensual,Starter,0
CLI-00258,7.0,401.87,0,34.0,59.9,Anual,Pro,0
CLI-00259,31.0,170.39,2,38.0,64.7,Mensual,Pro,0
CLI-00260,14.0,724.65,1,2.0,57.0,Anual,Pro,0
CLI-00261,15.0,613.96,0,6.0,73.4,Anual,Starter,0
CLI-00262,29.0,471.76,0,1.0,45.3,Anual,Starter,0
CLI-00263,18.0,745.54,0,13.0,64.7,Mensual,Starter,0
CLI-00264,5.0,515.48,0,33.0,79.5,Anual,Business,0
CLI-00265,7.0,380.41,0,10.0,42.5,Anual,Starter,0
CLI-00266,9.0,1286.13,0,5.0,100.0,Mensual,Starter,0
CLI-00267,13.0,1166.34,0,2.0,78.7,Anual,Pro,0
CLI-00268,22.0,338.54,0,84.0,39.8,Anual,Business,1
CLI-00269,17.0,539.1,0,17.0,56.2,Mensual,Starter,0
CLI-00270,5.0,379.43,0,4.0,66.0,Anual,Business,0
CLI-00271,3.0,877.01,0,27.0,65.8,Mensual,Starter,1
CLI-00272,12.0,862.35,2,46.0,68.1,Mensual,Starter,0
CLI-00273,23.0,771.41,1,2.0,55.5,Anual,Business,0
CLI-00274,5.0,1587.37,2,7.0,15.9,Anual,Pro,0
CLI-00275,16.0,2008.35,2,5.0,94.6,Anual,Pro,0
CLI-00276,60.0,1883.35,0,16.0,39.3,Mensual,Pro,0
CLI-00277,7.0,331.57,1,9.0,83.8,Anual,Starter,0
CLI-00278,34.0,346.73,0,48.0,63.3,Mensual,Starter,0
CLI-00279,12.0,358.21,1,8.0,6.6,Anual,Pro,0
CLI-00280,17.0,534.48,1,14.0,53.6,Anual,Starter,0
CLI-00281,7.0,782.12,1,9.0,99.5,Mensual,Starter,0
CLI-00282,48.0,594.12,0,12.0,69.6,Anual,Pro,0
CLI-00283,3.0,2398.64,3,3.0,51.0,Mensual,Pro,0
CLI-00284,10.0,1050.17,1,7.0,76.7,Mensual,Pro,0
CLI-00285,17.0,480.33,0,3.0,31.9,Anual,Starter,0
CLI-00286,7.0,1614.07,3,50.0,52.2,Mensual,Pro,0
CLI-00287,4.0,1408.56,1,23.0,50.7,Mensual,Starter,0
CLI-00288,60.0,1059.91,0,13.0,69.8,Anual,Starter,0
CLI-00289,13.0,217.5,2,27.0,62.2,Mensual,Starter,0
CLI-00290,28.0,1014.35,0,26.0,47.5,Mensual,Pro,1
CLI-00291,39.0,550.98,0,9.0,59.9,Mensual,Starter,0
CLI-00292,12.0,1182.62,1,21.0,91.2,Anual,Pro,0
CLI-00293,10.0,651.82,2,10.0,62.4,Anual,Business,0
CLI-00294,2.0,578.34,1,15.0,65.6,Mensual,Business,0
CLI-00295,39.0,1931.38,1,18.0,69.0,Mensual,Business,0
CLI-00296,33.0,1291.39,1,15.0,100.0,Mensual,Business,0
CLI-00297,18.0,260.3,2,0.0,73.2,Mensual,Business,0
CLI-00298,60.0,276.29,1,18.0,77.2,Anual,Business,0
CLI-00299,6.0,200.79,0,12.0,45.0,Anual,Starter,0
CLI-00300,37.0,2106.46,2,23.0,49.2,Mensual,Pro,0
CLI-00301,8.0,2229.52,1,49.0,57.8,Mensual,Starter,0
CLI-00302,3.0,1220.21,2,16.0,74.5,Mensual,Pro,0
CLI-00303,15.0,1399.86,1,10.0,69.5,Mensual,Pro,0
CLI-00304,3.0,1636.03,0,15.0,100.0,Mensual,Pro,0
CLI-00305,13.0,1009.09,1,30.0,43.9,Anual,Starter,0
CLI-00306,7.0,1157.99,1,11.0,66.5,Anual,Starter,0
CLI-00307,9.0,208.3,1,11.0,69.2,Mensual,Pro,0
CLI-00308,7.0,895.98,0,80.0,100.0,Mensual,Starter,0
CLI-00309,9.0,967.14,2,30.0,55.5,Mensual,Business,0
CLI-00310,32.0,782.18,1,14.0,76.1,Mensual,Business,0
CLI-00311,29.0,667.5,0,8.0,50.4,Mensual,Pro,0
CLI-00312,15.0,785.52,2,19.0,45.8,Mensual,Starter,0
CLI-00313,9.0,268.15,0,11.0,57.7,Mensual,Pro,0
CLI-00314,15.0,604.93,0,20.0,54.1,Mensual,Business,0
CLI-00315,7.0,548.89,3,12.0,25.1,Anual,Pro,0
CLI-00316,28.0,519.32,1,11.0,59.2,Anual,Starter,0
CLI-00317,18.0,2228.42,1,13.0,42.7,Anual,Pro,0
CLI-00318,15.0,941.32,0,31.0,52.5,Anual,Pro,0
CLI-00319,16.0,273.09,2,6.0,69.5,Mensual,Pro,0
CLI-00320,1.0,652.06,2,17.0,67.6,Anual,Starter,0
CLI-00321,4.0,1015.13,0,46.0,43.4,Anual,Pro,0
CLI-00322,8.0,1116.42,4,2.0,42.7,Anual,Business,0
CLI-00323,29.0,596.97,2,4.0,44.7,Anual,Pro,0
CLI-00324,9.0,247.18,1,15.0,62.0,Anual,Business,0
CLI-00325,25.0,392.8,1,6.0,70.0,Mensual,Pro,0
CLI-00326,20.0,959.66,2,10.0,77.3,Mensual,Starter,0
CLI-00327,14.0,1041.43,0,69.0,46.7,Mensual,Starter,0
CLI-00328,5.0,389.34,0,6.0,29.4,Mensual,Starter,0
CLI-00329,3.0,911.7,1,16.0,38.6,Mensual,Starter,0
CLI-00330,12.0,1746.34,2,66.0,40.6,Anual,Starter,1
CLI-00331,28.0,335.53,2,21.0,59.5,Mensual,Business,0
CLI-00332,2.0,1072.53,1,0.0,37.0,Mensual,Business,0
CLI-00333,60.0,156.04,1,1.0,55.7,Anual,Starter,0
CLI-00334,13.0,1234.05,0,2.0,33.0,Anual,Pro,0
CLI-00335,58.0,526.78,1,3.0,97.1,Anual,Starter,0
CLI-00336,9.0,742.75,0,30.0,66.6,Mensual,Starter,0
CLI-00337,3.0,1067.27,0,47.0,55.5,Mensual,Pro,0
CLI-00338,3.0,620.8,0,27.0,48.4,Mensual,Starter,0
CLI-00339,22.0,677.82,1,23.0,47.4,Mensual,Starter,0
CLI-00340,6.0,267.36,1,16.0,69.0,Mensual,Pro,0
CLI-00341,16.0,2065.81,0,35.0,53.3,Mensual,Business,0
CLI-00342,10.0,298.09,1,13.0,49.9,Mensual,Pro,0
CLI-00343,11.0,795.17,1,19.0,42.9,Anual,Pro,0
CLI-00344,3.0,1940.32,0,1.0,36.3,Anual,Starter,0
CLI-00345,25.0,708.55,1,22.0,66.1,Mensual,Pro,0
CLI-00346,4.0,758.78,0,24.0,66.6,Anual,Pro,0
CLI-00347,4.0,1330.67,0,38.0,66.4,Mensual,Pro,0
CLI-00348,5.0,762.45,1,4.0,72.4,Mensual,Pro,0
CLI-00349,4.0,585.1,1,45.0,64.8,Anual,Pro,0
CLI-00350,20.0,532.7,1,16.0,91.0,Mensual,Starter,0
CLI-00351,21.0,1220.56,2,78.0,22.9,Mensual,Starter,1
CLI-00352,19.0,533.27,0,7.0,66.9,Mensual,Pro,0
CLI-00353,13.0,2428.41,0,19.0,73.1,Mensual,Pro,0
CLI-00354,9.0,455.88,3,44.0,79.8,Mensual,Pro,0
CLI-00355,48.0,453.19,4,8.0,59.8,Mensual,Starter,0
CLI-00356,10.0,1203.44,0,11.0,90.9,Mensual,Pro,0
CLI-00357,8.0,904.03,0,4.0,88.9,Mensual,Starter,0
CLI-00358,5.0,1437.13,2,16.0,64.4,Mensual,Starter,0
CLI-00359,18.0,832.37,3,11.0,40.3,Anual,Pro,0
CLI-00360,20.0,864.6,0,8.0,61.3,Mensual,Starter,0
CLI-00361,14.0,909.79,1,48.0,85.3,Mensual,Starter,0
CLI-00362,13.0,915.41,2,2.0,61.8,Mensual,Pro,0
CLI-00363,23.0,1025.34,4,29.0,100.0,Mensual,Starter,0
CLI-00364,19.0,704.17,0,27.0,43.8,Mensual,Starter,0
CLI-00365,19.0,565.04,2,16.0,57.3,Anual,Business,0
CLI-00366,4.0,542.84,1,4.0,68.2,Mensual,Starter,0
CLI-00367,36.0,415.44,1,1.0,72.2,Anual,Pro,0
CLI-00368,13.0,159.13,0,2.0,43.5,Mensual,Business,0
CLI-00369,51.0,1122.44,0,15.0,71.3,Mensual,Business,0
CLI-00370,7.0,716.51,2,65.0,50.7,Anual,Pro,0
CLI-00371,45.0,1372.81,4,5.0,76.1,Mensual,Business,0
CLI-00372,12.0,690.22,0,26.0,45.4,Anual,Pro,0
CLI-00373,30.0,622.8,3,18.0,71.5,Mensual,Starter,0
CLI-00374,25.0,364.43,2,9.0,42.3,Mensual,Business,0
CLI-00375,4.0,778.08,1,15.0,32.6,Mensual,Starter,0
CLI-00376,6.0,610.15,1,25.0,52.3,Anual,Starter,0
CLI-00377,14.0,590.94,2,54.0,65.1,Mensual,Starter,0
CLI-00378,22.0,526.67,2,10.0,49.8,Mensual,Pro,0
CLI-00379,19.0,790.1,1,0.0,58.9,Mensual,Pro,0
CLI-00380,18.0,390.15,0,12.0,40.4,Mensual,Pro,0
CLI-00381,21.0,912.23,1,17.0,80.9,Mensual,Pro,0
CLI-00382,14.0,604.53,1,18.0,88.3,Mensual,Starter,0
CLI-00383,12.0,597.79,3,16.0,67.4,Mensual,Pro,0
CLI-00384,4.0,445.3,0,1.0,49.8,Anual,Starter,0
CLI-00385,30.0,525.34,0,20.0,48.9,Mensual,Business,0
CLI-00386,29.0,1264.21,1,7.0,79.7,Mensual,Starter,0
CLI-00387,49.0,369.02,2,22.0,79.4,Mensual,Business,1
