evento_id,oportunidad_id,etapa,fecha_evento,vendedor_id
EVO-000102,OPP-000011,contactado,2025-01-11,VEN-012
EVO-000103,OPP-000015,calificado,2025-01-11,VEN-004
EVO-000104,OPP-000018,contactado,2025-01-11,VEN-011
EVO-000105,OPP-000019,contactado,2025-01-11,VEN-007
EVO-000106,OPP-000024,contactado,2025-01-11,VEN-011
EVO-000107,OPP-000025,calificado,2025-01-11,VEN-001
EVO-000108,OPP-000028,propuesta,2025-01-11,VEN-002
EVO-000109,OPP-000033,contactado,2025-01-11,VEN-006
EVO-000110,OPP-000033,calificado,2025-01-11,VEN-006
EVO-000111,OPP-000046,calificado,2025-01-11,VEN-004
EVO-000112,OPP-000054,contactado,2025-01-11,VEN-012
EVO-000113,OPP-000055,contactado,2025-01-11,VEN-012
EVO-000114,OPP-000055,calificado,2025-01-11,VEN-012
EVO-000115,OPP-000057,contactado,2025-01-11,VEN-010
EVO-000116,OPP-000016,contactado,2025-01-12,VEN-005
EVO-000117,OPP-000017,contactado,2025-01-12,VEN-010
EVO-000118,OPP-000034,cierre,2025-01-12,VEN-006
EVO-000119,OPP-000050,calificado,2025-01-12,VEN-009
EVO-000120,OPP-000055,propuesta,2025-01-12,VEN-012
EVO-000121,OPP-000003,contactado,2025-01-13,VEN-001
EVO-000122,OPP-000003,calificado,2025-01-13,VEN-001
EVO-000123,OPP-000003,propuesta,2025-01-13,VEN-001
EVO-000124,OPP-000003,cierre,2025-01-13,VEN-001
EVO-000125,OPP-000012,contactado,2025-01-13,VEN-002
EVO-000126,OPP-000018,calificado,2025-01-13,VEN-011
EVO-000127,OPP-000018,propuesta,2025-01-13,VEN-011
EVO-000128,OPP-000024,calificado,2025-01-13,VEN-011
EVO-000129,OPP-000029,propuesta,2025-01-13,VEN-002
EVO-000130,OPP-000041,calificado,2025-01-13,VEN-011
EVO-000131,OPP-000042,calificado,2025-01-13,VEN-007
EVO-000132,OPP-000044,contactado,2025-01-13,VEN-011
EVO-000133,OPP-000045,propuesta,2025-01-13,VEN-007
EVO-000134,OPP-000063,lead,2025-01-13,VEN-007
EVO-000135,OPP-000065,lead,2025-01-13,VEN-002
EVO-000136,OPP-000072,lead,2025-01-13,VEN-010
EVO-000137,OPP-000073,lead,2025-01-13,VEN-006
EVO-000138,OPP-000092,lead,2025-01-13,VEN-001
EVO-000139,OPP-000100,lead,2025-01-13,VEN-009
EVO-000140,OPP-000106,lead,2025-01-13,VEN-002
EVO-000141,OPP-000108,lead,2025-01-13,VEN-001
EVO-000142,OPP-000117,lead,2025-01-13,VEN-003
EVO-000143,OPP-000118,lead,2025-01-13,VEN-005
EVO-000144,OPP-000011,calificado,2025-01-14,VEN-012
EVO-000145,OPP-000017,calificado,2025-01-14,VEN-010
EVO-000146,OPP-000017,propuesta,2025-01-14,VEN-010
EVO-000147,OPP-000025,propuesta,2025-01-14,VEN-001
EVO-000148,OPP-000046,propuesta,2025-01-14,VEN-004
EVO-000149,OPP-000054,calificado,2025-01-14,VEN-012
EVO-000150,OPP-000062,lead,2025-01-14,VEN-009
EVO-000151,OPP-000062,contactado,2025-01-14,VEN-009
EVO-000152,OPP-000063,contactado,2025-01-14,VEN-007
EVO-000153,OPP-000064,lead,2025-01-14,VEN-008
EVO-000154,OPP-000068,lead,2025-01-14,VEN-009
EVO-000155,OPP-000068,contactado,2025-01-14,VEN-009
EVO-000156,OPP-000073,contactado,2025-01-14,VEN-006
EVO-000157,OPP-000075,lead,2025-01-14,VEN-008
EVO-000158,OPP-000077,lead,2025-01-14,VEN-005
EVO-000159,OPP-000081,lead,2025-01-14,VEN-002
EVO-000160,OPP-000086,lead,2025-01-14,VEN-011
EVO-000161,OPP-000090,lead,2025-01-14,VEN-012
EVO-000162,OPP-000092,contactado,2025-01-14,VEN-001
EVO-000163,OPP-000093,lead,2025-01-14,VEN-004
EVO-000164,OPP-000094,lead,2025-01-14,VEN-011
EVO-000165,OPP-000095,lead,2025-01-14,VEN-003
EVO-000166,OPP-000099,lead,2025-01-14,VEN-003
EVO-000167,OPP-000102,lead,2025-01-14,VEN-003
EVO-000168,OPP-000112,lead,2025-01-14,VEN-010
EVO-000169,OPP-000050,propuesta,2025-01-15,VEN-009
EVO-000170,OPP-000058,lead,2025-01-15,VEN-002
EVO-000171,OPP-000059,lead,2025-01-15,VEN-003
EVO-000172,OPP-000061,lead,2025-01-15,VEN-012
EVO-000173,OPP-000062,calificado,2025-01-15,VEN-009
EVO-000174,OPP-000063,calificado,2025-01-15,VEN-007
EVO-000175,OPP-000065,contactado,2025-01-15,VEN-002
EVO-000176,OPP-000071,lead,2025-01-15,VEN-010
EVO-000177,OPP-000072,contactado,2025-01-15,VEN-010
EVO-000178,OPP-000078,lead,2025-01-15,VEN-010
EVO-000179,OPP-000083,lead,2025-01-15,VEN-010
EVO-000180,OPP-000087,lead,2025-01-15,VEN-006
EVO-000181,OPP-000088,lead,2025-01-15,VEN-007
EVO-000182,OPP-000096,lead,2025-01-15,VEN-006
EVO-000183,OPP-000096,contactado,2025-01-15,VEN-006
EVO-000184,OPP-000097,lead,2025-01-15,VEN-003
EVO-000185,OPP-000099,contactado,2025-01-15,VEN-003
EVO-000186,OPP-000101,lead,2025-01-15,VEN-009
EVO-000187,OPP-000106,contactado,2025-01-15,VEN-002
EVO-000188,OPP-000106,calificado,2025-01-15,VEN-002
EVO-000189,OPP-000106,propuesta,2025-01-15,VEN-002
EVO-000190,OPP-000108,contactado,2025-01-15,VEN-001
EVO-000191,OPP-000109,lead,2025-01-15,VEN-008
EVO-000192,OPP-000109,contactado,2025-01-15,VEN-008
EVO-000193,OPP-000110,lead,2025-01-15,VEN-011
EVO-000194,OPP-000114,lead,2025-01-15,VEN-009
EVO-000195,OPP-000116,lead,2025-01-15,VEN-007
EVO-000196,OPP-000118,contactado,2025-01-15,VEN-005
EVO-000197,OPP-000118,calificado,2025-01-15,VEN-005
EVO-000198,OPP-000041,propuesta,2025-01-16,VEN-011
EVO-000199,OPP-000041,cierre,2025-01-16,VEN-011
EVO-000200,OPP-000042,propuesta,2025-01-16,VEN-007
EVO-000201,OPP-000042,cierre,2025-01-16,VEN-007
EVO-000202,OPP-000060,lead,2025-01-16,VEN-004
EVO-000203,OPP-000063,propuesta,2025-01-16,VEN-007
EVO-000204,OPP-000066,lead,2025-01-16,VEN-004
EVO-000205,OPP-000070,lead,2025-01-16,VEN-010
EVO-000206,OPP-000075,contactado,2025-01-16,VEN-008
EVO-000207,OPP-000076,lead,2025-01-16,VEN-012
EVO-000208,OPP-000077,contactado,2025-01-16,VEN-005
EVO-000209,OPP-000079,lead,2025-01-16,VEN-008
EVO-000210,OPP-000080,lead,2025-01-16,VEN-011
EVO-000211,OPP-000080,contactado,2025-01-16,VEN-011
EVO-000212,OPP-000085,lead,2025-01-16,VEN-001
EVO-000213,OPP-000090,contactado,2025-01-16,VEN-012
EVO-000214,OPP-000091,lead,2025-01-16,VEN-011
EVO-000215,OPP-000091,contactado,2025-01-16,VEN-011
EVO-000216,OPP-000094,contactado,2025-01-16,VEN-011
EVO-000217,OPP-000098,lead,2025-01-16,VEN-001
EVO-000218,OPP-000100,contactado,2025-01-16,VEN-009
EVO-000219,OPP-000104,lead,2025-01-16,VEN-005
EVO-000220,OPP-000111,lead,2025-01-16,VEN-006
EVO-000221,OPP-000114,contactado,2025-01-16,VEN-009
EVO-000222,OPP-000115,lead,2025-01-16,VEN-002
EVO-000223,OPP-000117,contactado,2025-01-16,VEN-003
EVO-000224,OPP-000046,cierre,2025-01-17,VEN-004
EVO-000225,OPP-000063,cierre,2025-01-17,VEN-007
EVO-000226,OPP-000067,lead,2025-01-17,VEN-010
EVO-000227,OPP-000069,lead,2025-01-17,VEN-003
EVO-000228,OPP-000074,lead,2025-01-17,VEN-006
EVO-000229,OPP-000078,contactado,2025-01-17,VEN-010
EVO-000230,OPP-000081,contactado,2025-01-17,VEN-002
EVO-000231,OPP-000082,lead,2025-01-17,VEN-006
EVO-000232,OPP-000084,lead,2025-01-17,VEN-010
EVO-000233,OPP-000086,contactado,2025-01-17,VEN-011
EVO-000234,OPP-000089,lead,2025-01-17,VEN-005
EVO-000235,OPP-000090,calificado,2025-01-17,VEN-012
EVO-000236,OPP-000093,contactado,2025-01-17,VEN-004
EVO-000237,OPP-000095,contactado,2025-01-17,VEN-003
EVO-000238,OPP-000101,contactado,2025-01-17,VEN-009
EVO-000239,OPP-000103,lead,2025-01-17,VEN-011
EVO-000240,OPP-000105,lead,2025-01-17,VEN-001
EVO-000241,OPP-000107,lead,2025-01-17,VEN-007
EVO-000242,OPP-000108,calificado,2025-01-17,VEN-001
EVO-000243,OPP-000110,contactado,2025-01-17,VEN-011
EVO-000244,OPP-000112,contactado,2025-01-17,VEN-010
EVO-000245,OPP-000113,lead,2025-01-17,VEN-011
EVO-000246,OPP-000113,contactado,2025-01-17,VEN-011
EVO-000247,OPP-000118,propuesta,2025-01-17,VEN-005
EVO-000248,OPP-000058,contactado,2025-01-18,VEN-002
EVO-000249,OPP-000067,contactado,2025-01-18,VEN-010
EVO-000250,OPP-000071,contactado,2025-01-18,VEN-010
EVO-000251,OPP-000072,calificado,2025-01-18,VEN-010
EVO-000252,OPP-000074,contactado,2025-01-18,VEN-006
EVO-000253,OPP-000081,calificado,2025-01-18,VEN-002
EVO-000254,OPP-000086,calificado,2025-01-18,VEN-011
EVO-000255,OPP-000088,contactado,2025-01-18,VEN-007
EVO-000256,OPP-000097,contactado,2025-01-18,VEN-003
EVO-000257,OPP-000111,contactado,2025-01-18,VEN-006
EVO-000258,OPP-000112,calificado,2025-01-18,VEN-010
EVO-000259,OPP-000114,calificado,2025-01-18,VEN-009
EVO-000260,OPP-000117,calificado,2025-01-18,VEN-003
EVO-000261,OPP-000060,contactado,2025-01-19,VEN-004
EVO-000262,OPP-000069,contactado,2025-01-19,VEN-003
EVO-000263,OPP-000074,calificado,2025-01-19,VEN-006
EVO-000264,OPP-000076,contactado,2025-01-19,VEN-012
EVO-000265,OPP-000081,propuesta,2025-01-19,VEN-002
EVO-000266,OPP-000084,contactado,2025-01-19,VEN-010
EVO-000267,OPP-000085,contactado,2025-01-19,VEN-001
EVO-000268,OPP-000098,contactado,2025-01-19,VEN-001
EVO-000269,OPP-000101,calificado,2025-01-19,VEN-009
EVO-000270,OPP-000103,contactado,2025-01-19,VEN-011
EVO-000271,OPP-000104,contactado,2025-01-19,VEN-005
EVO-000272,OPP-000105,contactado,2025-01-19,VEN-001
EVO-000273,OPP-000108,propuesta,2025-01-19,VEN-001
EVO-000274,OPP-000072,propuesta,2025-01-20,VEN-010
EVO-000275,OPP-000082,contactado,2025-01-20,VEN-006
EVO-000276,OPP-000086,propuesta,2025-01-20,VEN-011
EVO-000277,OPP-000090,propuesta,2025-01-20,VEN-012
EVO-000278,OPP-000093,calificado,2025-01-20,VEN-004
EVO-000279,OPP-000107,contactado,2025-01-20,VEN-007
EVO-000280,OPP-000113,calificado,2025-01-20,VEN-011
EVO-000281,OPP-000128,lead,2025-01-20,VEN-004
EVO-000282,OPP-000129,lead,2025-01-20,VEN-003
EVO-000283,OPP-000136,lead,2025-01-20,VEN-008
EVO-000284,OPP-000144,lead,2025-01-20,VEN-009
EVO-000285,OPP-000144,contactado,2025-01-20,VEN-009
EVO-000286,OPP-000148,lead,2025-01-20,VEN-005
EVO-000287,OPP-000148,contactado,2025-01-20,VEN-005
EVO-000288,OPP-000152,lead,2025-01-20,VEN-007
EVO-000289,OPP-000153,lead,2025-01-20,VEN-006
EVO-000290,OPP-000153,contactado,2025-01-20,VEN-006
EVO-000291,OPP-000160,lead,2025-01-20,VEN-003
EVO-000292,OPP-000166,lead,2025-01-20,VEN-005
EVO-000293,OPP-000172,lead,2025-01-20,VEN-003
EVO-000294,OPP-000172,contactado,2025-01-20,VEN-003
EVO-000295,OPP-000069,calificado,2025-01-21,VEN-003
EVO-000296,OPP-000071,calificado,2025-01-21,VEN-010
EVO-000297,OPP-000098,calificado,2025-01-21,VEN-001
EVO-000298,OPP-000108,cierre,2025-01-21,VEN-001
EVO-000299,OPP-000119,lead,2025-01-21,VEN-009
EVO-000300,OPP-000122,lead,2025-01-21,VEN-001
EVO-000301,OPP-000126,lead,2025-01-21,VEN-002
EVO-000302,OPP-000126,contactado,2025-01-21,VEN-002
EVO-000303,OPP-000128,contactado,2025-01-21,VEN-004
EVO-000304,OPP-000133,lead,2025-01-21,VEN-011
EVO-000305,OPP-000135,lead,2025-01-21,VEN-003
EVO-000306,OPP-000142,lead,2025-01-21,VEN-008
EVO-000307,OPP-000147,lead,2025-01-21,VEN-012
EVO-000308,OPP-000147,contactado,2025-01-21,VEN-012
EVO-000309,OPP-000147,calificado,2025-01-21,VEN-012
EVO-000310,OPP-000147,propuesta,2025-01-21,VEN-012
EVO-000311,OPP-000148,calificado,2025-01-21,VEN-005
EVO-000312,OPP-000152,contactado,2025-01-21,VEN-007
EVO-000313,OPP-000161,lead,2025-01-21,VEN-003
EVO-000314,OPP-000161,contactado,2025-01-21,VEN-003
EVO-000315,OPP-000162,lead,2025-01-21,VEN-010
EVO-000316,OPP-000163,lead,2025-01-21,VEN-012
EVO-000317,OPP-000163,contactado,2025-01-21,VEN-012
EVO-000318,OPP-000168,lead,2025-01-21,VEN-012
EVO-000319,OPP-000168,contactado,2025-01-21,VEN-012
EVO-000320,OPP-000060,calificado,2025-01-22,VEN-004
EVO-000321,OPP-000071,propuesta,2025-01-22,VEN-010
EVO-000322,OPP-000081,cierre,2025-01-22,VEN-002
EVO-000323,OPP-000084,calificado,2025-01-22,VEN-010
EVO-000324,OPP-000085,calificado,2025-01-22,VEN-001
EVO-000325,OPP-000101,propuesta,2025-01-22,VEN-009
EVO-000326,OPP-000123,lead,2025-01-22,VEN-002
EVO-000327,OPP-000125,lead,2025-01-22,VEN-001
EVO-000328,OPP-000129,contactado,2025-01-22,VEN-003
EVO-000329,OPP-000132,lead,2025-01-22,VEN-011
EVO-000330,OPP-000133,contactado,2025-01-22,VEN-011
EVO-000331,OPP-000134,lead,2025-01-22,VEN-001
EVO-000332,OPP-000137,lead,2025-01-22,VEN-001
EVO-000333,OPP-000138,lead,2025-01-22,VEN-006
EVO-000334,OPP-000151,lead,2025-01-22,VEN-002
EVO-000335,OPP-000151,contactado,2025-01-22,VEN-002
EVO-000336,OPP-000154,lead,2025-01-22,VEN-006
EVO-000337,OPP-000154,contactado,2025-01-22,VEN-006
EVO-000338,OPP-000155,lead,2025-01-22,VEN-007
EVO-000339,OPP-000155,contactado,2025-01-22,VEN-007
EVO-000340,OPP-000155,calificado,2025-01-22,VEN-007
EVO-000341,OPP-000155,propuesta,2025-01-22,VEN-007
EVO-000342,OPP-000162,contactado,2025-01-22,VEN-010
EVO-000343,OPP-000166,contactado,2025-01-22,VEN-005
EVO-000344,OPP-000167,lead,2025-01-22,VEN-006
EVO-000345,OPP-000167,contactado,2025-01-22,VEN-006
EVO-000346,OPP-000170,lead,2025-01-22,VEN-001
EVO-000347,OPP-000069,propuesta,2025-01-23,VEN-003
EVO-000348,OPP-000071,cierre,2025-01-23,VEN-010
EVO-000349,OPP-000090,cierre,2025-01-23,VEN-012
EVO-000350,OPP-000107,calificado,2025-01-23,VEN-007
EVO-000351,OPP-000121,lead,2025-01-23,VEN-003
EVO-000352,OPP-000136,contactado,2025-01-23,VEN-008
EVO-000353,OPP-000143,lead,2025-01-23,VEN-005
EVO-000354,OPP-000146,lead,2025-01-23,VEN-010
EVO-000355,OPP-000150,lead,2025-01-23,VEN-006
EVO-000356,OPP-000150,contactado,2025-01-23,VEN-006
EVO-000357,OPP-000153,calificado,2025-01-23,VEN-006
EVO-000358,OPP-000157,lead,2025-01-23,VEN-011
EVO-000359,OPP-000159,lead,2025-01-23,VEN-006
EVO-000360,OPP-000159,contactado,2025-01-23,VEN-006
EVO-000361,OPP-000164,lead,2025-01-23,VEN-007
EVO-000362,OPP-000164,contactado,2025-01-23,VEN-007
EVO-000363,OPP-000167,calificado,2025-01-23,VEN-006
EVO-000364,OPP-000171,lead,2025-01-23,VEN-003
EVO-000365,OPP-000098,propuesta,2025-01-24,VEN-001
EVO-000366,OPP-000120,lead,2025-01-24,VEN-008
EVO-000367,OPP-000120,contactado,2025-01-24,VEN-008
EVO-000368,OPP-000122,contactado,2025-01-24,VEN-001
EVO-000369,OPP-000122,calificado,2025-01-24,VEN-001
EVO-000370,OPP-000123,contactado,2025-01-24,VEN-002
EVO-000371,OPP-000124,lead,2025-01-24,VEN-001
EVO-000372,OPP-000127,lead,2025-01-24,VEN-007
EVO-000373,OPP-000127,contactado,2025-01-24,VEN-007
EVO-000374,OPP-000130,lead,2025-01-24,VEN-003
EVO-000375,OPP-000131,lead,2025-01-24,VEN-009
EVO-000376,OPP-000138,contactado,2025-01-24,VEN-006
EVO-000377,OPP-000139,lead,2025-01-24,VEN-012
EVO-000378,OPP-000140,lead,2025-01-24,VEN-003
EVO-000379,OPP-000141,lead,2025-01-24,VEN-004
EVO-000380,OPP-000145,lead,2025-01-24,VEN-007
EVO-000381,OPP-000146,contactado,2025-01-24,VEN-010
EVO-000382,OPP-000149,lead,2025-01-24,VEN-010
EVO-000383,OPP-000150,calificado,2025-01-24,VEN-006
EVO-000384,OPP-000153,propuesta,2025-01-24,VEN-006
EVO-000385,OPP-000156,lead,2025-01-24,VEN-002
EVO-000386,OPP-000158,lead,2025-01-24,VEN-006
EVO-000387,OPP-000165,lead,2025-01-24,VEN-012
EVO-000388,OPP-000169,lead,2025-01-24,VEN-007
EVO-000389,OPP-000170,contactado,2025-01-24,VEN-001
EVO-000390,OPP-000124,contactado,2025-01-25,VEN-001
EVO-000391,OPP-000125,contactado,2025-01-25,VEN-001
EVO-000392,OPP-000133,calificado,2025-01-25,VEN-011
EVO-000393,OPP-000134,contactado,2025-01-25,VEN-001
EVO-000394,OPP-000154,calificado,2025-01-25,VEN-006
EVO-000395,OPP-000162,calificado,2025-01-25,VEN-010
EVO-000396,OPP-000124,calificado,2025-01-26,VEN-001
EVO-000397,OPP-000125,calificado,2025-01-26,VEN-001
EVO-000398,OPP-000130,contactado,2025-01-26,VEN-003
EVO-000399,OPP-000131,contactado,2025-01-26,VEN-009
EVO-000400,OPP-000136,calificado,2025-01-26,VEN-008
EVO-000401,OPP-000143,contactado,2025-01-26,VEN-005
EVO-000402,OPP-000143,calificado,2025-01-26,VEN-005
EVO-000403,OPP-000150,propuesta,2025-01-26,VEN-006
EVO-000404,OPP-000154,propuesta,2025-01-26,VEN-006
EVO-000405,OPP-000169,contactado,2025-01-26,VEN-007
EVO-000406,OPP-000169,calificado,2025-01-26,VEN-007
EVO-000407,OPP-000122,propuesta,2025-01-27,VEN-001
EVO-000408,OPP-000123,calificado,2025-01-27,VEN-002
EVO-000409,OPP-000140,contactado,2025-01-27,VEN-003
EVO-000410,OPP-000146,calificado,2025-01-27,VEN-010
EVO-000411,OPP-000149,contactado,2025-01-27,VEN-010
EVO-000412,OPP-000150,cierre,2025-01-27,VEN-006
EVO-000413,OPP-000158,contactado,2025-01-27,VEN-006
EVO-000414,OPP-000165,contactado,2025-01-27,VEN-012
EVO-000415,OPP-000173,lead,2025-01-27,VEN-001
EVO-000416,OPP-000199,lead,2025-01-27,VEN-005
EVO-000417,OPP-000203,lead,2025-01-27,VEN-004
EVO-000418,OPP-000209,lead,2025-01-27,VEN-009
EVO-000419,OPP-000210,lead,2025-01-27,VEN-001
EVO-000420,OPP-000213,lead,2025-01-27,VEN-005
EVO-000421,OPP-000216,lead,2025-01-27,VEN-005
EVO-000422,OPP-000223,lead,2025-01-27,VEN-001
EVO-000423,OPP-000225,lead,2025-01-27,VEN-003
EVO-000424,OPP-000225,contactado,2025-01-27,VEN-003
EVO-000425,OPP-000226,lead,2025-01-27,VEN-005
EVO-000426,OPP-000227,lead,2025-01-27,VEN-007
EVO-000427,OPP-000124,propuesta,2025-01-28,VEN-001
EVO-000428,OPP-000136,propuesta,2025-01-28,VEN-008
EVO-000429,OPP-000149,calificado,2025-01-28,VEN-010
EVO-000430,OPP-000162,propuesta,2025-01-28,VEN-010
EVO-000431,OPP-000180,lead,2025-01-28,VEN-005
EVO-000432,OPP-000184,lead,2025-01-28,VEN-006
EVO-000433,OPP-000184,contactado,2025-01-28,VEN-006
EVO-000434,OPP-000185,lead,2025-01-28,VEN-008
EVO-000435,OPP-000185,contactado,2025-01-28,VEN-008
EVO-000436,OPP-000187,lead,2025-01-28,VEN-007
EVO-000437,OPP-000198,lead,2025-01-28,VEN-007
EVO-000438,OPP-000208,lead,2025-01-28,VEN-001
EVO-000439,OPP-000209,contactado,2025-01-28,VEN-009
EVO-000440,OPP-000209,calificado,2025-01-28,VEN-009
EVO-000441,OPP-000209,propuesta,2025-01-28,VEN-009
EVO-000442,OPP-000220,lead,2025-01-28,VEN-012
EVO-000443,OPP-000224,lead,2025-01-28,VEN-003
EVO-000444,OPP-000234,lead,2025-01-28,VEN-003
EVO-000445,OPP-000124,cierre,2025-01-29,VEN-001
EVO-000446,OPP-000131,calificado,2025-01-29,VEN-009
EVO-000447,OPP-000140,calificado,2025-01-29,VEN-003
EVO-000448,OPP-000154,cierre,2025-01-29,VEN-006
EVO-000449,OPP-000165,calificado,2025-01-29,VEN-012
EVO-000450,OPP-000176,lead,2025-01-29,VEN-008
EVO-000451,OPP-000176,contactado,2025-01-29,VEN-008
EVO-000452,OPP-000177,lead,2025-01-29,VEN-003
EVO-000453,OPP-000182,lead,2025-01-29,VEN-012
EVO-000454,OPP-000189,lead,2025-01-29,VEN-004
