evento_id,cliente_id,fecha,tipo_evento,usage_points
EVT-000099,CLI-00199,2025-01-06,descarga_reporte,5
EVT-000100,CLI-00210,2025-01-06,login,1
EVT-000101,CLI-00247,2025-01-06,uso_feature,3
EVT-000102,CLI-00329,2025-01-06,uso_feature,3
EVT-000103,CLI-00333,2025-01-06,uso_feature,3
EVT-000104,CLI-00410,2025-01-06,descarga_reporte,6
EVT-000105,CLI-00446,2025-01-06,login,1
EVT-000106,CLI-00484,2025-01-06,uso_feature,4
EVT-000107,CLI-00484,2025-01-06,uso_feature,4
EVT-000108,CLI-00500,2025-01-06,login,1
EVT-000109,CLI-00009,2025-01-07,login,1
EVT-000110,CLI-00052,2025-01-07,login,1
EVT-000111,CLI-00080,2025-01-07,login,1
EVT-000112,CLI-00117,2025-01-07,descarga_reporte,5
EVT-000113,CLI-00144,2025-01-07,descarga_reporte,5
EVT-000114,CLI-00150,2025-01-07,login,1
EVT-000115,CLI-00200,2025-01-07,uso_feature,3
EVT-000116,CLI-00329,2025-01-07,login,1
EVT-000117,CLI-00345,2025-01-07,uso_feature,3
EVT-000118,CLI-00381,2025-01-07,login,1
EVT-000119,CLI-00398,2025-01-07,login,1
EVT-000120,CLI-00484,2025-01-07,descarga_reporte,5
EVT-000121,CLI-00501,2025-01-07,login,1
EVT-000122,CLI-00505,2025-01-07,login,2
EVT-000123,CLI-00505,2025-01-07,login,1
EVT-000124,CLI-00004,2025-01-08,login,1
EVT-000125,CLI-00016,2025-01-08,uso_feature,3
EVT-000126,CLI-00052,2025-01-08,descarga_reporte,5
EVT-000127,CLI-00054,2025-01-08,descarga_reporte,6
EVT-000128,CLI-00059,2025-01-08,login,1
EVT-000129,CLI-00059,2025-01-08,login,1
EVT-000130,CLI-00115,2025-01-08,uso_feature,3
EVT-000131,CLI-00153,2025-01-08,descarga_reporte,6
EVT-000132,CLI-00156,2025-01-08,uso_feature,3
EVT-000133,CLI-00161,2025-01-08,descarga_reporte,5
EVT-000134,CLI-00163,2025-01-08,descarga_reporte,6
EVT-000135,CLI-00170,2025-01-08,login,1
EVT-000136,CLI-00196,2025-01-08,login,1
EVT-000137,CLI-00342,2025-01-08,login,2
EVT-000138,CLI-00344,2025-01-08,descarga_reporte,6
EVT-000139,CLI-00353,2025-01-08,login,1
EVT-000140,CLI-00354,2025-01-08,uso_feature,4
EVT-000141,CLI-00367,2025-01-08,descarga_reporte,5
EVT-000142,CLI-00385,2025-01-08,uso_feature,3
EVT-000143,CLI-00416,2025-01-08,login,1
EVT-000144,CLI-00425,2025-01-08,login,1
EVT-000145,CLI-00469,2025-01-08,login,1
EVT-000146,CLI-00484,2025-01-08,login,2
EVT-000147,CLI-00505,2025-01-08,login,1
EVT-000148,CLI-00036,2025-01-09,invitacion_usuario,8
EVT-000149,CLI-00047,2025-01-09,login,1
EVT-000150,CLI-00136,2025-01-09,login,1
EVT-000151,CLI-00142,2025-01-09,descarga_reporte,5
EVT-000152,CLI-00149,2025-01-09,login,2
EVT-000153,CLI-00153,2025-01-09,login,1
EVT-000154,CLI-00157,2025-01-09,uso_feature,3
EVT-000155,CLI-00164,2025-01-09,uso_feature,4
EVT-000156,CLI-00173,2025-01-09,descarga_reporte,5
EVT-000157,CLI-00226,2025-01-09,login,2
EVT-000158,CLI-00247,2025-01-09,login,1
EVT-000159,CLI-00271,2025-01-09,login,1
EVT-000160,CLI-00290,2025-01-09,login,2
EVT-000161,CLI-00306,2025-01-09,login,1
EVT-000162,CLI-00333,2025-01-09,invitacion_usuario,8
EVT-000163,CLI-00337,2025-01-09,invitacion_usuario,9
EVT-000164,CLI-00339,2025-01-09,descarga_reporte,5
EVT-000165,CLI-00367,2025-01-09,descarga_reporte,5
EVT-000166,CLI-00367,2025-01-09,login,1
EVT-000167,CLI-00382,2025-01-09,login,1
EVT-000168,CLI-00385,2025-01-09,uso_feature,3
EVT-000169,CLI-00391,2025-01-09,uso_feature,4
EVT-000170,CLI-00501,2025-01-09,uso_feature,3
EVT-000171,CLI-00043,2025-01-10,login,1
EVT-000172,CLI-00058,2025-01-10,login,1
EVT-000173,CLI-00073,2025-01-10,uso_feature,3
EVT-000174,CLI-00175,2025-01-10,login,2
EVT-000175,CLI-00195,2025-01-10,login,2
EVT-000176,CLI-00242,2025-01-10,login,1
EVT-000177,CLI-00265,2025-01-10,login,1
EVT-000178,CLI-00337,2025-01-10,uso_feature,3
EVT-000179,CLI-00345,2025-01-10,login,2
EVT-000180,CLI-00354,2025-01-10,login,2
EVT-000181,CLI-00359,2025-01-10,invitacion_usuario,9
EVT-000182,CLI-00376,2025-01-10,login,2
EVT-000183,CLI-00393,2025-01-10,uso_feature,3
EVT-000184,CLI-00396,2025-01-10,descarga_reporte,6
EVT-000185,CLI-00396,2025-01-10,uso_feature,4
EVT-000186,CLI-00410,2025-01-10,login,1
EVT-000187,CLI-00411,2025-01-10,login,2
EVT-000188,CLI-00429,2025-01-10,login,1
EVT-000189,CLI-00475,2025-01-10,login,2
EVT-000190,CLI-00509,2025-01-10,invitacion_usuario,8
EVT-000191,CLI-00018,2025-01-11,login,2
EVT-000192,CLI-00047,2025-01-11,login,2
EVT-000193,CLI-00130,2025-01-11,descarga_reporte,6
EVT-000194,CLI-00203,2025-01-11,login,1
EVT-000195,CLI-00206,2025-01-11,login,1
EVT-000196,CLI-00216,2025-01-11,login,1
EVT-000197,CLI-00290,2025-01-11,uso_feature,3
EVT-000198,CLI-00333,2025-01-11,uso_feature,3
EVT-000199,CLI-00344,2025-01-11,login,1
EVT-000200,CLI-00345,2025-01-11,invitacion_usuario,9
EVT-000201,CLI-00376,2025-01-11,descarga_reporte,6
EVT-000202,CLI-00376,2025-01-11,login,2
EVT-000203,CLI-00394,2025-01-11,login,1
EVT-000204,CLI-00428,2025-01-11,uso_feature,3
EVT-000205,CLI-00429,2025-01-11,login,1
EVT-000206,CLI-00457,2025-01-11,login,2
EVT-000207,CLI-00073,2025-01-12,login,2
EVT-000208,CLI-00088,2025-01-12,login,1
EVT-000209,CLI-00164,2025-01-12,login,1
EVT-000210,CLI-00188,2025-01-12,login,1
EVT-000211,CLI-00238,2025-01-12,login,2
EVT-000212,CLI-00369,2025-01-12,login,1
EVT-000213,CLI-00379,2025-01-12,uso_feature,4
EVT-000214,CLI-00429,2025-01-12,login,1
EVT-000215,CLI-00429,2025-01-12,uso_feature,3
EVT-000216,CLI-00436,2025-01-12,login,2
EVT-000217,CLI-00468,2025-01-12,login,1
EVT-000218,CLI-00500,2025-01-12,login,2
EVT-000219,CLI-00506,2025-01-12,uso_feature,3
EVT-000220,CLI-00032,2025-01-13,descarga_reporte,6
EVT-000221,CLI-00045,2025-01-13,uso_feature,4
EVT-000222,CLI-00055,2025-01-13,uso_feature,3
EVT-000223,CLI-00084,2025-01-13,login,1
EVT-000224,CLI-00117,2025-01-13,descarga_reporte,5
EVT-000225,CLI-00130,2025-01-13,login,1
EVT-000226,CLI-00135,2025-01-13,login,1
EVT-000227,CLI-00139,2025-01-13,uso_feature,3
EVT-000228,CLI-00161,2025-01-13,login,1
EVT-000229,CLI-00164,2025-01-13,descarga_reporte,5
EVT-000230,CLI-00175,2025-01-13,uso_feature,4
EVT-000231,CLI-00175,2025-01-13,login,1
EVT-000232,CLI-00203,2025-01-13,uso_feature,3
EVT-000233,CLI-00236,2025-01-13,login,1
EVT-000234,CLI-00260,2025-01-13,login,1
EVT-000235,CLI-00275,2025-01-13,descarga_reporte,5
EVT-000236,CLI-00341,2025-01-13,login,2
EVT-000237,CLI-00344,2025-01-13,login,1
EVT-000238,CLI-00365,2025-01-13,descarga_reporte,5
EVT-000239,CLI-00385,2025-01-13,uso_feature,3
EVT-000240,CLI-00393,2025-01-13,uso_feature,3
EVT-000241,CLI-00394,2025-01-13,uso_feature,3
EVT-000242,CLI-00398,2025-01-13,login,2
EVT-000243,CLI-00428,2025-01-13,uso_feature,3
EVT-000244,CLI-00443,2025-01-13,descarga_reporte,5
EVT-000245,CLI-00475,2025-01-13,login,1
EVT-000246,CLI-00055,2025-01-14,uso_feature,3
EVT-000247,CLI-00055,2025-01-14,login,2
EVT-000248,CLI-00066,2025-01-14,login,1
EVT-000249,CLI-00070,2025-01-14,uso_feature,4
EVT-000250,CLI-00081,2025-01-14,login,1
EVT-000251,CLI-00084,2025-01-14,login,2
EVT-000252,CLI-00090,2025-01-14,login,1
EVT-000253,CLI-00117,2025-01-14,login,1
EVT-000254,CLI-00131,2025-01-14,uso_feature,3
EVT-000255,CLI-00142,2025-01-14,invitacion_usuario,8
EVT-000256,CLI-00156,2025-01-14,uso_feature,4
EVT-000257,CLI-00163,2025-01-14,login,1
EVT-000258,CLI-00164,2025-01-14,descarga_reporte,5
EVT-000259,CLI-00191,2025-01-14,login,1
EVT-000260,CLI-00196,2025-01-14,uso_feature,4
EVT-000261,CLI-00247,2025-01-14,descarga_reporte,6
EVT-000262,CLI-00249,2025-01-14,descarga_reporte,5
EVT-000263,CLI-00256,2025-01-14,uso_feature,3
EVT-000264,CLI-00260,2025-01-14,descarga_reporte,6
EVT-000265,CLI-00344,2025-01-14,uso_feature,3
EVT-000266,CLI-00358,2025-01-14,descarga_reporte,5
EVT-000267,CLI-00358,2025-01-14,login,2
EVT-000268,CLI-00379,2025-01-14,descarga_reporte,5
EVT-000269,CLI-00382,2025-01-14,uso_feature,3
EVT-000270,CLI-00437,2025-01-14,uso_feature,3
EVT-000271,CLI-00448,2025-01-14,login,1
EVT-000272,CLI-00469,2025-01-14,login,1
EVT-000273,CLI-00503,2025-01-14,descarga_reporte,6
EVT-000274,CLI-00006,2025-01-15,login,1
EVT-000275,CLI-00009,2025-01-15,uso_feature,3
EVT-000276,CLI-00016,2025-01-15,login,1
EVT-000277,CLI-00016,2025-01-15,uso_feature,3
EVT-000278,CLI-00034,2025-01-15,login,1
EVT-000279,CLI-00059,2025-01-15,login,1
EVT-000280,CLI-00073,2025-01-15,uso_feature,3
EVT-000281,CLI-00081,2025-01-15,uso_feature,4
EVT-000282,CLI-00107,2025-01-15,uso_feature,3
EVT-000283,CLI-00109,2025-01-15,login,1
EVT-000284,CLI-00128,2025-01-15,login,1
EVT-000285,CLI-00130,2025-01-15,login,1
EVT-000286,CLI-00173,2025-01-15,uso_feature,3
EVT-000287,CLI-00204,2025-01-15,uso_feature,3
EVT-000288,CLI-00206,2025-01-15,uso_feature,3
EVT-000289,CLI-00218,2025-01-15,login,1
EVT-000290,CLI-00228,2025-01-15,login,2
EVT-000291,CLI-00238,2025-01-15,uso_feature,4
EVT-000292,CLI-00315,2025-01-15,login,1
EVT-000293,CLI-00315,2025-01-15,login,1
EVT-000294,CLI-00325,2025-01-15,login,1
EVT-000295,CLI-00353,2025-01-15,login,1
EVT-000296,CLI-00365,2025-01-15,login,2
EVT-000297,CLI-00379,2025-01-15,login,1
EVT-000298,CLI-00379,2025-01-15,uso_feature,3
EVT-000299,CLI-00391,2025-01-15,descarga_reporte,5
EVT-000300,CLI-00399,2025-01-15,login,1
EVT-000301,CLI-00410,2025-01-15,descarga_reporte,5
EVT-000302,CLI-00448,2025-01-15,login,1
EVT-000303,CLI-00475,2025-01-15,descarga_reporte,5
EVT-000304,CLI-00475,2025-01-15,login,2
EVT-000305,CLI-00485,2025-01-15,uso_feature,3
EVT-000306,CLI-00506,2025-01-15,invitacion_usuario,8
EVT-000307,CLI-00036,2025-01-16,login,2
EVT-000308,CLI-00039,2025-01-16,login,1
EVT-000309,CLI-00081,2025-01-16,login,1
EVT-000310,CLI-00107,2025-01-16,descarga_reporte,6
EVT-000311,CLI-00117,2025-01-16,uso_feature,3
EVT-000312,CLI-00131,2025-01-16,login,1
EVT-000313,CLI-00136,2025-01-16,login,1
EVT-000314,CLI-00139,2025-01-16,uso_feature,3
EVT-000315,CLI-00163,2025-01-16,login,1
EVT-000316,CLI-00164,2025-01-16,login,2
EVT-000317,CLI-00200,2025-01-16,invitacion_usuario,8
EVT-000318,CLI-00272,2025-01-16,login,2
EVT-000319,CLI-00290,2025-01-16,uso_feature,3
EVT-000320,CLI-00337,2025-01-16,login,1
EVT-000321,CLI-00376,2025-01-16,login,1
EVT-000322,CLI-00382,2025-01-16,login,1
EVT-000323,CLI-00390,2025-01-16,uso_feature,4
EVT-000324,CLI-00396,2025-01-16,uso_feature,4
EVT-000325,CLI-00424,2025-01-16,uso_feature,4
EVT-000326,CLI-00452,2025-01-16,login,1
EVT-000327,CLI-00457,2025-01-16,login,1
EVT-000328,CLI-00485,2025-01-16,uso_feature,3
EVT-000329,CLI-00487,2025-01-16,login,1
EVT-000330,CLI-00490,2025-01-16,invitacion_usuario,8
EVT-000331,CLI-00492,2025-01-16,login,2
EVT-000332,CLI-00496,2025-01-16,login,1
EVT-000333,CLI-00009,2025-01-17,login,1
EVT-000334,CLI-00018,2025-01-17,descarga_reporte,5
EVT-000335,CLI-00045,2025-01-17,login,1
EVT-000336,CLI-00107,2025-01-17,login,2
EVT-000337,CLI-00123,2025-01-17,uso_feature,3
EVT-000338,CLI-00144,2025-01-17,login,1
EVT-000339,CLI-00148,2025-01-17,login,1
EVT-000340,CLI-00200,2025-01-17,uso_feature,3
EVT-000341,CLI-00216,2025-01-17,login,1
EVT-000342,CLI-00388,2025-01-17,uso_feature,3
EVT-000343,CLI-00393,2025-01-17,login,2
EVT-000344,CLI-00411,2025-01-17,login,2
EVT-000345,CLI-00424,2025-01-17,uso_feature,3
EVT-000346,CLI-00446,2025-01-17,login,1
EVT-000347,CLI-00448,2025-01-17,uso_feature,3
EVT-000348,CLI-00457,2025-01-17,uso_feature,3
EVT-000349,CLI-00458,2025-01-17,login,1
EVT-000350,CLI-00469,2025-01-17,login,1
EVT-000351,CLI-00484,2025-01-17,login,2
EVT-000352,CLI-00501,2025-01-17,uso_feature,4
EVT-000353,CLI-00027,2025-01-18,login,2
EVT-000354,CLI-00029,2025-01-18,uso_feature,3
EVT-000355,CLI-00088,2025-01-18,login,2
EVT-000356,CLI-00108,2025-01-18,uso_feature,4
EVT-000357,CLI-00115,2025-01-18,descarga_reporte,6
EVT-000358,CLI-00135,2025-01-18,uso_feature,3
EVT-000359,CLI-00149,2025-01-18,login,1
EVT-000360,CLI-00153,2025-01-18,login,2
EVT-000361,CLI-00163,2025-01-18,login,1
EVT-000362,CLI-00188,2025-01-18,login,1
EVT-000363,CLI-00195,2025-01-18,login,2
EVT-000364,CLI-00199,2025-01-18,login,2
EVT-000365,CLI-00211,2025-01-18,descarga_reporte,5
EVT-000366,CLI-00226,2025-01-18,login,2
EVT-000367,CLI-00236,2025-01-18,login,1
EVT-000368,CLI-00238,2025-01-18,login,2
EVT-000369,CLI-00341,2025-01-18,login,1
EVT-000370,CLI-00342,2025-01-18,login,2
EVT-000371,CLI-00385,2025-01-18,uso_feature,4
EVT-000372,CLI-00394,2025-01-18,login,1
EVT-000373,CLI-00399,2025-01-18,uso_feature,3
EVT-000374,CLI-00424,2025-01-18,uso_feature,3
EVT-000375,CLI-00460,2025-01-18,descarga_reporte,5
EVT-000376,CLI-00016,2025-01-19,login,1
EVT-000377,CLI-00027,2025-01-19,uso_feature,3
EVT-000378,CLI-00034,2025-01-19,login,1
EVT-000379,CLI-00034,2025-01-19,login,1
EVT-000380,CLI-00035,2025-01-19,descarga_reporte,5
EVT-000381,CLI-00045,2025-01-19,login,1
EVT-000382,CLI-00045,2025-01-19,login,2
EVT-000383,CLI-00081,2025-01-19,invitacion_usuario,9
EVT-000384,CLI-00115,2025-01-19,login,1
EVT-000385,CLI-00128,2025-01-19,descarga_reporte,5
EVT-000386,CLI-00151,2025-01-19,login,1
EVT-000387,CLI-00175,2025-01-19,uso_feature,4
EVT-000388,CLI-00189,2025-01-19,login,1
EVT-000389,CLI-00218,2025-01-19,login,2
EVT-000390,CLI-00225,2025-01-19,login,1
EVT-000391,CLI-00226,2025-01-19,descarga_reporte,5
EVT-000392,CLI-00236,2025-01-19,descarga_reporte,5
EVT-000393,CLI-00260,2025-01-19,login,1
EVT-000394,CLI-00265,2025-01-19,login,1
EVT-000395,CLI-00306,2025-01-19,uso_feature,3
EVT-000396,CLI-00333,2025-01-19,uso_feature,3
EVT-000397,CLI-00345,2025-01-19,descarga_reporte,5
EVT-000398,CLI-00382,2025-01-19,login,2
EVT-000399,CLI-00384,2025-01-19,login,2
EVT-000400,CLI-00385,2025-01-19,login,2
EVT-000401,CLI-00431,2025-01-19,uso_feature,4
EVT-000402,CLI-00452,2025-01-19,login,1
EVT-000403,CLI-00455,2025-01-19,login,1
EVT-000404,CLI-00485,2025-01-19,uso_feature,4
EVT-000405,CLI-00509,2025-01-19,login,1
EVT-000406,CLI-00009,2025-01-20,login,1
EVT-000407,CLI-00036,2025-01-20,invitacion_usuario,9
EVT-000408,CLI-00046,2025-01-20,login,1
EVT-000409,CLI-00052,2025-01-20,uso_feature,4
EVT-000410,CLI-00123,2025-01-20,descarga_reporte,6
EVT-000411,CLI-00144,2025-01-20,login,2
EVT-000412,CLI-00191,2025-01-20,login,2
EVT-000413,CLI-00210,2025-01-20,uso_feature,3
EVT-000414,CLI-00264,2025-01-20,login,1
EVT-000415,CLI-00279,2025-01-20,uso_feature,3
EVT-000416,CLI-00337,2025-01-20,login,1
EVT-000417,CLI-00379,2025-01-20,login,2
EVT-000418,CLI-00411,2025-01-20,uso_feature,3
EVT-000419,CLI-00428,2025-01-20,descarga_reporte,6
EVT-000420,CLI-00429,2025-01-20,invitacion_usuario,8
EVT-000421,CLI-00446,2025-01-20,login,2
EVT-000422,CLI-00500,2025-01-20,login,1
EVT-000423,CLI-00505,2025-01-20,login,1
EVT-000424,CLI-00123,2025-01-21,login,2
EVT-000425,CLI-00156,2025-01-21,uso_feature,4
EVT-000426,CLI-00175,2025-01-21,login,1
EVT-000427,CLI-00206,2025-01-21,login,2
EVT-000428,CLI-00240,2025-01-21,uso_feature,3
EVT-000429,CLI-00241,2025-01-21,descarga_reporte,6
EVT-000430,CLI-00265,2025-01-21,uso_feature,3
EVT-000431,CLI-00340,2025-01-21,uso_feature,3
EVT-000432,CLI-00347,2025-01-21,descarga_reporte,5
EVT-000433,CLI-00350,2025-01-21,uso_feature,3
EVT-000434,CLI-00369,2025-01-21,descarga_reporte,5
EVT-000435,CLI-00390,2025-01-21,invitacion_usuario,9
EVT-000436,CLI-00425,2025-01-21,uso_feature,3
EVT-000437,CLI-00436,2025-01-21,login,2
EVT-000438,CLI-00509,2025-01-21,login,1
EVT-000439,CLI-00073,2025-01-22,login,2
EVT-000440,CLI-00142,2025-01-22,uso_feature,3
EVT-000441,CLI-00149,2025-01-22,uso_feature,3
EVT-000442,CLI-00169,2025-01-22,descarga_reporte,5
EVT-000443,CLI-00238,2025-01-22,descarga_reporte,5
EVT-000444,CLI-00272,2025-01-22,login,1
EVT-000445,CLI-00347,2025-01-22,uso_feature,4
EVT-000446,CLI-00403,2025-01-22,uso_feature,3
EVT-000447,CLI-00404,2025-01-22,login,2
EVT-000448,CLI-00433,2025-01-22,invitacion_usuario,9
EVT-000449,CLI-00485,2025-01-22,invitacion_usuario,8
EVT-000450,CLI-00503,2025-01-22,descarga_reporte,5
EVT-000451,CLI-00027,2025-01-23,uso_feature,4
EVT-000452,CLI-00028,2025-01-23,uso_feature,3
EVT-000453,CLI-00080,2025-01-23,uso_feature,4
EVT-000454,CLI-00104,2025-01-23,uso_feature,3
EVT-000455,CLI-00157,2025-01-23,login,1
EVT-000456,CLI-00172,2025-01-23,login,1
EVT-000457,CLI-00172,2025-01-23,login,1
EVT-000458,CLI-00196,2025-01-23,uso_feature,4
EVT-000459,CLI-00241,2025-01-23,descarga_reporte,5
EVT-000460,CLI-00241,2025-01-23,login,1
EVT-000461,CLI-00279,2025-01-23,login,1
EVT-000462,CLI-00289,2025-01-23,descarga_reporte,5
EVT-000463,CLI-00315,2025-01-23,login,1
EVT-000464,CLI-00394,2025-01-23,descarga_reporte,5
EVT-000465,CLI-00403,2025-01-23,login,2
EVT-000466,CLI-00414,2025-01-23,login,1
EVT-000467,CLI-00428,2025-01-23,login,1
EVT-000468,CLI-00446,2025-01-23,uso_feature,4
EVT-000469,CLI-00455,2025-01-23,login,1
EVT-000470,CLI-00468,2025-01-23,descarga_reporte,5
EVT-000471,CLI-00004,2025-01-24,login,1
EVT-000472,CLI-00018,2025-01-24,login,2
EVT-000473,CLI-00028,2025-01-24,login,2
EVT-000474,CLI-00052,2025-01-24,login,1
EVT-000475,CLI-00058,2025-01-24,uso_feature,3
EVT-000476,CLI-00060,2025-01-24,uso_feature,3
EVT-000477,CLI-00066,2025-01-24,login,1
EVT-000478,CLI-00109,2025-01-24,uso_feature,4
EVT-000479,CLI-00157,2025-01-24,login,1
EVT-000480,CLI-00170,2025-01-24,uso_feature,3
EVT-000481,CLI-00189,2025-01-24,login,1
EVT-000482,CLI-00191,2025-01-24,login,2
EVT-000483,CLI-00195,2025-01-24,uso_feature,3
EVT-000484,CLI-00206,2025-01-24,uso_feature,3
EVT-000485,CLI-00206,2025-01-24,descarga_reporte,5
EVT-000486,CLI-00226,2025-01-24,login,2
EVT-000487,CLI-00226,2025-01-24,uso_feature,3
EVT-000488,CLI-00249,2025-01-24,login,1
EVT-000489,CLI-00272,2025-01-24,login,2
EVT-000490,CLI-00306,2025-01-24,login,1
EVT-000491,CLI-00315,2025-01-24,descarga_reporte,5
EVT-000492,CLI-00342,2025-01-24,login,1
EVT-000493,CLI-00350,2025-01-24,descarga_reporte,6
EVT-000494,CLI-00358,2025-01-24,login,1
EVT-000495,CLI-00393,2025-01-24,descarga_reporte,5
EVT-000496,CLI-00396,2025-01-24,uso_feature,4
EVT-000497,CLI-00431,2025-01-24,invitacion_usuario,9
EVT-000498,CLI-00475,2025-01-24,login,1
EVT-000499,CLI-00488,2025-01-24,login,1
EVT-000500,CLI-00004,2025-01-25,login,1
EVT-000501,CLI-00018,2025-01-25,login,1
EVT-000502,CLI-00023,2025-01-25,uso_feature,4
EVT-000503,CLI-00045,2025-01-25,login,2
EVT-000504,CLI-00046,2025-01-25,login,1
EVT-000505,CLI-00059,2025-01-25,login,1
EVT-000506,CLI-00063,2025-01-25,uso_feature,3
EVT-000507,CLI-00081,2025-01-25,descarga_reporte,6
EVT-000508,CLI-00136,2025-01-25,descarga_reporte,5
EVT-000509,CLI-00189,2025-01-25,login,1
EVT-000510,CLI-00210,2025-01-25,uso_feature,4
