mes,region,cliente_id,perfil,categoria,subcategoria,ingreso_mxn
2026-01,Centro,CLI-003,Ocasional (alto volumen / baja frecuencia),Línea Estándar,Estándar Retail,549.99
2026-04,Centro,CLI-003,Ocasional (alto volumen / baja frecuencia),Línea Estándar,Estándar Retail,594.54
2026-06,Centro,CLI-003,Ocasional (alto volumen / baja frecuencia),Línea Estándar,Estándar Retail,763.87
2026-07,Centro,CLI-003,Ocasional (alto volumen / baja frecuencia),Línea Estándar,Estándar Retail,697.7
2025-01,Centro,CLI-003,Ocasional (alto volumen / baja frecuencia),Línea Premium,Premium Exportación,829.66
2025-10,Centro,CLI-003,Ocasional (alto volumen / baja frecuencia),Línea Premium,Premium Exportación,983.23
2026-05,Centro,CLI-003,Ocasional (alto volumen / baja frecuencia),Línea Premium,Premium Exportación,1027.24
2026-06,Centro,CLI-003,Ocasional (alto volumen / baja frecuencia),Línea Premium,Premium Exportación,949.32
2025-01,Centro,CLI-004,VIP (alto volumen / alta frecuencia),Línea Económica,Económica Promocional,481.71
2025-02,Centro,CLI-004,VIP (alto volumen / alta frecuencia),Línea Económica,Económica Promocional,494.53
2025-05,Centro,CLI-004,VIP (alto volumen / alta frecuencia),Línea Económica,Económica Promocional,453.69
2025-07,Centro,CLI-004,VIP (alto volumen / alta frecuencia),Línea Económica,Económica Promocional,604.92
2025-08,Centro,CLI-004,VIP (alto volumen / alta frecuencia),Línea Económica,Económica Promocional,461.62
2025-09,Centro,CLI-004,VIP (alto volumen / alta frecuencia),Línea Económica,Económica Promocional,476.13
2025-10,Centro,CLI-004,VIP (alto volumen / alta frecuencia),Línea Económica,Económica Promocional,476.33
2025-11,Centro,CLI-004,VIP (alto volumen / alta frecuencia),Línea Económica,Económica Promocional,498.25
2025-12,Centro,CLI-004,VIP (alto volumen / alta frecuencia),Línea Económica,Económica Promocional,562.86
2026-01,Centro,CLI-004,VIP (alto volumen / alta frecuencia),Línea Económica,Económica Promocional,535.21
2026-02,Centro,CLI-004,VIP (alto volumen / alta frecuencia),Línea Económica,Económica Promocional,514.99
2026-04,Centro,CLI-004,VIP (alto volumen / alta frecuencia),Línea Económica,Económica Promocional,611.13
2026-06,Centro,CLI-004,VIP (alto volumen / alta frecuencia),Línea Económica,Económica Promocional,570.03
2026-07,Centro,CLI-004,VIP (alto volumen / alta frecuencia),Línea Económica,Económica Promocional,581.9
2026-08,Centro,CLI-004,VIP (alto volumen / alta frecuencia),Línea Económica,Económica Promocional,485.8
2025-01,Centro,CLI-004,VIP (alto volumen / alta frecuencia),Línea Estándar,Estándar Retail,822.92
2025-02,Centro,CLI-004,VIP (alto volumen / alta frecuencia),Línea Estándar,Estándar Retail,1026.08
2025-03,Centro,CLI-004,VIP (alto volumen / alta frecuencia),Línea Estándar,Estándar Retail,824.22
2025-04,Centro,CLI-004,VIP (alto volumen / alta frecuencia),Línea Estándar,Estándar Retail,770.56
2025-05,Centro,CLI-004,VIP (alto volumen / alta frecuencia),Línea Estándar,Estándar Retail,914.9
2025-07,Centro,CLI-004,VIP (alto volumen / alta frecuencia),Línea Estándar,Estándar Retail,673.9
2025-09,Centro,CLI-004,VIP (alto volumen / alta frecuencia),Línea Estándar,Estándar Retail,1005.55
2025-10,Centro,CLI-004,VIP (alto volumen / alta frecuencia),Línea Estándar,Estándar Retail,1103.01
2025-11,Centro,CLI-004,VIP (alto volumen / alta frecuencia),Línea Estándar,Estándar Retail,1114.81
2025-12,Centro,CLI-004,VIP (alto volumen / alta frecuencia),Línea Estándar,Estándar Retail,909.4
2026-01,Centro,CLI-004,VIP (alto volumen / alta frecuencia),Línea Estándar,Estándar Retail,868.54
2026-02,Centro,CLI-004,VIP (alto volumen / alta frecuencia),Línea Estándar,Estándar Retail,894.58
2026-03,Centro,CLI-004,VIP (alto volumen / alta frecuencia),Línea Estándar,Estándar Retail,1305.23
2026-04,Centro,CLI-004,VIP (alto volumen / alta frecuencia),Línea Estándar,Estándar Retail,961.5
2026-05,Centro,CLI-004,VIP (alto volumen / alta frecuencia),Línea Estándar,Estándar Retail,1136.48
2026-06,Centro,CLI-004,VIP (alto volumen / alta frecuencia),Línea Estándar,Estándar Retail,988.84
2026-08,Centro,CLI-004,VIP (alto volumen / alta frecuencia),Línea Estándar,Estándar Retail,1112.86
2025-01,Centro,CLI-004,VIP (alto volumen / alta frecuencia),Línea Premium,Premium Hogar,1066.76
2025-03,Centro,CLI-004,VIP (alto volumen / alta frecuencia),Línea Premium,Premium Hogar,1300.15
2025-05,Centro,CLI-004,VIP (alto volumen / alta frecuencia),Línea Premium,Premium Hogar,1136.08
2025-06,Centro,CLI-004,VIP (alto volumen / alta frecuencia),Línea Premium,Premium Hogar,1064.9
2025-07,Centro,CLI-004,VIP (alto volumen / alta frecuencia),Línea Premium,Premium Hogar,1207.47
2025-08,Centro,CLI-004,VIP (alto volumen / alta frecuencia),Línea Premium,Premium Hogar,1234.87
2025-10,Centro,CLI-004,VIP (alto volumen / alta frecuencia),Línea Premium,Premium Hogar,1347.75
2025-11,Centro,CLI-004,VIP (alto volumen / alta frecuencia),Línea Premium,Premium Hogar,1239.3
2025-12,Centro,CLI-004,VIP (alto volumen / alta frecuencia),Línea Premium,Premium Hogar,1519.61
2026-01,Centro,CLI-004,VIP (alto volumen / alta frecuencia),Línea Premium,Premium Hogar,1461.38
2026-03,Centro,CLI-004,VIP (alto volumen / alta frecuencia),Línea Premium,Premium Hogar,1195.45
2026-04,Centro,CLI-004,VIP (alto volumen / alta frecuencia),Línea Premium,Premium Hogar,1087.77
2026-05,Centro,CLI-004,VIP (alto volumen / alta frecuencia),Línea Premium,Premium Hogar,1467.82
2026-06,Centro,CLI-004,VIP (alto volumen / alta frecuencia),Línea Premium,Premium Hogar,1349.4
2026-07,Centro,CLI-004,VIP (alto volumen / alta frecuencia),Línea Premium,Premium Hogar,1155.31
2025-01,Centro,CLI-004,VIP (alto volumen / alta frecuencia),Línea Premium,Premium Oficina,1025.55
2025-02,Centro,CLI-004,VIP (alto volumen / alta frecuencia),Línea Premium,Premium Oficina,954.67
2025-03,Centro,CLI-004,VIP (alto volumen / alta frecuencia),Línea Premium,Premium Oficina,961.68
2025-04,Centro,CLI-004,VIP (alto volumen / alta frecuencia),Línea Premium,Premium Oficina,971.51
2025-05,Centro,CLI-004,VIP (alto volumen / alta frecuencia),Línea Premium,Premium Oficina,1144.12
2025-06,Centro,CLI-004,VIP (alto volumen / alta frecuencia),Línea Premium,Premium Oficina,963.12
2025-07,Centro,CLI-004,VIP (alto volumen / alta frecuencia),Línea Premium,Premium Oficina,1001.21
2025-08,Centro,CLI-004,VIP (alto volumen / alta frecuencia),Línea Premium,Premium Oficina,933.68
2025-10,Centro,CLI-004,VIP (alto volumen / alta frecuencia),Línea Premium,Premium Oficina,955.31
2025-11,Centro,CLI-004,VIP (alto volumen / alta frecuencia),Línea Premium,Premium Oficina,1040.32
2026-01,Centro,CLI-004,VIP (alto volumen / alta frecuencia),Línea Premium,Premium Oficina,784.38
2026-02,Centro,CLI-004,VIP (alto volumen / alta frecuencia),Línea Premium,Premium Oficina,1031.64
2026-03,Centro,CLI-004,VIP (alto volumen / alta frecuencia),Línea Premium,Premium Oficina,1098.21
2026-04,Centro,CLI-004,VIP (alto volumen / alta frecuencia),Línea Premium,Premium Oficina,1106.65
2026-05,Centro,CLI-004,VIP (alto volumen / alta frecuencia),Línea Premium,Premium Oficina,1053.09
2026-06,Centro,CLI-004,VIP (alto volumen / alta frecuencia),Línea Premium,Premium Oficina,1118.78
2026-07,Centro,CLI-004,VIP (alto volumen / alta frecuencia),Línea Premium,Premium Oficina,1008.94
2026-08,Centro,CLI-004,VIP (alto volumen / alta frecuencia),Línea Premium,Premium Oficina,1016.55
2025-01,Centro,CLI-004,VIP (alto volumen / alta frecuencia),Línea Estándar,Estándar Mayoreo,1232.13
2025-02,Centro,CLI-004,VIP (alto volumen / alta frecuencia),Línea Estándar,Estándar Mayoreo,642.91
2025-03,Centro,CLI-004,VIP (alto volumen / alta frecuencia),Línea Estándar,Estándar Mayoreo,1061.46
2025-04,Centro,CLI-004,VIP (alto volumen / alta frecuencia),Línea Estándar,Estándar Mayoreo,927.97
2025-05,Centro,CLI-004,VIP (alto volumen / alta frecuencia),Línea Estándar,Estándar Mayoreo,1057.95
2025-06,Centro,CLI-004,VIP (alto volumen / alta frecuencia),Línea Estándar,Estándar Mayoreo,1071.82
2025-07,Centro,CLI-004,VIP (alto volumen / alta frecuencia),Línea Estándar,Estándar Mayoreo,915.78
2025-08,Centro,CLI-004,VIP (alto volumen / alta frecuencia),Línea Estándar,Estándar Mayoreo,1023.06
2025-09,Centro,CLI-004,VIP (alto volumen / alta frecuencia),Línea Estándar,Estándar Mayoreo,969.28
2025-10,Centro,CLI-004,VIP (alto volumen / alta frecuencia),Línea Estándar,Estándar Mayoreo,1047.66
2025-11,Centro,CLI-004,VIP (alto volumen / alta frecuencia),Línea Estándar,Estándar Mayoreo,1028.67
2025-12,Centro,CLI-004,VIP (alto volumen / alta frecuencia),Línea Estándar,Estándar Mayoreo,1180.41
2026-01,Centro,CLI-004,VIP (alto volumen / alta frecuencia),Línea Estándar,Estándar Mayoreo,1200.98
2026-02,Centro,CLI-004,VIP (alto volumen / alta frecuencia),Línea Estándar,Estándar Mayoreo,1007.63
2026-03,Centro,CLI-004,VIP (alto volumen / alta frecuencia),Línea Estándar,Estándar Mayoreo,828.26
2026-04,Centro,CLI-004,VIP (alto volumen / alta frecuencia),Línea Estándar,Estándar Mayoreo,948.95
2026-05,Centro,CLI-004,VIP (alto volumen / alta frecuencia),Línea Estándar,Estándar Mayoreo,885.14
2026-06,Centro,CLI-004,VIP (alto volumen / alta frecuencia),Línea Estándar,Estándar Mayoreo,932.16
2026-07,Centro,CLI-004,VIP (alto volumen / alta frecuencia),Línea Estándar,Estándar Mayoreo,905.32
2026-08,Centro,CLI-004,VIP (alto volumen / alta frecuencia),Línea Estándar,Estándar Mayoreo,703.58
2025-01,Centro,CLI-004,VIP (alto volumen / alta frecuencia),Servicios postventa,Soporte y Mantenimiento,276.0
2025-02,Centro,CLI-004,VIP (alto volumen / alta frecuencia),Servicios postventa,Soporte y Mantenimiento,387.95
2025-03,Centro,CLI-004,VIP (alto volumen / alta frecuencia),Servicios postventa,Soporte y Mantenimiento,321.73
2025-04,Centro,CLI-004,VIP (alto volumen / alta frecuencia),Servicios postventa,Soporte y Mantenimiento,355.46
2025-05,Centro,CLI-004,VIP (alto volumen / alta frecuencia),Servicios postventa,Soporte y Mantenimiento,360.5
2025-06,Centro,CLI-004,VIP (alto volumen / alta frecuencia),Servicios postventa,Soporte y Mantenimiento,350.47
2025-07,Centro,CLI-004,VIP (alto volumen / alta frecuencia),Servicios postventa,Soporte y Mantenimiento,422.31
2025-09,Centro,CLI-004,VIP (alto volumen / alta frecuencia),Servicios postventa,Soporte y Mantenimiento,388.38
2025-11,Centro,CLI-004,VIP (alto volumen / alta frecuencia),Servicios postventa,Soporte y Mantenimiento,343.51
2025-12,Centro,CLI-004,VIP (alto volumen / alta frecuencia),Servicios postventa,Soporte y Mantenimiento,319.22
2026-01,Centro,CLI-004,VIP (alto volumen / alta frecuencia),Servicios postventa,Soporte y Mantenimiento,444.31
2026-02,Centro,CLI-004,VIP (alto volumen / alta frecuencia),Servicios postventa,Soporte y Mantenimiento,275.71
2026-03,Centro,CLI-004,VIP (alto volumen / alta frecuencia),Servicios postventa,Soporte y Mantenimiento,364.93
2026-04,Centro,CLI-004,VIP (alto volumen / alta frecuencia),Servicios postventa,Soporte y Mantenimiento,390.13
2026-05,Centro,CLI-004,VIP (alto volumen / alta frecuencia),Servicios postventa,Soporte y Mantenimiento,417.08
2026-06,Centro,CLI-004,VIP (alto volumen / alta frecuencia),Servicios postventa,Soporte y Mantenimiento,489.75
2026-07,Centro,CLI-004,VIP (alto volumen / alta frecuencia),Servicios postventa,Soporte y Mantenimiento,496.83
2026-08,Centro,CLI-004,VIP (alto volumen / alta frecuencia),Servicios postventa,Soporte y Mantenimiento,453.01
2025-05,Occidente,CLI-005,Esporádico (bajo volumen / baja frecuencia),Línea Estándar,Estándar Retail,225.27
2026-01,Occidente,CLI-005,Esporádico (bajo volumen / baja frecuencia),Línea Estándar,Estándar Retail,198.62
2025-02,Occidente,CLI-005,Esporádico (bajo volumen / baja frecuencia),Línea Económica,Económica Básica,177.76
2026-02,Occidente,CLI-005,Esporádico (bajo volumen / baja frecuencia),Línea Económica,Económica Básica,138.08
2026-03,Occidente,CLI-005,Esporádico (bajo volumen / baja frecuencia),Línea Económica,Económica Básica,164.18
2026-04,Occidente,CLI-005,Esporádico (bajo volumen / baja frecuencia),Línea Económica,Económica Básica,169.08
2026-01,Occidente,CLI-005,Esporádico (bajo volumen / baja frecuencia),Línea Económica,Económica Promocional,106.86
2026-04,Occidente,CLI-005,Esporádico (bajo volumen / baja frecuencia),Línea Económica,Económica Promocional,155.44
2026-07,Occidente,CLI-005,Esporádico (bajo volumen / baja frecuencia),Línea Económica,Económica Promocional,143.72
2026-08,Occidente,CLI-005,Esporádico (bajo volumen / baja frecuencia),Línea Económica,Económica Promocional,114.56
2025-04,Sureste,CLI-006,Ocasional (alto volumen / baja frecuencia),Línea Premium,Premium Exportación,1019.81
2025-07,Sureste,CLI-006,Ocasional (alto volumen / baja frecuencia),Línea Premium,Premium Exportación,1335.27
2025-12,Sureste,CLI-006,Ocasional (alto volumen / baja frecuencia),Línea Premium,Premium Exportación,1572.78
2026-03,Sureste,CLI-006,Ocasional (alto volumen / baja frecuencia),Línea Premium,Premium Exportación,1362.45
2026-06,Sureste,CLI-006,Ocasional (alto volumen / baja frecuencia),Línea Premium,Premium Exportación,1592.47
2025-04,Sureste,CLI-006,Ocasional (alto volumen / baja frecuencia),Línea Económica,Económica Básica,477.22
2025-05,Sureste,CLI-006,Ocasional (alto volumen / baja frecuencia),Línea Económica,Económica Básica,460.66
2025-08,Sureste,CLI-006,Ocasional (alto volumen / baja frecuencia),Línea Económica,Económica Básica,619.81
2025-11,Sureste,CLI-006,Ocasional (alto volumen / baja frecuencia),Línea Económica,Económica Básica,640.55
2025-12,Sureste,CLI-006,Ocasional (alto volumen / baja frecuencia),Línea Económica,Económica Básica,603.93
2026-01,Sureste,CLI-006,Ocasional (alto volumen / baja frecuencia),Línea Económica,Económica Básica,475.99
2026-06,Sureste,CLI-006,Ocasional (alto volumen / baja frecuencia),Línea Económica,Económica Básica,503.62
2026-07,Sureste,CLI-006,Ocasional (alto volumen / baja frecuencia),Línea Económica,Económica Básica,547.3
2025-12,Sureste,CLI-006,Ocasional (alto volumen / baja frecuencia),Línea Estándar,Estándar Mayoreo,971.28
2025-01,Norte,CLI-007,Recurrente (bajo volumen / alta frecuencia),Línea Estándar,Estándar Retail,249.16
2025-02,Norte,CLI-007,Recurrente (bajo volumen / alta frecuencia),Línea Estándar,Estándar Retail,225.86
2025-03,Norte,CLI-007,Recurrente (bajo volumen / alta frecuencia),Línea Estándar,Estándar Retail,264.35
2025-04,Norte,CLI-007,Recurrente (bajo volumen / alta frecuencia),Línea Estándar,Estándar Retail,245.87
2025-05,Norte,CLI-007,Recurrente (bajo volumen / alta frecuencia),Línea Estándar,Estándar Retail,266.65
2025-07,Norte,CLI-007,Recurrente (bajo volumen / alta frecuencia),Línea Estándar,Estándar Retail,257.86
2025-08,Norte,CLI-007,Recurrente (bajo volumen / alta frecuencia),Línea Estándar,Estándar Retail,238.83
2025-11,Norte,CLI-007,Recurrente (bajo volumen / alta frecuencia),Línea Estándar,Estándar Retail,238.56
2026-02,Norte,CLI-007,Recurrente (bajo volumen / alta frecuencia),Línea Estándar,Estándar Retail,238.24
2026-03,Norte,CLI-007,Recurrente (bajo volumen / alta frecuencia),Línea Estándar,Estándar Retail,254.27
2026-04,Norte,CLI-007,Recurrente (bajo volumen / alta frecuencia),Línea Estándar,Estándar Retail,231.38
2026-05,Norte,CLI-007,Recurrente (bajo volumen / alta frecuencia),Línea Estándar,Estándar Retail,212.89
2026-06,Norte,CLI-007,Recurrente (bajo volumen / alta frecuencia),Línea Estándar,Estándar Retail,220.36
2026-07,Norte,CLI-007,Recurrente (bajo volumen / alta frecuencia),Línea Estándar,Estándar Retail,219.22
2026-08,Norte,CLI-007,Recurrente (bajo volumen / alta frecuencia),Línea Estándar,Estándar Retail,202.23
2025-01,Norte,CLI-007,Recurrente (bajo volumen / alta frecuencia),Línea Económica,Económica Básica,208.27
2025-02,Norte,CLI-007,Recurrente (bajo volumen / alta frecuencia),Línea Económica,Económica Básica,163.46
2025-03,Norte,CLI-007,Recurrente (bajo volumen / alta frecuencia),Línea Económica,Económica Básica,185.48
2025-04,Norte,CLI-007,Recurrente (bajo volumen / alta frecuencia),Línea Económica,Económica Básica,173.82
2025-05,Norte,CLI-007,Recurrente (bajo volumen / alta frecuencia),Línea Económica,Económica Básica,166.51
2025-06,Norte,CLI-007,Recurrente (bajo volumen / alta frecuencia),Línea Económica,Económica Básica,194.74
2025-09,Norte,CLI-007,Recurrente (bajo volumen / alta frecuencia),Línea Económica,Económica Básica,202.09
2025-10,Norte,CLI-007,Recurrente (bajo volumen / alta frecuencia),Línea Económica,Económica Básica,160.89
2025-12,Norte,CLI-007,Recurrente (bajo volumen / alta frecuencia),Línea Económica,Económica Básica,153.14
2026-01,Norte,CLI-007,Recurrente (bajo volumen / alta frecuencia),Línea Económica,Económica Básica,128.11
2026-02,Norte,CLI-007,Recurrente (bajo volumen / alta frecuencia),Línea Económica,Económica Básica,208.7
2026-03,Norte,CLI-007,Recurrente (bajo volumen / alta frecuencia),Línea Económica,Económica Básica,210.94
2026-04,Norte,CLI-007,Recurrente (bajo volumen / alta frecuencia),Línea Económica,Económica Básica,173.6
2026-07,Norte,CLI-007,Recurrente (bajo volumen / alta frecuencia),Línea Económica,Económica Básica,151.99
2026-08,Norte,CLI-007,Recurrente (bajo volumen / alta frecuencia),Línea Económica,Económica Básica,212.45
2025-01,Norte,CLI-007,Recurrente (bajo volumen / alta frecuencia),Servicios postventa,Soporte y Mantenimiento,95.08
2025-04,Norte,CLI-007,Recurrente (bajo volumen / alta frecuencia),Servicios postventa,Soporte y Mantenimiento,101.92
2025-05,Norte,CLI-007,Recurrente (bajo volumen / alta frecuencia),Servicios postventa,Soporte y Mantenimiento,108.84
2025-06,Norte,CLI-007,Recurrente (bajo volumen / alta frecuencia),Servicios postventa,Soporte y Mantenimiento,88.79
2025-07,Norte,CLI-007,Recurrente (bajo volumen / alta frecuencia),Servicios postventa,Soporte y Mantenimiento,96.31
2025-08,Norte,CLI-007,Recurrente (bajo volumen / alta frecuencia),Servicios postventa,Soporte y Mantenimiento,86.01
2025-10,Norte,CLI-007,Recurrente (bajo volumen / alta frecuencia),Servicios postventa,Soporte y Mantenimiento,98.38
2025-11,Norte,CLI-007,Recurrente (bajo volumen / alta frecuencia),Servicios postventa,Soporte y Mantenimiento,120.29
2025-12,Norte,CLI-007,Recurrente (bajo volumen / alta frecuencia),Servicios postventa,Soporte y Mantenimiento,115.56
2026-01,Norte,CLI-007,Recurrente (bajo volumen / alta frecuencia),Servicios postventa,Soporte y Mantenimiento,111.59
